CustomerID,Recency,Frequency,Monetary
12346.0,326,1,3045.0
12347.0,2,7,431501.0
12348.0,75,4,82378.47
12349.0,19,1,176075.12
12350.0,310,1,48173.37
12352.0,36,8,211313.78
12353.0,204,1,4357.89
12354.0,232,1,161522.49
12355.0,214,1,37648.28
12356.0,23,3,161617.98
12357.0,33,1,366359.39999999997
12358.0,2,2,39673.670000000006
12359.0,58,4,651054.01
12360.0,52,3,306242.38
12361.0,287,1,30437.8
12362.0,3,10,660400.73
12363.0,110,2,53756.56
12364.0,8,4,215049.54
12365.0,291,2,51924.74
12367.0,4,1,25839.440000000002
12370.0,51,4,417753.02999999997
12371.0,45,2,167307.32
12372.0,72,3,115169.81
12373.0,311,1,28312.370000000003
12374.0,25,1,66577.75
12375.0,11,2,32999.840000000004
12377.0,315,2,164885.7
12378.0,130,1,604145.45
12379.0,82,2,105346.3
12380.0,22,4,278790.22000000003
12381.0,5,5,190007.76
12383.0,185,5,222091.65
12384.0,29,2,56546.55
12386.0,338,2,28316.56
12388.0,16,6,252667.99
12390.0,80,1,66785.3
12391.0,22,1,253598.89
12393.0,72,4,178735.91
12394.0,64,2,60148.57
12395.0,19,12,415041.19
12397.0,36,2,278068.08999999997
12398.0,46,1,204266.06
12399.0,119,4,158016.72
12401.0,303,1,17283.4
12402.0,323,1,36552.16
12403.0,50,1,6039.42
12405.0,149,1,122187.79000000001
12406.0,22,2,300601.55
12407.0,50,5,186352.68
12408.0,33,5,232876.63999999998
12409.0,79,3,315446.87
12410.0,309,2,55222.87
12412.0,75,3,159888.55000000002
12413.0,67,3,102773.06
12414.0,217,3,55774.39
12415.0,24,21,1771323.93
12417.0,3,9,515775.69
12418.0,113,1,108728.73
12420.0,64,1,60791.87
12421.0,16,4,119765.1
12422.0,96,3,89740.0
12423.0,1,8,295319.38
12424.0,163,2,66385.45
12425.0,78,1,101635.55
12426.0,195,1,64423.78
12427.0,22,3,99369.63
12428.0,26,9,770442.11
12429.0,9,4,219920.34
12430.0,43,1,13697.39
12431.0,36,15,535228.43
12432.0,43,5,306154.57
12433.0,1,7,1041010.62
12434.0,85,2,140890.38999999998
12435.0,80,2,101148.54
12436.0,100,1,37832.96
12437.0,2,18,511237.45
12438.0,14,2,272767.92
12441.0,367,1,40781.32
12442.0,3,1,21563.65
12444.0,21,5,456209.69
12445.0,22,1,9383.41
12446.0,58,1,112599.03
12447.0,243,1,66037.09
12448.0,44,1,55133.65
12449.0,22,4,445251.36
12450.0,156,2,20098.9
12451.0,11,5,815619.1
12452.0,17,2,38911.23
12453.0,134,1,119409.38
12454.0,56,1,37163.18
12455.0,73,6,229091.6
12456.0,44,3,373167.48
12457.0,66,7,168335.75
12458.0,71,2,87334.81
12461.0,94,2,93725.56999999999
12462.0,19,2,161071.96
12463.0,53,4,232510.94999999998
12464.0,10,8,60952.03
12465.0,17,2,104397.21
12468.0,188,2,103815.21
12471.0,2,30,1176426.0
12472.0,32,7,807653.61
12473.0,29,5,435373.47
12474.0,17,18,1120297.24
12475.0,54,1,82538.12
12476.0,16,11,594059.78
12477.0,23,6,776187.79
12478.0,4,1,100444.79
12479.0,11,1,91741.91
12480.0,28,4,390183.74
12481.0,23,10,566859.66
12483.0,17,8,185633.49
12484.0,33,6,837051.38
12488.0,10,3,116253.34
12489.0,336,1,30462.03
12490.0,5,10,630004.55
12491.0,39,1,58867.68
12492.0,63,2,45247.52
12493.0,166,2,51777.369999999995
12494.0,16,7,192402.51
12497.0,82,1,46060.87
12498.0,21,3,55777.82
12500.0,23,11,152788.98
12501.0,337,1,407737.5
12502.0,96,5,369357.34
12504.0,18,2,22893.44
12506.0,233,1,66333.0
12507.0,134,3,51316.03
12508.0,26,2,172952.53
12509.0,284,1,33776.46
12510.0,143,2,77315.62
12512.0,66,2,64773.0
12513.0,113,1,94205.64
12514.0,267,1,108784.52
12515.0,353,1,26832.8
12516.0,78,2,63849.31
12517.0,28,5,750648.58
12518.0,1,5,340254.36
12519.0,64,1,45401.06
12520.0,79,5,443838.17
12521.0,143,1,91236.31999999999
12522.0,39,2,31564.38
12523.0,19,11,253690.9
