InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536393,2010-12-01 10:37:00,13747.0,SC2673,Books,49,21.61,Algeria,1058.89,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1533,Books,94,80.74,Algeria,7589.559999999999,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5660,Books,26,23.72,Algeria,616.72,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3691,Books,94,55.52,Algeria,5218.88,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC2368,Books,21,79.33,Algeria,1665.93,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC4290,Books,77,80.47,Algeria,6196.19,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC8774,Books,62,88.26,Algeria,5472.12,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC9481,Books,84,68.07,Algeria,5717.879999999999,2010-12,2010-12,1
536663,2010-12-02 12:07:00,16546.0,SC3512,Books,52,58.8,Algeria,3057.6,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC4260,Books,20,85.52,Algeria,1710.4,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4229,Books,30,41.38,Algeria,1241.4,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC6856,Books,91,59.0,Algeria,5369.0,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC7609,Books,77,59.85,Algeria,4608.45,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC8467,Books,81,66.59,Algeria,5393.79,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC7387,Books,92,20.26,Algeria,1863.92,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC1671,Books,14,68.97,Algeria,965.58,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8869,Books,5,82.3,Algeria,411.5,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC7020,Books,78,46.63,Algeria,3637.14,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC7472,Books,19,97.39,Algeria,1850.41,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9388,Books,69,69.91,Algeria,4823.79,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4738,Books,1,42.14,Algeria,42.14,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC2040,Books,65,34.8,Algeria,2262.0,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC2028,Books,52,40.04,Algeria,2082.08,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1478,Books,37,39.7,Algeria,1468.9,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC9502,Books,6,74.51,Algeria,447.06000000000006,2010-12,2010-12,1
