InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536371,2010-12-01 09:00:00,13748.0,SC8079,Cloths,18,63.54,Algeria,1143.72,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3554,Cloths,96,39.76,Algeria,3816.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4418,Cloths,26,97.11,Algeria,2524.86,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2619,Cloths,81,43.85,Algeria,3551.85,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9340,Cloths,25,51.12,Algeria,1278.0,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC2834,Cloths,82,28.63,Algeria,2347.66,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC7216,Cloths,79,21.22,Algeria,1676.38,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC8875,Cloths,20,46.52,Algeria,930.4,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC4398,Cloths,69,49.4,Algeria,3408.6,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC6883,Cloths,15,7.54,Algeria,113.1,2010-12,2010-12,1
536849,2010-12-03 09:45:00,17396.0,SC5939,Cloths,93,23.34,Algeria,2170.62,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC5591,Cloths,76,49.83,Algeria,3787.08,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC8432,Cloths,83,21.38,Algeria,1774.54,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3619,Cloths,98,36.95,Algeria,3621.1,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC9013,Cloths,28,68.06,Algeria,1905.68,2010-12,2010-12,1
537176,2010-12-05 13:26:00,16411.0,SC9444,Cloths,9,94.15,Algeria,847.35,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC9812,Cloths,85,63.99,Algeria,5439.150000000001,2010-12,2010-12,1
537206,2010-12-05 15:02:00,15235.0,SC1771,Cloths,73,31.79,Algeria,2320.67,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4339,Cloths,31,43.56,Algeria,1350.36,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC3062,Cloths,11,53.44,Algeria,587.8399999999999,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC6438,Cloths,9,71.83,Algeria,646.47,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC9977,Cloths,55,17.32,Algeria,952.6,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC8248,Cloths,24,96.66,Algeria,2319.84,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC7923,Cloths,41,54.94,Algeria,2252.54,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7359,Cloths,100,71.63,Algeria,7163.0,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC3916,Cloths,39,8.69,Algeria,338.91,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC7641,Cloths,23,46.14,Algeria,1061.22,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC6313,Cloths,90,28.05,Algeria,2524.5,2010-12,2010-12,1
537447,2010-12-07 09:21:00,13963.0,SC9592,Cloths,68,25.47,Algeria,1731.96,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC8407,Cloths,28,98.1,Algeria,2746.8,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC2616,Cloths,57,93.38,Algeria,5322.66,2010-12,2010-12,1
537659,2010-12-07 16:43:00,18102.0,SC1409,Cloths,67,30.39,Algeria,2036.13,2010-12,2010-12,1
537755,2010-12-08 11:31:00,16525.0,SC7403,Cloths,70,79.05,Algeria,5533.5,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC8948,Cloths,56,16.12,Algeria,902.72,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC3803,Cloths,72,73.7,Algeria,5306.400000000001,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC7173,Cloths,88,95.02,Algeria,8361.76,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC8992,Cloths,86,30.05,Algeria,2584.3,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC3122,Cloths,64,71.11,Algeria,4551.04,2010-12,2010-12,1
537819,2010-12-08 13:55:00,15298.0,SC5124,Cloths,18,34.51,Algeria,621.18,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC2058,Cloths,16,75.06,Algeria,1200.96,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC9675,Cloths,74,19.21,Algeria,1421.54,2010-12,2010-12,1
537995,2010-12-09 11:39:00,12712.0,SC5453,Cloths,60,92.29,Algeria,5537.400000000001,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC8211,Cloths,69,55.05,Algeria,3798.45,2010-12,2010-12,1
538078,2010-12-09 14:25:00,16255.0,SC7500,Cloths,40,91.26,Algeria,3650.4,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC1628,Cloths,5,64.73,Algeria,323.65000000000003,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC8310,Cloths,17,57.8,Algeria,982.6,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC6104,Cloths,28,96.54,Algeria,2703.1200000000003,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC7992,Cloths,24,40.8,Algeria,979.2,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC8103,Cloths,64,34.89,Algeria,2232.96,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC8156,Cloths,64,88.47,Algeria,5662.08,2010-12,2010-12,1
538250,2010-12-10 12:20:00,18118.0,SC2838,Cloths,42,62.28,Algeria,2615.76,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC2985,Cloths,51,65.9,Algeria,3360.9,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC7835,Cloths,6,71.46,Algeria,428.76,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC2879,Cloths,82,97.73,Algeria,8013.860000000001,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC3689,Cloths,14,69.03,Algeria,966.42,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC8120,Cloths,3,38.02,Algeria,114.06,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC3897,Cloths,100,11.42,Algeria,1142.0,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC8946,Cloths,53,91.23,Algeria,4835.1900000000005,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC9677,Cloths,54,81.34,Algeria,4392.360000000001,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC4168,Cloths,64,25.45,Algeria,1628.8,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC1864,Cloths,27,74.12,Algeria,2001.24,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC4017,Cloths,23,53.37,Algeria,1227.51,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC6947,Cloths,100,84.51,Algeria,8451.0,2010-12,2010-12,1
538629,2010-12-13 13:10:00,17799.0,SC2847,Cloths,13,57.66,Algeria,749.5799999999999,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC2527,Cloths,74,53.81,Algeria,3981.94,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC2185,Cloths,73,15.73,Algeria,1148.29,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC5602,Cloths,18,1.52,Algeria,27.36,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC1665,Cloths,92,30.99,Algeria,2851.08,2010-12,2010-12,1
538836,2010-12-14 13:09:00,12748.0,SC6549,Cloths,28,14.15,Algeria,396.2,2010-12,2010-12,1
538846,2010-12-14 13:22:00,14606.0,SC3858,Cloths,41,98.63,Algeria,4043.83,2010-12,2010-12,1
538852,2010-12-14 13:33:00,17372.0,SC4648,Cloths,18,35.39,Algeria,637.02,2010-12,2010-12,1
538852,2010-12-14 13:33:00,17372.0,SC6673,Cloths,82,8.3,Algeria,680.6,2010-12,2010-12,1
538860,2010-12-14 14:02:00,17757.0,SC3203,Cloths,57,91.32,Algeria,5205.24,2010-12,2010-12,1
539015,2010-12-15 13:38:00,15822.0,SC5814,Cloths,73,31.28,Algeria,2283.44,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC8895,Cloths,93,53.42,Algeria,4968.06,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC4169,Cloths,25,42.79,Algeria,1069.75,2010-12,2010-12,1
539064,2010-12-15 16:50:00,17912.0,SC9586,Cloths,21,10.47,Algeria,219.87,2010-12,2010-12,1
539222,2010-12-16 13:00:00,14621.0,SC7528,Cloths,75,2.0,Algeria,150.0,2010-12,2010-12,1
539315,2010-12-16 18:23:00,18260.0,SC4654,Cloths,50,29.73,Algeria,1486.5,2010-12,2010-12,1
539321,2010-12-16 19:19:00,14723.0,SC9471,Cloths,9,2.78,Algeria,25.02,2010-12,2010-12,1
539395,2010-12-17 11:52:00,12471.0,SC2670,Cloths,30,65.75,Algeria,1972.5,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC9547,Cloths,57,44.12,Algeria,2514.84,2010-12,2010-12,1
539590,2010-12-20 13:21:00,14733.0,SC2524,Cloths,11,32.91,Algeria,362.01,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC7281,Cloths,23,97.93,Algeria,2252.3900000000003,2010-12,2010-12,1
539722,2010-12-21 13:45:00,14911.0,SC4249,Cloths,70,4.36,Algeria,305.20000000000005,2010-12,2010-12,1
539920,2010-12-23 11:06:00,14085.0,SC5790,Cloths,90,29.43,Algeria,2648.7,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC3841,Cloths,8,81.22,Algeria,649.76,2010-12,2010-12,1
540023,2011-01-04 12:58:00,15039.0,SC8125,Cloths,96,15.82,Algeria,1518.72,2011-01,2010-12,2
540031,2011-01-04 13:50:00,17975.0,SC8899,Cloths,13,65.64,Algeria,853.32,2011-01,2011-01,1
540033,2011-01-04 14:12:00,13680.0,SC1881,Cloths,63,93.6,Algeria,5896.799999999999,2011-01,2011-01,1
540033,2011-01-04 14:12:00,13680.0,SC1847,Cloths,67,58.87,Algeria,3944.29,2011-01,2011-01,1
