InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536437,2010-12-01 12:12:00,13694.0,SC7836,Cosmetics,66,91.21,Algeria,6019.86,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC7812,Cosmetics,17,18.73,Algeria,318.41,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2267,Cosmetics,3,60.28,Algeria,180.84,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9176,Cosmetics,2,70.36,Algeria,140.72,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC4788,Cosmetics,80,87.95,Algeria,7036.0,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC9525,Cosmetics,82,63.43,Algeria,5201.26,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC2436,Cosmetics,39,58.92,Algeria,2297.88,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC9332,Cosmetics,42,12.01,Algeria,504.42,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4924,Cosmetics,48,50.12,Algeria,2405.76,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC1310,Cosmetics,2,20.81,Algeria,41.62,2010-12,2010-12,1
536802,2010-12-02 16:29:00,17412.0,SC5113,Cosmetics,19,53.93,Algeria,1024.67,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC6964,Cosmetics,75,87.11,Algeria,6533.25,2010-12,2010-12,1
536954,2010-12-03 12:41:00,17809.0,SC2190,Cosmetics,25,53.46,Algeria,1336.5,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC7271,Cosmetics,65,90.62,Algeria,5890.3,2010-12,2010-12,1
536971,2010-12-03 13:40:00,12779.0,SC6470,Cosmetics,51,79.07,Algeria,4032.57,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC8906,Cosmetics,79,42.47,Algeria,3355.13,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC1118,Cosmetics,7,45.17,Algeria,316.19,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC1828,Cosmetics,88,91.69,Algeria,8068.719999999999,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC4564,Cosmetics,39,23.8,Algeria,928.2,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC6287,Cosmetics,19,59.41,Algeria,1128.79,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3907,Cosmetics,5,97.42,Algeria,487.1,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6897,Cosmetics,43,13.28,Algeria,571.04,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC7638,Cosmetics,53,73.38,Algeria,3889.14,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC4200,Cosmetics,66,91.59,Algeria,6044.9400000000005,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC8843,Cosmetics,39,29.7,Algeria,1158.3,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC8895,Cosmetics,97,27.67,Algeria,2683.99,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC7793,Cosmetics,1,27.12,Algeria,27.12,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3292,Cosmetics,38,29.56,Algeria,1123.28,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9302,Cosmetics,34,51.65,Algeria,1756.1,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC2872,Cosmetics,18,14.51,Algeria,261.18,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC9136,Cosmetics,22,16.08,Algeria,353.76,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC7745,Cosmetics,37,31.38,Algeria,1161.06,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC9932,Cosmetics,95,21.97,Algeria,2087.15,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC5725,Cosmetics,35,57.24,Algeria,2003.4,2010-12,2010-12,1
