InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC8628,Electronics,42,68.25,Algeria,2866.5,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC6428,Electronics,46,58.68,Algeria,2699.28,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9949,Electronics,44,45.22,Algeria,1989.68,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1450,Electronics,47,81.36,Algeria,3823.92,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8159,Electronics,88,42.19,Algeria,3712.72,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC7591,Electronics,7,88.5,Algeria,619.5,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8298,Electronics,61,12.95,Algeria,789.9499999999999,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3994,Electronics,92,64.73,Algeria,5955.160000000001,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC7608,Electronics,48,1.24,Algeria,59.52,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2464,Electronics,93,14.91,Algeria,1386.63,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5241,Electronics,46,62.6,Algeria,2879.6,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC3719,Electronics,46,10.94,Algeria,503.24,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC2746,Electronics,2,9.57,Algeria,19.14,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC4793,Electronics,51,42.2,Algeria,2152.2000000000003,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC5054,Electronics,13,40.28,Algeria,523.64,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4029,Electronics,76,75.1,Algeria,5707.599999999999,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC5886,Electronics,3,17.32,Algeria,51.96,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC6775,Electronics,55,45.0,Algeria,2475.0,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC9647,Electronics,37,36.9,Algeria,1365.3,2010-12,2010-12,1
536806,2010-12-02 16:42:00,12971.0,SC3456,Electronics,89,20.3,Algeria,1806.7,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC7896,Electronics,89,85.95,Algeria,7649.55,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9208,Electronics,41,92.97,Algeria,3811.77,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC6449,Electronics,36,2.56,Algeria,92.16,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8387,Electronics,32,29.61,Algeria,947.52,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC5872,Electronics,56,6.36,Algeria,356.16,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC7726,Electronics,24,83.75,Algeria,2010.0,2010-12,2010-12,1
537067,2010-12-05 11:57:00,14813.0,SC8501,Electronics,91,33.18,Algeria,3019.38,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC8543,Electronics,4,8.77,Algeria,35.08,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC6395,Electronics,31,99.44,Algeria,3082.64,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4870,Electronics,39,34.06,Algeria,1328.34,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC8443,Electronics,74,95.17,Algeria,7042.58,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC8991,Electronics,66,72.8,Algeria,4804.8,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC3989,Electronics,23,46.04,Algeria,1058.92,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8691,Electronics,77,64.82,Algeria,4991.139999999999,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC2746,Electronics,38,62.87,Algeria,2389.06,2010-12,2010-12,1
537245,2010-12-06 10:24:00,14748.0,SC7868,Electronics,46,39.46,Algeria,1815.16,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC9925,Electronics,15,17.28,Algeria,259.20000000000005,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC7959,Electronics,18,13.9,Algeria,250.2,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC7238,Electronics,42,53.33,Algeria,2239.86,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC5513,Electronics,26,2.7,Algeria,70.2,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC6085,Electronics,68,50.27,Algeria,3418.36,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC5948,Electronics,92,2.84,Algeria,261.28,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC2345,Electronics,66,92.01,Algeria,6072.660000000001,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC7814,Electronics,20,36.34,Algeria,726.8000000000001,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC5558,Electronics,84,97.09,Algeria,8155.56,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC3809,Electronics,4,63.27,Algeria,253.08,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC9403,Electronics,15,46.84,Algeria,702.6,2010-12,2010-12,1
537440,2010-12-06 17:16:00,17869.0,SC5848,Electronics,63,64.84,Algeria,4084.92,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC9914,Electronics,26,84.39,Algeria,2194.14,2010-12,2010-12,1
537462,2010-12-07 10:06:00,17228.0,SC4500,Electronics,35,71.14,Algeria,2489.9,2010-12,2010-12,1
