InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC4212,Furniture,5,64.29,Algeria,321.45000000000005,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1341,Furniture,98,13.57,Algeria,1329.86,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4625,Furniture,32,25.44,Algeria,814.08,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC8585,Furniture,87,38.0,Algeria,3306.0,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC7768,Furniture,51,23.91,Algeria,1219.41,2010-12,2010-12,1
536598,2010-12-02 07:48:00,13090.0,SC7191,Furniture,86,17.56,Algeria,1510.16,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3222,Furniture,29,64.91,Algeria,1882.39,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC5827,Furniture,8,37.84,Algeria,302.72,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC2617,Furniture,11,28.39,Algeria,312.29,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC1547,Furniture,35,44.57,Algeria,1559.95,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC9832,Furniture,74,45.81,Algeria,3389.94,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2138,Furniture,13,58.92,Algeria,765.96,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4115,Furniture,8,23.72,Algeria,189.76,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4563,Furniture,71,10.36,Algeria,735.56,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC4601,Furniture,72,3.67,Algeria,264.24,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC4247,Furniture,35,26.19,Algeria,916.65,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC8113,Furniture,33,32.61,Algeria,1076.13,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC8320,Furniture,2,30.22,Algeria,60.44,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC8171,Furniture,89,27.41,Algeria,2439.49,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5873,Furniture,72,19.82,Algeria,1427.04,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC2758,Furniture,50,98.09,Algeria,4904.5,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC1770,Furniture,54,95.18,Algeria,5139.72,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC3823,Furniture,49,9.28,Algeria,454.72,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4639,Furniture,38,44.62,Algeria,1695.56,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9666,Furniture,49,21.72,Algeria,1064.28,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC6172,Furniture,58,30.33,Algeria,1759.14,2010-12,2010-12,1
537235,2010-12-06 09:45:00,17381.0,SC1791,Furniture,62,47.2,Algeria,2926.4,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC7503,Furniture,62,64.26,Algeria,3984.12,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC5352,Furniture,14,44.2,Algeria,618.8000000000001,2010-12,2010-12,1
