InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8403,Jewelry,70,92.0,Algeria,6440.0,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC9311,Jewelry,81,57.25,Algeria,4637.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2014,Jewelry,28,76.38,Algeria,2138.64,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC3437,Jewelry,14,52.19,Algeria,730.66,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4721,Jewelry,4,13.79,Algeria,55.16,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7892,Jewelry,87,6.13,Algeria,533.31,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC5127,Jewelry,49,89.95,Algeria,4407.55,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC3892,Jewelry,66,22.65,Algeria,1494.9,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC5432,Jewelry,29,27.04,Algeria,784.16,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9337,Jewelry,63,16.1,Algeria,1014.3,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC7012,Jewelry,53,25.4,Algeria,1346.1999999999998,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC2539,Jewelry,69,24.46,Algeria,1687.74,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC5571,Jewelry,17,4.4,Algeria,74.80000000000001,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC9811,Jewelry,41,38.46,Algeria,1576.86,2010-12,2010-12,1
536858,2010-12-03 10:36:00,13520.0,SC8335,Jewelry,71,67.72,Algeria,4808.12,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC7759,Jewelry,86,85.06,Algeria,7315.16,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC5480,Jewelry,10,33.11,Algeria,331.1,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC3037,Jewelry,86,29.6,Algeria,2545.6,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC5237,Jewelry,45,9.75,Algeria,438.75,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC6640,Jewelry,18,79.83,Algeria,1436.94,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC7107,Jewelry,11,79.29,Algeria,872.19,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC4870,Jewelry,51,31.72,Algeria,1617.72,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC1319,Jewelry,67,79.76,Algeria,5343.92,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2533,Jewelry,33,49.0,Algeria,1617.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8164,Jewelry,97,16.42,Algeria,1592.7400000000002,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC1724,Jewelry,7,67.01,Algeria,469.0700000000001,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC2031,Jewelry,41,21.13,Algeria,866.3299999999999,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5275,Jewelry,95,60.63,Algeria,5759.85,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC6834,Jewelry,65,86.68,Algeria,5634.200000000001,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2303,Jewelry,9,72.03,Algeria,648.27,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC9928,Jewelry,47,48.17,Algeria,2263.99,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC7957,Jewelry,40,93.75,Algeria,3750.0,2010-12,2010-12,1
537384,2010-12-06 13:21:00,15984.0,SC1969,Jewelry,91,25.64,Algeria,2333.24,2010-12,2010-12,1
537397,2010-12-06 14:19:00,16817.0,SC8749,Jewelry,40,84.66,Algeria,3386.4,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC7837,Jewelry,18,64.48,Algeria,1160.64,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC1423,Jewelry,40,24.52,Algeria,980.8,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC9299,Jewelry,53,34.61,Algeria,1834.33,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4307,Jewelry,41,11.69,Algeria,479.29,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC4960,Jewelry,77,20.58,Algeria,1584.66,2010-12,2010-12,1
537655,2010-12-07 16:20:00,15081.0,SC3991,Jewelry,28,36.62,Algeria,1025.36,2010-12,2010-12,1
537758,2010-12-08 11:41:00,16122.0,SC5762,Jewelry,37,63.77,Algeria,2359.49,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC1213,Jewelry,36,25.66,Algeria,923.76,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6772,Jewelry,36,2.63,Algeria,94.68,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5818,Jewelry,67,59.57,Algeria,3991.19,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC6846,Jewelry,31,65.14,Algeria,2019.34,2010-12,2010-12,1
537822,2010-12-08 14:22:00,13523.0,SC6043,Jewelry,41,69.49,Algeria,2849.09,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC1482,Jewelry,48,61.76,Algeria,2964.48,2010-12,2010-12,1
537882,2010-12-09 09:25:00,15079.0,SC6504,Jewelry,45,39.75,Algeria,1788.75,2010-12,2010-12,1
538010,2010-12-09 12:20:00,17526.0,SC6044,Jewelry,5,50.59,Algeria,252.95,2010-12,2010-12,1
538032,2010-12-09 12:59:00,14479.0,SC4477,Jewelry,29,40.22,Algeria,1166.38,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC8850,Jewelry,86,36.78,Algeria,3163.08,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC5923,Jewelry,35,11.6,Algeria,406.0,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC6731,Jewelry,32,35.87,Algeria,1147.84,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC2949,Jewelry,37,94.29,Algeria,3488.73,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC3758,Jewelry,21,92.01,Algeria,1932.21,2010-12,2010-12,1
538191,2010-12-10 10:49:00,15061.0,SC8734,Jewelry,30,90.68,Algeria,2720.4,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC5956,Jewelry,92,38.2,Algeria,3514.4,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC3011,Jewelry,75,74.55,Algeria,5591.25,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC1833,Jewelry,76,91.34,Algeria,6941.84,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC2111,Jewelry,73,75.35,Algeria,5500.549999999999,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC8308,Jewelry,55,70.74,Algeria,3890.7,2010-12,2010-12,1
538353,2010-12-10 15:31:00,13798.0,SC8974,Jewelry,49,70.97,Algeria,3477.53,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC7956,Jewelry,49,96.46,Algeria,4726.54,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC8825,Jewelry,63,58.01,Algeria,3654.63,2010-12,2010-12,1
538417,2010-12-12 11:54:00,16393.0,SC9222,Jewelry,92,41.09,Algeria,3780.28,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC8535,Jewelry,75,64.82,Algeria,4861.499999999999,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC2873,Jewelry,62,48.07,Algeria,2980.34,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC5574,Jewelry,67,70.46,Algeria,4720.82,2010-12,2010-12,1
538523,2010-12-13 09:29:00,13198.0,SC9511,Jewelry,2,44.3,Algeria,88.6,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC4468,Jewelry,22,51.68,Algeria,1136.96,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC8657,Jewelry,93,56.39,Algeria,5244.27,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC9707,Jewelry,11,55.31,Algeria,608.4100000000001,2010-12,2010-12,1
538633,2010-12-13 13:28:00,16726.0,SC2610,Jewelry,69,18.92,Algeria,1305.48,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC8033,Jewelry,11,65.09,Algeria,715.99,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4027,Jewelry,31,88.7,Algeria,2749.7000000000003,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC3942,Jewelry,100,50.24,Algeria,5024.0,2010-12,2010-12,1
538871,2010-12-14 15:02:00,14051.0,SC7926,Jewelry,26,75.45,Algeria,1961.7,2010-12,2010-12,1
538944,2010-12-15 11:21:00,13295.0,SC7478,Jewelry,36,35.43,Algeria,1275.48,2010-12,2010-12,1
538944,2010-12-15 11:21:00,13295.0,SC2748,Jewelry,78,74.02,Algeria,5773.56,2010-12,2010-12,1
538992,2010-12-15 11:56:00,15950.0,SC3833,Jewelry,59,4.44,Algeria,261.96000000000004,2010-12,2010-12,1
539040,2010-12-15 15:14:00,17214.0,SC6742,Jewelry,92,26.06,Algeria,2397.52,2010-12,2010-12,1
539046,2010-12-15 15:50:00,17980.0,SC3483,Jewelry,82,67.91,Algeria,5568.62,2010-12,2010-12,1
539089,2010-12-16 09:46:00,15246.0,SC1128,Jewelry,56,24.6,Algeria,1377.6,2010-12,2010-12,1
539101,2010-12-16 10:35:00,16029.0,SC6266,Jewelry,99,72.82,Algeria,7209.179999999999,2010-12,2010-12,1
