InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC5445,Kitchenware,97,78.14,Algeria,7579.58,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9077,Kitchenware,8,81.77,Algeria,654.16,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2047,Kitchenware,62,76.9,Algeria,4767.8,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5821,Kitchenware,55,38.96,Algeria,2142.8,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC2884,Kitchenware,78,85.41,Algeria,6661.98,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC2038,Kitchenware,97,26.31,Algeria,2552.07,2010-12,2010-12,1
536630,2010-12-02 10:56:00,17850.0,SC2990,Kitchenware,19,61.49,Algeria,1168.31,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC9333,Kitchenware,44,49.01,Algeria,2156.44,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC3329,Kitchenware,99,99.49,Algeria,9849.51,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC9610,Kitchenware,48,39.67,Algeria,1904.16,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC8269,Kitchenware,21,93.0,Algeria,1953.0,2010-12,2010-12,1
536779,2010-12-02 15:08:00,15823.0,SC2163,Kitchenware,62,14.22,Algeria,881.64,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7952,Kitchenware,11,83.84,Algeria,922.24,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC2491,Kitchenware,5,94.04,Algeria,470.2000000000001,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5924,Kitchenware,44,81.22,Algeria,3573.68,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC2751,Kitchenware,10,18.07,Algeria,180.7,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC5031,Kitchenware,86,96.09,Algeria,8263.74,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7185,Kitchenware,62,50.19,Algeria,3111.78,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC7115,Kitchenware,77,24.74,Algeria,1904.98,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3231,Kitchenware,57,10.53,Algeria,600.2099999999999,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC7034,Kitchenware,4,96.8,Algeria,387.2,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC1041,Kitchenware,84,18.36,Algeria,1542.24,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC1692,Kitchenware,74,39.62,Algeria,2931.88,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8123,Kitchenware,59,19.11,Algeria,1127.49,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC8820,Kitchenware,38,15.68,Algeria,595.84,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC5106,Kitchenware,26,47.14,Algeria,1225.64,2010-12,2010-12,1
