InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8772,Sports Equipment,35,59.07,Algeria,2067.45,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7693,Sports Equipment,4,56.56,Algeria,226.24,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC7282,Sports Equipment,57,84.39,Algeria,4810.2300000000005,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8165,Sports Equipment,69,12.43,Algeria,857.67,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8368,Sports Equipment,85,91.78,Algeria,7801.3,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC8264,Sports Equipment,89,96.79,Algeria,8614.310000000001,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC1542,Sports Equipment,80,9.92,Algeria,793.6,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC5769,Sports Equipment,58,53.59,Algeria,3108.2200000000003,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC2334,Sports Equipment,15,4.45,Algeria,66.75,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC4506,Sports Equipment,29,45.52,Algeria,1320.0800000000002,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC2061,Sports Equipment,35,12.79,Algeria,447.65,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6948,Sports Equipment,70,31.4,Algeria,2198.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8909,Sports Equipment,33,2.38,Algeria,78.53999999999999,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC1631,Sports Equipment,100,88.11,Algeria,8811.0,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC4573,Sports Equipment,86,65.42,Algeria,5626.12,2010-12,2010-12,1
