InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC6834,Toys,23,43.23,Algeria,994.29,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC9286,Toys,54,8.28,Algeria,447.12,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9751,Toys,15,7.86,Algeria,117.9,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7765,Toys,79,84.37,Algeria,6665.2300000000005,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC6128,Toys,43,91.92,Algeria,3952.56,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4457,Toys,94,12.21,Algeria,1147.74,2010-12,2010-12,1
536616,2010-12-02 10:10:00,17925.0,SC7066,Toys,96,59.75,Algeria,5736.0,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC6651,Toys,96,22.62,Algeria,2171.52,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3782,Toys,15,37.89,Algeria,568.35,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC4199,Toys,39,87.89,Algeria,3427.71,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3056,Toys,63,10.14,Algeria,638.82,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4692,Toys,47,90.1,Algeria,4234.7,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC7682,Toys,95,95.88,Algeria,9108.6,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC3337,Toys,99,56.21,Algeria,5564.79,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8754,Toys,67,7.31,Algeria,489.77,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC3373,Toys,33,91.33,Algeria,3013.89,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC1947,Toys,53,47.18,Algeria,2500.54,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC8752,Toys,13,66.62,Algeria,866.0600000000001,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC3733,Toys,43,77.14,Algeria,3317.02,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC2793,Toys,94,28.03,Algeria,2634.82,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6339,Toys,44,70.89,Algeria,3119.16,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC3324,Toys,79,93.43,Algeria,7380.97,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2725,Toys,95,4.81,Algeria,456.95,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8976,Toys,53,11.86,Algeria,628.5799999999999,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8557,Toys,29,11.15,Algeria,323.35,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC2143,Toys,54,10.86,Algeria,586.4399999999999,2010-12,2010-12,1
