InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC8608,Books,44,39.31,Benin,1729.64,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC8019,Books,65,21.03,Benin,1366.95,2010-12,2010-12,1
536377,2010-12-01 09:34:00,17850.0,SC3369,Books,19,10.47,Benin,198.93,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8369,Books,4,92.65,Benin,370.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3740,Books,95,41.6,Benin,3952.0,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6633,Books,35,80.99,Benin,2834.65,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC6746,Books,98,4.36,Benin,427.28,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2770,Books,98,46.26,Benin,4533.48,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC4695,Books,62,11.85,Benin,734.6999999999999,2010-12,2010-12,1
536573,2010-12-01 15:45:00,17025.0,SC5210,Books,60,32.78,Benin,1966.8,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC4355,Books,40,57.37,Benin,2294.8,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7213,Books,94,44.96,Benin,4226.24,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC8206,Books,64,2.55,Benin,163.2,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC1260,Books,97,62.83,Benin,6094.51,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5334,Books,80,68.69,Benin,5495.2,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC8804,Books,56,92.67,Benin,5189.52,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9001,Books,19,83.9,Benin,1594.1,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC5708,Books,39,35.73,Benin,1393.4699999999998,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC1222,Books,20,14.67,Benin,293.4,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC3234,Books,34,17.22,Benin,585.48,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC8278,Books,72,92.22,Benin,6639.84,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC2971,Books,7,96.85,Benin,677.9499999999999,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4011,Books,57,22.73,Benin,1295.61,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC1286,Books,87,83.22,Benin,7240.14,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6202,Books,4,3.65,Benin,14.6,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC5818,Books,21,64.43,Benin,1353.0300000000002,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC9217,Books,24,28.77,Benin,690.48,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC7603,Books,55,77.26,Benin,4249.3,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC2211,Books,4,74.54,Benin,298.16,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC4204,Books,82,41.42,Benin,3396.44,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC7835,Books,99,87.99,Benin,8711.01,2010-12,2010-12,1
537397,2010-12-06 14:19:00,16817.0,SC6334,Books,34,74.14,Benin,2520.76,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC3686,Books,40,72.39,Benin,2895.6,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC7016,Books,13,92.47,Benin,1202.11,2010-12,2010-12,1
537618,2010-12-07 13:50:00,15061.0,SC8998,Books,58,11.3,Benin,655.4000000000001,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC1291,Books,18,43.19,Benin,777.42,2010-12,2010-12,1
537690,2010-12-08 10:38:00,13983.0,SC2324,Books,58,7.99,Benin,463.42,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC5474,Books,29,62.11,Benin,1801.19,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC1693,Books,85,69.83,Benin,5935.55,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC4253,Books,29,40.61,Benin,1177.69,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC7591,Books,20,57.59,Benin,1151.8000000000002,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC5172,Books,11,5.86,Benin,64.46000000000001,2010-12,2010-12,1
537822,2010-12-08 14:22:00,13523.0,SC2496,Books,78,12.16,Benin,948.48,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC7240,Books,20,50.45,Benin,1009.0,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC3620,Books,68,64.7,Benin,4399.6,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC3295,Books,74,75.42,Benin,5581.08,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC5024,Books,6,7.35,Benin,44.1,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC9537,Books,24,17.07,Benin,409.68,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC7525,Books,46,7.12,Benin,327.52,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC2031,Books,77,94.87,Benin,7304.990000000001,2010-12,2010-12,1
538080,2010-12-09 14:28:00,17646.0,SC5082,Books,45,84.01,Benin,3780.45,2010-12,2010-12,1
538108,2010-12-09 15:23:00,17456.0,SC7615,Books,90,6.19,Benin,557.1,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC1528,Books,11,49.05,Benin,539.55,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC8964,Books,77,77.89,Benin,5997.53,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC3583,Books,46,83.72,Benin,3851.12,2010-12,2010-12,1
538307,2010-12-10 13:27:00,14667.0,SC2766,Books,95,13.66,Benin,1297.7,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC6610,Books,23,57.66,Benin,1326.1799999999998,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC2050,Books,8,17.92,Benin,143.36,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC9408,Books,82,28.68,Benin,2351.76,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC2886,Books,37,50.2,Benin,1857.4,2010-12,2010-12,1
538576,2010-12-13 11:29:00,14498.0,SC1951,Books,35,89.1,Benin,3118.5,2010-12,2010-12,1
538653,2010-12-13 15:12:00,13089.0,SC5989,Books,20,6.37,Benin,127.4,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC4734,Books,1,83.87,Benin,83.87,2010-12,2010-12,1
538994,2010-12-15 12:05:00,17525.0,SC2955,Books,39,46.91,Benin,1829.49,2010-12,2010-12,1
539049,2010-12-15 16:21:00,15615.0,SC5795,Books,42,58.31,Benin,2449.02,2010-12,2010-12,1
539095,2010-12-16 10:18:00,16037.0,SC7545,Books,32,92.33,Benin,2954.56,2010-12,2010-12,1
539201,2010-12-16 12:11:00,14878.0,SC2157,Books,69,82.14,Benin,5667.66,2010-12,2010-12,1
539246,2010-12-16 13:33:00,14606.0,SC4443,Books,52,4.95,Benin,257.40000000000003,2010-12,2010-12,1
539281,2010-12-16 15:45:00,18176.0,SC1834,Books,33,88.58,Benin,2923.14,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC7143,Books,51,18.49,Benin,942.99,2010-12,2010-12,1
539322,2010-12-16 19:22:00,14713.0,SC4802,Books,60,86.16,Benin,5169.599999999999,2010-12,2010-12,1
539334,2010-12-17 10:12:00,12748.0,SC4510,Books,51,35.22,Benin,1796.22,2010-12,2010-12,1
539338,2010-12-17 10:54:00,17404.0,SC9221,Books,100,64.18,Benin,6418.000000000001,2010-12,2010-12,1
539401,2010-12-17 12:02:00,12709.0,SC1661,Books,86,60.07,Benin,5166.02,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC1625,Books,46,27.6,Benin,1269.6,2010-12,2010-12,1
539488,2010-12-20 09:37:00,12377.0,SC4919,Books,80,44.65,Benin,3572.0,2010-12,2010-12,1
539752,2010-12-21 15:43:00,12515.0,SC3985,Books,4,27.35,Benin,109.4,2010-12,2010-12,1
539835,2010-12-22 13:39:00,16477.0,SC5473,Books,72,38.98,Benin,2806.56,2010-12,2010-12,1
540002,2011-01-04 10:23:00,16656.0,SC9110,Books,71,11.38,Benin,807.98,2011-01,2011-01,1
540014,2011-01-04 11:34:00,14606.0,SC6551,Books,53,90.81,Benin,4812.93,2011-01,2010-12,2
540014,2011-01-04 11:34:00,14606.0,SC5019,Books,41,89.82,Benin,3682.62,2011-01,2010-12,2
