InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC1738,Cloths,33,37.01,Benin,1221.33,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9759,Cloths,5,61.08,Benin,305.4,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7610,Cloths,46,61.88,Benin,2846.48,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6602,Cloths,68,39.42,Benin,2680.56,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6628,Cloths,50,62.01,Benin,3100.5,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC9600,Cloths,25,54.99,Benin,1374.75,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2447,Cloths,29,19.53,Benin,566.37,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC1161,Cloths,85,34.66,Benin,2946.1,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC8549,Cloths,99,1.13,Benin,111.87,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2184,Cloths,53,63.42,Benin,3361.26,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3788,Cloths,17,41.46,Benin,704.82,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5579,Cloths,65,60.94,Benin,3961.1,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC7262,Cloths,40,4.96,Benin,198.4,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC9326,Cloths,77,91.63,Benin,7055.509999999999,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC1696,Cloths,43,54.86,Benin,2358.98,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC7046,Cloths,10,79.2,Benin,792.0,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7337,Cloths,56,57.26,Benin,3206.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1302,Cloths,71,12.35,Benin,876.85,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC9849,Cloths,60,57.6,Benin,3456.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8293,Cloths,49,62.01,Benin,3038.49,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC2215,Cloths,53,47.93,Benin,2540.29,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6568,Cloths,38,52.64,Benin,2000.32,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC7766,Cloths,93,46.18,Benin,4294.74,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC5820,Cloths,14,96.89,Benin,1356.46,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5040,Cloths,42,9.47,Benin,397.74,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC3070,Cloths,67,27.87,Benin,1867.29,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC1201,Cloths,79,43.04,Benin,3400.16,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC2003,Cloths,74,85.48,Benin,6325.52,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC1031,Cloths,71,2.05,Benin,145.54999999999998,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC2882,Cloths,87,94.06,Benin,8183.22,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9830,Cloths,44,45.2,Benin,1988.8,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC8507,Cloths,31,32.39,Benin,1004.09,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC1317,Cloths,1,43.23,Benin,43.23,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC4345,Cloths,57,29.81,Benin,1699.1699999999998,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC9941,Cloths,99,75.66,Benin,7490.339999999999,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9904,Cloths,96,41.07,Benin,3942.72,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7205,Cloths,37,56.86,Benin,2103.82,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC5357,Cloths,30,89.02,Benin,2670.6,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC3082,Cloths,33,47.24,Benin,1558.92,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8599,Cloths,92,34.18,Benin,3144.56,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC1498,Cloths,11,72.57,Benin,798.27,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC9712,Cloths,61,12.18,Benin,742.98,2010-12,2010-12,1
537367,2010-12-06 12:39:00,15078.0,SC6898,Cloths,57,80.92,Benin,4612.4400000000005,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC6812,Cloths,41,5.26,Benin,215.66,2010-12,2010-12,1
537467,2010-12-07 10:36:00,16059.0,SC3215,Cloths,65,47.63,Benin,3095.9500000000003,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC6251,Cloths,96,30.29,Benin,2907.84,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC9195,Cloths,82,44.7,Benin,3665.4,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC4843,Cloths,85,12.36,Benin,1050.6,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC7816,Cloths,45,44.52,Benin,2003.4,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC4861,Cloths,50,55.58,Benin,2779.0,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC2653,Cloths,8,87.8,Benin,702.4,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC3237,Cloths,29,97.16,Benin,2817.64,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6999,Cloths,8,39.48,Benin,315.84,2010-12,2010-12,1
537813,2010-12-08 13:38:00,18259.0,SC1849,Cloths,42,77.55,Benin,3257.1,2010-12,2010-12,1
537818,2010-12-08 13:53:00,12766.0,SC7992,Cloths,53,51.35,Benin,2721.55,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC1467,Cloths,85,61.07,Benin,5190.95,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC9244,Cloths,55,49.17,Benin,2704.35,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC9633,Cloths,58,6.61,Benin,383.38,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC5617,Cloths,98,64.57,Benin,6327.86,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC1774,Cloths,98,52.45,Benin,5140.1,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC3287,Cloths,6,91.73,Benin,550.38,2010-12,2010-12,1
538056,2010-12-09 13:34:00,17198.0,SC8451,Cloths,8,58.7,Benin,469.6,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC1697,Cloths,15,67.06,Benin,1005.9,2010-12,2010-12,1
538093,2010-12-09 14:49:00,12682.0,SC4647,Cloths,91,12.79,Benin,1163.89,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC2391,Cloths,27,74.99,Benin,2024.73,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC2335,Cloths,88,87.66,Benin,7714.08,2010-12,2010-12,1
538240,2010-12-10 12:00:00,16062.0,SC9277,Cloths,93,95.65,Benin,8895.45,2010-12,2010-12,1
538309,2010-12-10 13:32:00,15881.0,SC5754,Cloths,55,55.65,Benin,3060.75,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC9779,Cloths,76,73.42,Benin,5579.92,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC6045,Cloths,13,12.03,Benin,156.39,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC9245,Cloths,35,76.88,Benin,2690.8,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC4891,Cloths,37,16.39,Benin,606.4300000000001,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC6046,Cloths,8,39.23,Benin,313.84,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC5798,Cloths,35,46.28,Benin,1619.8,2010-12,2010-12,1
538638,2010-12-13 14:16:00,17231.0,SC1909,Cloths,75,77.38,Benin,5803.5,2010-12,2010-12,1
538651,2010-12-13 15:07:00,15311.0,SC2870,Cloths,47,28.89,Benin,1357.83,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC7261,Cloths,92,45.89,Benin,4221.88,2010-12,2010-12,1
538659,2010-12-13 15:36:00,14625.0,SC9813,Cloths,46,39.23,Benin,1804.58,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC9556,Cloths,49,74.41,Benin,3646.09,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC4136,Cloths,11,40.32,Benin,443.52,2010-12,2010-12,1
538715,2010-12-14 11:03:00,14907.0,SC7559,Cloths,34,39.25,Benin,1334.5,2010-12,2010-12,1
538814,2010-12-14 12:30:00,15983.0,SC5975,Cloths,71,45.21,Benin,3209.91,2010-12,2010-12,1
538888,2010-12-14 16:23:00,17912.0,SC4141,Cloths,78,24.29,Benin,1894.62,2010-12,2010-12,1
539009,2010-12-15 13:24:00,13221.0,SC8953,Cloths,62,42.19,Benin,2615.78,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC1428,Cloths,10,56.87,Benin,568.6999999999999,2010-12,2010-12,1
539015,2010-12-15 13:38:00,15822.0,SC1446,Cloths,18,19.24,Benin,346.32,2010-12,2010-12,1
539050,2010-12-15 16:21:00,12577.0,SC8231,Cloths,81,49.34,Benin,3996.54,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC2990,Cloths,52,42.82,Benin,2226.64,2010-12,2010-12,1
539259,2010-12-16 14:32:00,13050.0,SC1967,Cloths,20,13.27,Benin,265.4,2010-12,2010-12,1
539293,2010-12-16 16:42:00,18223.0,SC7203,Cloths,8,99.63,Benin,797.04,2010-12,2010-12,1
539325,2010-12-17 08:20:00,13004.0,SC9276,Cloths,87,21.12,Benin,1837.44,2010-12,2010-12,1
539351,2010-12-17 11:23:00,12551.0,SC2708,Cloths,15,51.19,Benin,767.8499999999999,2010-12,2010-12,1
539395,2010-12-17 11:52:00,12471.0,SC8406,Cloths,34,1.1,Benin,37.400000000000006,2010-12,2010-12,1
539450,2010-12-17 16:53:00,15570.0,SC7785,Cloths,43,76.67,Benin,3296.81,2010-12,2010-12,1
539455,2010-12-17 17:17:00,12748.0,SC1262,Cloths,58,89.3,Benin,5179.4,2010-12,2010-12,1
539484,2010-12-19 15:44:00,15640.0,SC6356,Cloths,44,20.9,Benin,919.6,2010-12,2010-12,1
539629,2010-12-20 14:51:00,14062.0,SC4810,Cloths,73,78.46,Benin,5727.58,2010-12,2010-12,1
539647,2010-12-20 16:08:00,15460.0,SC8287,Cloths,8,6.51,Benin,52.08,2010-12,2010-12,1
540032,2011-01-04 13:50:00,13397.0,SC1542,Cloths,83,50.35,Benin,4179.05,2011-01,2011-01,1
540073,2011-01-04 14:47:00,16814.0,SC6526,Cloths,74,67.97,Benin,5029.78,2011-01,2011-01,1
540126,2011-01-05 10:45:00,13798.0,SC6359,Cloths,28,93.54,Benin,2619.1200000000003,2011-01,2011-01,1
540168,2011-01-05 12:15:00,13715.0,SC8248,Cloths,8,39.32,Benin,314.56,2011-01,2011-01,1
