InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC7172,Cosmetics,72,82.7,Benin,5954.400000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC9016,Cosmetics,72,9.7,Benin,698.4,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC7359,Cosmetics,36,80.91,Benin,2912.76,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6138,Cosmetics,50,92.37,Benin,4618.5,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC5440,Cosmetics,29,74.47,Benin,2159.63,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7879,Cosmetics,37,1.61,Benin,59.57,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC3302,Cosmetics,87,46.91,Benin,4081.17,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC8734,Cosmetics,66,63.66,Benin,4201.56,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC5985,Cosmetics,45,48.84,Benin,2197.8,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC2934,Cosmetics,14,41.99,Benin,587.86,2010-12,2010-12,1
536884,2010-12-03 11:42:00,14589.0,SC9178,Cosmetics,54,28.59,Benin,1543.86,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC1893,Cosmetics,82,58.26,Benin,4777.32,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6901,Cosmetics,14,88.23,Benin,1235.22,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC7546,Cosmetics,42,26.59,Benin,1116.78,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3177,Cosmetics,42,17.75,Benin,745.5,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7374,Cosmetics,59,24.83,Benin,1464.9699999999998,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC3520,Cosmetics,57,13.29,Benin,757.53,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC2425,Cosmetics,16,55.54,Benin,888.64,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC6179,Cosmetics,95,54.0,Benin,5130.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC2943,Cosmetics,46,68.5,Benin,3151.0,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC5747,Cosmetics,77,34.99,Benin,2694.23,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC9590,Cosmetics,51,12.57,Benin,641.07,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC6499,Cosmetics,37,83.58,Benin,3092.46,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC9682,Cosmetics,96,6.48,Benin,622.08,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC8568,Cosmetics,93,81.34,Benin,7564.62,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8110,Cosmetics,22,48.79,Benin,1073.38,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC2256,Cosmetics,27,65.72,Benin,1774.44,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2267,Cosmetics,6,24.28,Benin,145.68,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC2565,Cosmetics,70,15.94,Benin,1115.8,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC2714,Cosmetics,84,52.75,Benin,4431.0,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC1113,Cosmetics,2,11.24,Benin,22.48,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC3175,Cosmetics,27,30.85,Benin,832.95,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC7389,Cosmetics,45,95.01,Benin,4275.45,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC9937,Cosmetics,33,51.67,Benin,1705.11,2010-12,2010-12,1
537692,2010-12-08 10:40:00,14796.0,SC3312,Cosmetics,16,62.99,Benin,1007.84,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC6404,Cosmetics,44,71.81,Benin,3159.6400000000003,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC8929,Cosmetics,12,12.58,Benin,150.96,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC7406,Cosmetics,79,76.05,Benin,6007.95,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC1456,Cosmetics,62,24.03,Benin,1489.86,2010-12,2010-12,1
537842,2010-12-08 15:12:00,13140.0,SC3948,Cosmetics,93,21.66,Benin,2014.38,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC7869,Cosmetics,85,95.23,Benin,8094.55,2010-12,2010-12,1
537888,2010-12-09 10:04:00,15358.0,SC7014,Cosmetics,19,5.9,Benin,112.1,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC5786,Cosmetics,47,34.49,Benin,1621.0300000000002,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC3435,Cosmetics,37,62.1,Benin,2297.7000000000003,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC5050,Cosmetics,76,66.57,Benin,5059.32,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC1813,Cosmetics,48,35.71,Benin,1714.08,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC6208,Cosmetics,26,4.88,Benin,126.88,2010-12,2010-12,1
538197,2010-12-10 10:56:00,14419.0,SC8743,Cosmetics,62,48.66,Benin,3016.92,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC9868,Cosmetics,11,49.1,Benin,540.1,2010-12,2010-12,1
538263,2010-12-10 12:44:00,18065.0,SC4142,Cosmetics,35,95.67,Benin,3348.4500000000003,2010-12,2010-12,1
538308,2010-12-10 13:29:00,14107.0,SC2994,Cosmetics,59,69.21,Benin,4083.39,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC9368,Cosmetics,18,27.04,Benin,486.72,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC2132,Cosmetics,94,68.75,Benin,6462.5,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC2191,Cosmetics,62,24.05,Benin,1491.1,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC1356,Cosmetics,68,66.9,Benin,4549.200000000001,2010-12,2010-12,1
538517,2010-12-12 16:05:00,17618.0,SC8797,Cosmetics,96,82.54,Benin,7923.84,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC6917,Cosmetics,62,32.01,Benin,1984.62,2010-12,2010-12,1
538645,2010-12-13 14:52:00,13269.0,SC4331,Cosmetics,11,40.95,Benin,450.4500000000001,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC8184,Cosmetics,59,71.39,Benin,4212.01,2010-12,2010-12,1
538850,2010-12-14 13:31:00,16499.0,SC6427,Cosmetics,10,99.81,Benin,998.1,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC5105,Cosmetics,36,89.95,Benin,3238.2000000000003,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC2610,Cosmetics,76,78.05,Benin,5931.8,2010-12,2010-12,1
538872,2010-12-14 15:13:00,13097.0,SC1429,Cosmetics,59,56.38,Benin,3326.42,2010-12,2010-12,1
538993,2010-12-15 12:01:00,15512.0,SC6858,Cosmetics,12,19.09,Benin,229.08,2010-12,2010-12,1
539006,2010-12-15 12:54:00,15101.0,SC4301,Cosmetics,1,94.94,Benin,94.94,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC3289,Cosmetics,79,31.55,Benin,2492.4500000000003,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC5867,Cosmetics,35,19.38,Benin,678.3,2010-12,2010-12,1
539099,2010-12-16 10:30:00,16670.0,SC3183,Cosmetics,42,65.62,Benin,2756.04,2010-12,2010-12,1
539108,2010-12-16 11:03:00,16013.0,SC4741,Cosmetics,53,4.5,Benin,238.5,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC9726,Cosmetics,1,3.4,Benin,3.4,2010-12,2010-12,1
539250,2010-12-16 13:44:00,15157.0,SC1804,Cosmetics,90,8.65,Benin,778.5,2010-12,2010-12,1
539256,2010-12-16 14:27:00,15601.0,SC8269,Cosmetics,37,6.88,Benin,254.56,2010-12,2010-12,1
539447,2010-12-17 16:00:00,12395.0,SC5818,Cosmetics,24,84.99,Benin,2039.76,2010-12,2010-12,1
