InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC3095,Electronics,19,28.57,Benin,542.83,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8114,Electronics,26,19.76,Benin,513.76,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5492,Electronics,100,4.92,Benin,492.0,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2685,Electronics,98,73.84,Benin,7236.320000000001,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1268,Electronics,79,98.84,Benin,7808.360000000001,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4333,Electronics,93,46.94,Benin,4365.42,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC3647,Electronics,21,42.28,Benin,887.88,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC7688,Electronics,17,6.57,Benin,111.69,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC3001,Electronics,78,77.5,Benin,6045.0,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC3643,Electronics,88,61.89,Benin,5446.32,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4626,Electronics,61,80.37,Benin,4902.570000000001,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC1299,Electronics,74,82.17,Benin,6080.58,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC5799,Electronics,15,59.23,Benin,888.4499999999999,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6229,Electronics,68,83.64,Benin,5687.52,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC7757,Electronics,83,53.67,Benin,4454.610000000001,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC3235,Electronics,4,61.31,Benin,245.24,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC3444,Electronics,68,63.61,Benin,4325.48,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC6747,Electronics,28,41.87,Benin,1172.36,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC2012,Electronics,95,91.73,Benin,8714.35,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC3537,Electronics,85,83.41,Benin,7089.849999999999,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC3635,Electronics,20,82.21,Benin,1644.1999999999998,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC8304,Electronics,91,34.76,Benin,3163.16,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC1143,Electronics,78,18.32,Benin,1428.96,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3627,Electronics,21,16.07,Benin,337.47,2010-12,2010-12,1
