InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536525,2010-12-01 12:54:00,14078.0,SC5813,Furniture,49,58.11,Benin,2847.39,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC5816,Furniture,24,39.61,Benin,950.64,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC5365,Furniture,31,7.65,Benin,237.15,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC1268,Furniture,86,75.89,Benin,6526.54,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC4204,Furniture,92,21.99,Benin,2023.08,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC1591,Furniture,100,14.61,Benin,1461.0,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC1824,Furniture,47,20.89,Benin,981.83,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC4146,Furniture,65,56.86,Benin,3695.9,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1545,Furniture,36,18.43,Benin,663.48,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC8683,Furniture,44,7.4,Benin,325.6,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC4443,Furniture,69,90.03,Benin,6212.07,2010-12,2010-12,1
536977,2010-12-03 14:18:00,17954.0,SC3402,Furniture,42,98.24,Benin,4126.08,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9872,Furniture,35,86.61,Benin,3031.35,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC8809,Furniture,54,76.91,Benin,4153.139999999999,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9015,Furniture,24,76.71,Benin,1841.04,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8189,Furniture,71,44.56,Benin,3163.76,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC3447,Furniture,13,93.9,Benin,1220.7,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC9560,Furniture,13,13.85,Benin,180.04999999999998,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2078,Furniture,97,19.45,Benin,1886.65,2010-12,2010-12,1
537215,2010-12-05 15:38:00,12747.0,SC2940,Furniture,25,83.95,Benin,2098.75,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5190,Furniture,49,4.55,Benin,222.95,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC5736,Furniture,89,16.39,Benin,1458.71,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1522,Furniture,19,78.68,Benin,1494.92,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC1342,Furniture,77,50.64,Benin,3899.28,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC1654,Furniture,92,31.45,Benin,2893.4,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC4585,Furniture,21,60.24,Benin,1265.04,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC4144,Furniture,13,93.5,Benin,1215.5,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC5413,Furniture,5,34.58,Benin,172.89999999999998,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC8978,Furniture,64,40.42,Benin,2586.88,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC5723,Furniture,22,69.7,Benin,1533.4,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC7310,Furniture,40,87.19,Benin,3487.6,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC6860,Furniture,31,73.13,Benin,2267.03,2010-12,2010-12,1
537650,2010-12-07 15:48:00,16125.0,SC2432,Furniture,80,26.56,Benin,2124.8,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC1687,Furniture,62,81.93,Benin,5079.660000000001,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC4861,Furniture,53,84.35,Benin,4470.549999999999,2010-12,2010-12,1
537771,2010-12-08 12:29:00,15498.0,SC1356,Furniture,22,54.13,Benin,1190.86,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC1751,Furniture,79,35.27,Benin,2786.3300000000004,2010-12,2010-12,1
537780,2010-12-08 12:45:00,17324.0,SC4941,Furniture,24,55.03,Benin,1320.72,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC7844,Furniture,7,19.68,Benin,137.76,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC9316,Furniture,63,8.08,Benin,509.04,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC8769,Furniture,26,14.16,Benin,368.16,2010-12,2010-12,1
538013,2010-12-09 12:37:00,17062.0,SC9672,Furniture,75,30.42,Benin,2281.5,2010-12,2010-12,1
538097,2010-12-09 14:56:00,15192.0,SC9550,Furniture,53,93.11,Benin,4934.83,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC7852,Furniture,100,94.02,Benin,9402.0,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC5219,Furniture,6,42.92,Benin,257.52,2010-12,2010-12,1
538202,2010-12-10 11:19:00,14667.0,SC4103,Furniture,80,40.1,Benin,3208.0,2010-12,2010-12,1
538280,2010-12-10 12:50:00,12748.0,SC6470,Furniture,100,31.43,Benin,3143.0,2010-12,2010-12,1
538296,2010-12-10 13:06:00,13148.0,SC8561,Furniture,36,73.93,Benin,2661.4800000000005,2010-12,2010-12,1
538308,2010-12-10 13:29:00,14107.0,SC7446,Furniture,51,60.65,Benin,3093.15,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC8680,Furniture,25,21.8,Benin,545.0,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC3750,Furniture,74,14.46,Benin,1070.04,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC3880,Furniture,88,28.26,Benin,2486.88,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC5685,Furniture,51,68.63,Benin,3500.13,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC3740,Furniture,41,96.09,Benin,3939.69,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC8015,Furniture,3,68.51,Benin,205.53000000000003,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC8733,Furniture,53,17.02,Benin,902.06,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC2262,Furniture,56,6.66,Benin,372.96,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC6907,Furniture,73,36.99,Benin,2700.27,2010-12,2010-12,1
538513,2010-12-12 14:21:00,15454.0,SC7915,Furniture,49,48.08,Benin,2355.92,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC3124,Furniture,87,8.97,Benin,780.3900000000001,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC8078,Furniture,9,53.97,Benin,485.73,2010-12,2010-12,1
538533,2010-12-13 10:31:00,14796.0,SC3211,Furniture,40,40.67,Benin,1626.8000000000002,2010-12,2010-12,1
538576,2010-12-13 11:29:00,14498.0,SC6091,Furniture,68,21.75,Benin,1479.0,2010-12,2010-12,1
