InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536388,2010-12-01 09:59:00,16250.0,SC7462,Shoes,25,43.12,Benin,1078.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7467,Shoes,52,1.54,Benin,80.08,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4938,Shoes,95,95.91,Benin,9111.45,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC8647,Shoes,38,70.43,Benin,2676.34,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8779,Shoes,47,14.14,Benin,664.58,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1914,Shoes,51,17.66,Benin,900.66,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC7419,Shoes,62,96.35,Benin,5973.7,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC3854,Shoes,31,81.76,Benin,2534.56,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2646,Shoes,81,56.3,Benin,4560.3,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2830,Shoes,51,61.87,Benin,3155.37,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC6088,Shoes,88,85.46,Benin,7520.48,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1320,Shoes,27,12.42,Benin,335.34,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC8122,Shoes,100,48.89,Benin,4889.0,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC4362,Shoes,7,50.17,Benin,351.19,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC8459,Shoes,27,39.57,Benin,1068.39,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC3716,Shoes,23,80.24,Benin,1845.52,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC6296,Shoes,69,49.65,Benin,3425.85,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC9269,Shoes,32,19.24,Benin,615.68,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC8543,Shoes,57,79.81,Benin,4549.17,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9912,Shoes,69,23.26,Benin,1604.94,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC8122,Shoes,54,25.57,Benin,1380.78,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6993,Shoes,66,28.3,Benin,1867.8,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC3740,Shoes,45,11.83,Benin,532.35,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9560,Shoes,67,38.36,Benin,2570.12,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC5377,Shoes,43,95.74,Benin,4116.82,2010-12,2010-12,1
