InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC6866,Sports Equipment,90,3.92,Benin,352.8,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3020,Sports Equipment,91,93.39,Benin,8498.49,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC4535,Sports Equipment,53,49.23,Benin,2609.19,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC2871,Sports Equipment,8,33.46,Benin,267.68,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC2790,Sports Equipment,83,31.49,Benin,2613.67,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC6827,Sports Equipment,77,32.43,Benin,2497.11,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7268,Sports Equipment,30,62.78,Benin,1883.4,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC2945,Sports Equipment,23,77.22,Benin,1776.06,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC2787,Sports Equipment,63,75.0,Benin,4725.0,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC6336,Sports Equipment,76,16.83,Benin,1279.08,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4723,Sports Equipment,78,19.26,Benin,1502.2800000000002,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC3983,Sports Equipment,98,53.92,Benin,5284.16,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC9924,Sports Equipment,76,62.53,Benin,4752.28,2010-12,2010-12,1
536761,2010-12-02 14:30:00,13491.0,SC1160,Sports Equipment,81,38.47,Benin,3116.07,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC9830,Sports Equipment,4,80.22,Benin,320.88,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC1659,Sports Equipment,3,49.97,Benin,149.91,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC8796,Sports Equipment,68,14.12,Benin,960.16,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC6187,Sports Equipment,43,1.59,Benin,68.37,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC6887,Sports Equipment,26,90.88,Benin,2362.88,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5106,Sports Equipment,14,37.87,Benin,530.18,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9050,Sports Equipment,81,43.99,Benin,3563.19,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC6020,Sports Equipment,66,89.96,Benin,5937.36,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC4300,Sports Equipment,67,9.3,Benin,623.1,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC6308,Sports Equipment,77,97.78,Benin,7529.06,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC2460,Sports Equipment,5,2.4,Benin,12.0,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC5565,Sports Equipment,64,19.61,Benin,1255.04,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4202,Sports Equipment,4,5.94,Benin,23.76,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC7310,Sports Equipment,39,61.49,Benin,2398.11,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC2567,Sports Equipment,36,16.74,Benin,602.64,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC4371,Sports Equipment,80,74.03,Benin,5922.4,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1191,Sports Equipment,10,98.91,Benin,989.1,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC4735,Sports Equipment,1,3.37,Benin,3.37,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC3700,Sports Equipment,18,83.12,Benin,1496.16,2010-12,2010-12,1
537390,2010-12-06 13:47:00,16658.0,SC7893,Sports Equipment,4,3.76,Benin,15.04,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC4265,Sports Equipment,73,79.87,Benin,5830.51,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC2953,Sports Equipment,33,70.57,Benin,2328.81,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC7625,Sports Equipment,3,86.06,Benin,258.18,2010-12,2010-12,1
537592,2010-12-07 12:18:00,17491.0,SC3940,Sports Equipment,96,37.06,Benin,3557.76,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC1781,Sports Equipment,74,57.58,Benin,4260.92,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC3423,Sports Equipment,82,55.49,Benin,4550.18,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC6650,Sports Equipment,100,32.77,Benin,3277.0000000000005,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC5617,Sports Equipment,17,30.21,Benin,513.57,2010-12,2010-12,1
537658,2010-12-07 16:43:00,18102.0,SC4222,Sports Equipment,3,25.03,Benin,75.09,2010-12,2010-12,1
537678,2010-12-08 09:56:00,16779.0,SC7348,Sports Equipment,83,83.92,Benin,6965.360000000001,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC6743,Sports Equipment,14,51.67,Benin,723.38,2010-12,2010-12,1
537754,2010-12-08 11:16:00,16081.0,SC5988,Sports Equipment,52,20.57,Benin,1069.64,2010-12,2010-12,1
537760,2010-12-08 11:42:00,15973.0,SC2707,Sports Equipment,71,10.75,Benin,763.25,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC3986,Sports Equipment,50,11.3,Benin,565.0,2010-12,2010-12,1
537792,2010-12-08 12:56:00,16385.0,SC6068,Sports Equipment,73,55.96,Benin,4085.08,2010-12,2010-12,1
537842,2010-12-08 15:12:00,13140.0,SC6060,Sports Equipment,41,2.82,Benin,115.62,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC9667,Sports Equipment,95,43.94,Benin,4174.3,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC1387,Sports Equipment,48,84.62,Benin,4061.76,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC7940,Sports Equipment,69,49.79,Benin,3435.51,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC2796,Sports Equipment,22,87.35,Benin,1921.7,2010-12,2010-12,1
538106,2010-12-09 15:20:00,17950.0,SC5171,Sports Equipment,83,65.84,Benin,5464.72,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC4935,Sports Equipment,76,17.38,Benin,1320.88,2010-12,2010-12,1
538167,2010-12-09 18:58:00,14713.0,SC6296,Sports Equipment,40,92.14,Benin,3685.6,2010-12,2010-12,1
538170,2010-12-09 19:32:00,13969.0,SC3520,Sports Equipment,9,47.58,Benin,428.22,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC2044,Sports Equipment,84,9.79,Benin,822.3599999999999,2010-12,2010-12,1
538343,2010-12-10 14:29:00,13448.0,SC4984,Sports Equipment,35,68.34,Benin,2391.9,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC9619,Sports Equipment,72,18.3,Benin,1317.6,2010-12,2010-12,1
538371,2010-12-12 11:07:00,15570.0,SC3575,Sports Equipment,91,99.92,Benin,9092.72,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC7724,Sports Equipment,81,67.04,Benin,5430.240000000001,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC6745,Sports Equipment,95,45.05,Benin,4279.75,2010-12,2010-12,1
538453,2010-12-12 12:26:00,16779.0,SC7509,Sports Equipment,54,34.43,Benin,1859.22,2010-12,2010-12,1
538497,2010-12-12 12:44:00,14684.0,SC8467,Sports Equipment,5,31.54,Benin,157.7,2010-12,2010-12,1
538507,2010-12-12 13:26:00,15547.0,SC6319,Sports Equipment,6,78.96,Benin,473.76,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC4042,Sports Equipment,6,53.85,Benin,323.1,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC9159,Sports Equipment,16,74.37,Benin,1189.92,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC7432,Sports Equipment,93,96.72,Benin,8994.96,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC4106,Sports Equipment,92,35.09,Benin,3228.28,2010-12,2010-12,1
538679,2010-12-13 17:03:00,16455.0,SC6316,Sports Equipment,8,71.62,Benin,572.96,2010-12,2010-12,1
538809,2010-12-14 12:17:00,15514.0,SC7872,Sports Equipment,13,60.66,Benin,788.5799999999999,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC2965,Sports Equipment,47,55.35,Benin,2601.4500000000003,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC2975,Sports Equipment,57,31.34,Benin,1786.38,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC6194,Sports Equipment,2,40.15,Benin,80.3,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC7590,Sports Equipment,14,43.54,Benin,609.56,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC4358,Sports Equipment,74,22.04,Benin,1630.96,2010-12,2010-12,1
539002,2010-12-15 12:30:00,14527.0,SC3310,Sports Equipment,31,71.84,Benin,2227.04,2010-12,2010-12,1
539014,2010-12-15 13:37:00,17692.0,SC8801,Sports Equipment,91,28.51,Benin,2594.4100000000003,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC3968,Sports Equipment,50,94.67,Benin,4733.5,2010-12,2010-12,1
539040,2010-12-15 15:14:00,17214.0,SC1654,Sports Equipment,97,19.54,Benin,1895.38,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC7527,Sports Equipment,14,68.9,Benin,964.6,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC8240,Sports Equipment,98,37.66,Benin,3690.68,2010-12,2010-12,1
539212,2010-12-16 12:20:00,17146.0,SC3181,Sports Equipment,4,85.95,Benin,343.8,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC8848,Sports Equipment,89,17.05,Benin,1517.45,2010-12,2010-12,1
539240,2010-12-16 13:15:00,15194.0,SC4693,Sports Equipment,17,62.2,Benin,1057.4,2010-12,2010-12,1
539243,2010-12-16 13:21:00,18116.0,SC2387,Sports Equipment,99,13.76,Benin,1362.24,2010-12,2010-12,1
