InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC6026,Toys,63,8.76,Benin,551.88,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1844,Toys,31,80.16,Benin,2484.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8604,Toys,6,11.26,Benin,67.56,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6512,Toys,57,1.58,Benin,90.06,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC8823,Toys,11,46.66,Benin,513.26,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC7622,Toys,28,40.32,Benin,1128.96,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5243,Toys,10,5.7,Benin,57.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC8787,Toys,70,83.53,Benin,5847.1,2010-12,2010-12,1
536848,2010-12-03 09:39:00,13408.0,SC4984,Toys,27,61.28,Benin,1654.56,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC3992,Toys,72,10.19,Benin,733.68,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9637,Toys,1,8.51,Benin,8.51,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3744,Toys,90,62.23,Benin,5600.7,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC4695,Toys,38,65.74,Benin,2498.12,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC6879,Toys,35,44.53,Benin,1558.55,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC4766,Toys,77,46.23,Benin,3559.71,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC2543,Toys,77,6.98,Benin,537.46,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5471,Toys,95,17.08,Benin,1622.6,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1470,Toys,52,79.94,Benin,4156.88,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC9164,Toys,1,54.69,Benin,54.69,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC2909,Toys,36,76.37,Benin,2749.32,2010-12,2010-12,1
