InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536384,2010-12-01 09:53:00,18074.0,SC7629,Cloths,33,29.6,Cameroon,976.8,2010-12,2010-12,1
536407,2010-12-01 11:34:00,17850.0,SC9141,Cloths,33,60.32,Cameroon,1990.56,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8467,Cloths,68,29.97,Cameroon,2037.96,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5286,Cloths,56,53.03,Cameroon,2969.6800000000003,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC9973,Cloths,68,64.93,Cameroon,4415.240000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6843,Cloths,79,73.24,Cameroon,5785.96,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC1238,Cloths,59,35.55,Cameroon,2097.45,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9458,Cloths,21,80.86,Cameroon,1698.06,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC4319,Cloths,55,35.0,Cameroon,1925.0,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC9812,Cloths,37,34.74,Cameroon,1285.38,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC4847,Cloths,53,74.37,Cameroon,3941.61,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC3957,Cloths,23,62.62,Cameroon,1440.26,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC4660,Cloths,13,14.52,Cameroon,188.76,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC8236,Cloths,87,29.29,Cameroon,2548.23,2010-12,2010-12,1
536860,2010-12-03 10:43:00,16905.0,SC4338,Cloths,96,29.27,Cameroon,2809.92,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC2968,Cloths,70,67.54,Cameroon,4727.8,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC9704,Cloths,79,89.46,Cameroon,7067.339999999999,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC5798,Cloths,76,8.22,Cameroon,624.72,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC3190,Cloths,4,54.13,Cameroon,216.52,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC4907,Cloths,84,98.63,Cameroon,8284.92,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC1788,Cloths,53,34.4,Cameroon,1823.2,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC1443,Cloths,32,49.54,Cameroon,1585.28,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9798,Cloths,59,77.53,Cameroon,4574.27,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7645,Cloths,21,23.7,Cameroon,497.7,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC3787,Cloths,65,25.01,Cameroon,1625.65,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC6588,Cloths,5,93.85,Cameroon,469.25,2010-12,2010-12,1
