InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536464,2010-12-01 12:23:00,17968.0,SC8953,Cosmetics,36,53.8,Cameroon,1936.8,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC9181,Cosmetics,20,75.89,Cameroon,1517.8,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC7709,Cosmetics,2,47.1,Cameroon,94.2,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1001,Cosmetics,22,45.78,Cameroon,1007.16,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC4266,Cosmetics,4,41.64,Cameroon,166.56,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2697,Cosmetics,94,26.52,Cameroon,2492.88,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC5793,Cosmetics,6,3.58,Cameroon,21.48,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC1837,Cosmetics,98,81.74,Cameroon,8010.519999999999,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC8183,Cosmetics,54,65.7,Cameroon,3547.8,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC7439,Cosmetics,19,64.36,Cameroon,1222.84,2010-12,2010-12,1
536676,2010-12-02 12:18:00,16752.0,SC3023,Cosmetics,67,2.08,Cameroon,139.36,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC5222,Cosmetics,62,50.91,Cameroon,3156.42,2010-12,2010-12,1
536747,2010-12-02 13:44:00,17802.0,SC8645,Cosmetics,24,40.97,Cameroon,983.28,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC2149,Cosmetics,6,10.28,Cameroon,61.67999999999999,2010-12,2010-12,1
536806,2010-12-02 16:42:00,12971.0,SC9915,Cosmetics,87,85.26,Cameroon,7417.620000000001,2010-12,2010-12,1
536831,2010-12-02 17:40:00,16029.0,SC1920,Cosmetics,28,67.04,Cameroon,1877.12,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC9478,Cosmetics,52,19.68,Cameroon,1023.36,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC2402,Cosmetics,29,10.72,Cameroon,310.88,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC2350,Cosmetics,79,48.48,Cameroon,3829.92,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6483,Cosmetics,6,89.95,Cameroon,539.7,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC9364,Cosmetics,78,11.14,Cameroon,868.9200000000001,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC4019,Cosmetics,40,57.51,Cameroon,2300.4,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC2745,Cosmetics,100,31.01,Cameroon,3101.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8212,Cosmetics,29,2.08,Cameroon,60.32,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC6304,Cosmetics,87,97.13,Cameroon,8450.31,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC2927,Cosmetics,85,31.2,Cameroon,2652.0,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC2463,Cosmetics,74,4.5,Cameroon,333.0,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7960,Cosmetics,54,59.25,Cameroon,3199.5,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1509,Cosmetics,18,6.01,Cameroon,108.18,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC1919,Cosmetics,34,61.2,Cameroon,2080.8,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC6997,Cosmetics,57,59.69,Cameroon,3402.33,2010-12,2010-12,1
