InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC4423,Electronics,64,57.58,Cameroon,3685.12,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC5621,Electronics,49,75.15,Cameroon,3682.35,2010-12,2010-12,1
536580,2010-12-01 16:17:00,17690.0,SC4382,Electronics,63,92.79,Cameroon,5845.77,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC8276,Electronics,73,73.57,Cameroon,5370.61,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC9889,Electronics,44,51.33,Cameroon,2258.52,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC4392,Electronics,84,54.43,Cameroon,4572.12,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC8078,Electronics,50,59.08,Cameroon,2954.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4013,Electronics,57,25.97,Cameroon,1480.29,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC4377,Electronics,75,62.53,Cameroon,4689.75,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5613,Electronics,88,96.97,Cameroon,8533.36,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC8748,Electronics,59,38.92,Cameroon,2296.28,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC9299,Electronics,67,52.09,Cameroon,3490.03,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC2674,Electronics,88,79.07,Cameroon,6958.16,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC8236,Electronics,31,18.75,Cameroon,581.25,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2930,Electronics,46,3.24,Cameroon,149.04000000000002,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC9091,Electronics,76,16.85,Cameroon,1280.6,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC4789,Electronics,73,62.2,Cameroon,4540.6,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC7719,Electronics,46,36.04,Cameroon,1657.84,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC1532,Electronics,12,21.04,Cameroon,252.48,2010-12,2010-12,1
537205,2010-12-05 14:52:00,13034.0,SC3173,Electronics,5,27.2,Cameroon,136.0,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5995,Electronics,15,67.99,Cameroon,1019.85,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC7794,Electronics,16,69.3,Cameroon,1108.8,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC6430,Electronics,68,93.88,Cameroon,6383.84,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC4231,Electronics,10,83.04,Cameroon,830.4000000000001,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC1426,Electronics,47,47.4,Cameroon,2227.8,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC9411,Electronics,30,10.88,Cameroon,326.40000000000003,2010-12,2010-12,1
537671,2010-12-08 09:20:00,13267.0,SC1838,Electronics,15,76.07,Cameroon,1141.05,2010-12,2010-12,1
537694,2010-12-08 10:46:00,14901.0,SC1731,Electronics,7,46.85,Cameroon,327.95,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC6428,Electronics,61,76.19,Cameroon,4647.59,2010-12,2010-12,1
537771,2010-12-08 12:29:00,15498.0,SC4726,Electronics,37,52.16,Cameroon,1929.92,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8627,Electronics,78,9.8,Cameroon,764.4000000000001,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC8046,Electronics,15,9.35,Cameroon,140.25,2010-12,2010-12,1
537826,2010-12-08 14:38:00,15581.0,SC8450,Electronics,26,48.14,Cameroon,1251.64,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC8166,Electronics,35,88.94,Cameroon,3112.9,2010-12,2010-12,1
537848,2010-12-08 15:35:00,13777.0,SC5729,Electronics,19,37.75,Cameroon,717.25,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC4287,Electronics,1,57.61,Cameroon,57.61,2010-12,2010-12,1
537882,2010-12-09 09:25:00,15079.0,SC9047,Electronics,81,30.97,Cameroon,2508.57,2010-12,2010-12,1
538002,2010-12-09 11:48:00,14932.0,SC7778,Electronics,59,19.17,Cameroon,1131.0300000000002,2010-12,2010-12,1
538003,2010-12-09 12:05:00,12429.0,SC3595,Electronics,88,32.1,Cameroon,2824.8,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC5352,Electronics,34,52.12,Cameroon,1772.08,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC4213,Electronics,82,1.57,Cameroon,128.74,2010-12,2010-12,1
538163,2010-12-09 17:27:00,17841.0,SC3627,Electronics,22,47.53,Cameroon,1045.66,2010-12,2010-12,1
538169,2010-12-09 19:28:00,13230.0,SC3999,Electronics,45,80.47,Cameroon,3621.15,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC5729,Electronics,79,80.83,Cameroon,6385.57,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6050,Electronics,88,61.55,Cameroon,5416.4,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC1931,Electronics,6,6.82,Cameroon,40.92,2010-12,2010-12,1
538209,2010-12-10 11:42:00,12748.0,SC9681,Electronics,36,94.0,Cameroon,3384.0,2010-12,2010-12,1
538211,2010-12-10 11:47:00,17690.0,SC5191,Electronics,14,30.73,Cameroon,430.22,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC2958,Electronics,1,86.84,Cameroon,86.84,2010-12,2010-12,1
538382,2010-12-12 11:37:00,17218.0,SC6938,Electronics,96,25.31,Cameroon,2429.76,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC1970,Electronics,67,57.31,Cameroon,3839.77,2010-12,2010-12,1
538473,2010-12-12 12:35:00,13668.0,SC3167,Electronics,22,74.01,Cameroon,1628.22,2010-12,2010-12,1
538511,2010-12-12 13:56:00,13959.0,SC5752,Electronics,79,53.05,Cameroon,4190.95,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC5485,Electronics,37,23.39,Cameroon,865.4300000000001,2010-12,2010-12,1
538521,2010-12-13 09:02:00,14180.0,SC7942,Electronics,7,99.83,Cameroon,698.81,2010-12,2010-12,1
538630,2010-12-13 13:25:00,14565.0,SC1290,Electronics,60,70.39,Cameroon,4223.4,2010-12,2010-12,1
538872,2010-12-14 15:13:00,13097.0,SC3945,Electronics,29,64.73,Cameroon,1877.17,2010-12,2010-12,1
538872,2010-12-14 15:13:00,13097.0,SC9624,Electronics,18,71.72,Cameroon,1290.96,2010-12,2010-12,1
539002,2010-12-15 12:30:00,14527.0,SC5473,Electronics,4,49.56,Cameroon,198.24,2010-12,2010-12,1
539019,2010-12-15 14:12:00,17551.0,SC2942,Electronics,8,40.84,Cameroon,326.72,2010-12,2010-12,1
539118,2010-12-16 11:27:00,15563.0,SC4977,Electronics,26,56.9,Cameroon,1479.4,2010-12,2010-12,1
539160,2010-12-16 11:43:00,16746.0,SC2611,Electronics,73,24.87,Cameroon,1815.51,2010-12,2010-12,1
539201,2010-12-16 12:11:00,14878.0,SC9216,Electronics,97,24.41,Cameroon,2367.77,2010-12,2010-12,1
539256,2010-12-16 14:27:00,15601.0,SC9333,Electronics,40,73.8,Cameroon,2952.0,2010-12,2010-12,1
539264,2010-12-16 15:02:00,15224.0,SC2018,Electronics,67,91.93,Cameroon,6159.31,2010-12,2010-12,1
539294,2010-12-16 16:45:00,15532.0,SC2897,Electronics,32,30.27,Cameroon,968.64,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC5807,Electronics,75,74.84,Cameroon,5613.0,2010-12,2010-12,1
539338,2010-12-17 10:54:00,17404.0,SC1984,Electronics,7,75.17,Cameroon,526.19,2010-12,2010-12,1
539419,2010-12-17 14:10:00,12431.0,SC4508,Electronics,35,50.94,Cameroon,1782.9,2010-12,2010-12,1
539447,2010-12-17 16:00:00,12395.0,SC9836,Electronics,8,21.16,Cameroon,169.28,2010-12,2010-12,1
539473,2010-12-19 14:24:00,14911.0,SC6764,Electronics,92,25.33,Cameroon,2330.36,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC4975,Electronics,94,41.74,Cameroon,3923.56,2010-12,2010-12,1
539728,2010-12-21 14:26:00,16270.0,SC6165,Electronics,66,9.73,Cameroon,642.1800000000001,2010-12,2010-12,1
539760,2010-12-21 17:16:00,17400.0,SC7521,Electronics,40,4.37,Cameroon,174.8,2010-12,2010-12,1
539840,2010-12-22 14:28:00,12383.0,SC8623,Electronics,43,15.1,Cameroon,649.3,2010-12,2010-12,1
540017,2011-01-04 11:48:00,13963.0,SC3140,Electronics,68,75.24,Cameroon,5116.32,2011-01,2011-01,1
540031,2011-01-04 13:50:00,17975.0,SC1100,Electronics,37,58.51,Cameroon,2164.87,2011-01,2011-01,1
540172,2011-01-05 12:29:00,18109.0,SC2013,Electronics,42,77.55,Cameroon,3257.1,2011-01,2011-01,1
540172,2011-01-05 12:29:00,18109.0,SC6076,Electronics,61,47.14,Cameroon,2875.54,2011-01,2011-01,1
540348,2011-01-06 13:56:00,12841.0,SC3910,Electronics,92,14.86,Cameroon,1367.12,2011-01,2011-01,1
540359,2011-01-06 15:29:00,18041.0,SC6129,Electronics,75,53.12,Cameroon,3984.0,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC5578,Electronics,55,26.15,Cameroon,1438.25,2011-01,2011-01,1
540456,2011-01-07 12:14:00,13534.0,SC3270,Electronics,68,8.9,Cameroon,605.2,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC2948,Electronics,46,98.99,Cameroon,4553.54,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC2505,Electronics,86,68.44,Cameroon,5885.84,2011-01,2011-01,1
540473,2011-01-07 14:31:00,17284.0,SC5765,Electronics,65,40.81,Cameroon,2652.65,2011-01,2011-01,1
540518,2011-01-09 12:03:00,14761.0,SC8206,Electronics,34,70.73,Cameroon,2404.82,2011-01,2011-01,1
540538,2011-01-09 14:36:00,17841.0,SC1866,Electronics,61,35.89,Cameroon,2189.29,2011-01,2010-12,2
540550,2011-01-10 09:11:00,12539.0,SC8823,Electronics,25,98.14,Cameroon,2453.5,2011-01,2011-01,1
540644,2011-01-10 14:16:00,16303.0,SC1133,Electronics,23,31.16,Cameroon,716.68,2011-01,2011-01,1
540672,2011-01-10 15:51:00,15281.0,SC4475,Electronics,9,40.33,Cameroon,362.97,2011-01,2011-01,1
540768,2011-01-11 10:38:00,17428.0,SC8172,Electronics,18,34.0,Cameroon,612.0,2011-01,2011-01,1
540779,2011-01-11 11:18:00,15346.0,SC8755,Electronics,1,97.11,Cameroon,97.11,2011-01,2011-01,1
540779,2011-01-11 11:18:00,15346.0,SC4691,Electronics,43,64.59,Cameroon,2777.3700000000003,2011-01,2011-01,1
540813,2011-01-11 12:41:00,14669.0,SC5057,Electronics,48,86.05,Cameroon,4130.4,2011-01,2011-01,1
540823,2011-01-11 13:26:00,15569.0,SC6746,Electronics,12,22.15,Cameroon,265.79999999999995,2011-01,2011-01,1
540824,2011-01-11 13:31:00,12728.0,SC6198,Electronics,87,33.07,Cameroon,2877.09,2011-01,2011-01,1
540866,2011-01-12 11:21:00,17324.0,SC1404,Electronics,72,73.46,Cameroon,5289.12,2011-01,2011-01,1
