InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536535,2010-12-01 13:38:00,15605.0,SC7641,Furniture,53,31.75,Cameroon,1682.75,2010-12,2010-12,1
536541,2010-12-01 14:05:00,14911.0,SC5142,Furniture,9,46.48,Cameroon,418.32,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5860,Furniture,84,17.97,Cameroon,1509.48,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3080,Furniture,34,63.84,Cameroon,2170.56,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC2011,Furniture,71,8.46,Cameroon,600.6600000000001,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC9273,Furniture,35,32.95,Cameroon,1153.25,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7795,Furniture,30,36.59,Cameroon,1097.7,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC5691,Furniture,96,18.12,Cameroon,1739.52,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC7432,Furniture,63,60.29,Cameroon,3798.27,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC5238,Furniture,94,16.83,Cameroon,1582.0199999999998,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC5523,Furniture,61,28.88,Cameroon,1761.6799999999998,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC4155,Furniture,99,90.63,Cameroon,8972.369999999999,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC7893,Furniture,92,92.67,Cameroon,8525.64,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC8934,Furniture,77,24.96,Cameroon,1921.92,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC7205,Furniture,11,76.03,Cameroon,836.33,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC2261,Furniture,78,91.29,Cameroon,7120.620000000001,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9287,Furniture,96,67.31,Cameroon,6461.76,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC3175,Furniture,46,69.4,Cameroon,3192.4,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC8481,Furniture,28,36.24,Cameroon,1014.72,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC9929,Furniture,2,7.34,Cameroon,14.68,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC8076,Furniture,30,19.05,Cameroon,571.5,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9137,Furniture,20,28.23,Cameroon,564.6,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC4055,Furniture,66,80.37,Cameroon,5304.42,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC1820,Furniture,46,85.17,Cameroon,3917.82,2010-12,2010-12,1
537179,2010-12-05 13:29:00,13767.0,SC8302,Furniture,73,1.05,Cameroon,76.65,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC9119,Furniture,63,78.6,Cameroon,4951.799999999999,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC9479,Furniture,96,12.27,Cameroon,1177.92,2010-12,2010-12,1
537335,2010-12-06 12:15:00,15048.0,SC5443,Furniture,15,66.23,Cameroon,993.45,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2913,Furniture,48,88.48,Cameroon,4247.04,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC4592,Furniture,35,68.04,Cameroon,2381.4,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC1727,Furniture,14,6.47,Cameroon,90.58,2010-12,2010-12,1
