InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC3774,Jewelry,99,2.6,Cameroon,257.40000000000003,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2331,Jewelry,87,44.01,Cameroon,3828.87,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9905,Jewelry,63,41.14,Cameroon,2591.82,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC3611,Jewelry,66,5.14,Cameroon,339.23999999999995,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC8587,Jewelry,15,60.59,Cameroon,908.85,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC2084,Jewelry,73,78.84,Cameroon,5755.320000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2532,Jewelry,38,6.59,Cameroon,250.42,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1170,Jewelry,40,85.9,Cameroon,3436.0,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC2377,Jewelry,97,46.01,Cameroon,4462.97,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3912,Jewelry,90,14.56,Cameroon,1310.4,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC8999,Jewelry,38,55.43,Cameroon,2106.34,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC9871,Jewelry,50,20.58,Cameroon,1029.0,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1580,Jewelry,65,93.45,Cameroon,6074.25,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1204,Jewelry,33,12.98,Cameroon,428.34,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC3360,Jewelry,25,74.94,Cameroon,1873.5,2010-12,2010-12,1
536763,2010-12-02 14:42:00,17685.0,SC6972,Jewelry,28,80.19,Cameroon,2245.32,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC9507,Jewelry,68,70.38,Cameroon,4785.84,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC3570,Jewelry,63,33.95,Cameroon,2138.8500000000004,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC7638,Jewelry,85,79.38,Cameroon,6747.299999999999,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4309,Jewelry,19,33.11,Cameroon,629.09,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC5116,Jewelry,50,21.56,Cameroon,1078.0,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC1131,Jewelry,43,24.07,Cameroon,1035.01,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC2448,Jewelry,58,22.78,Cameroon,1321.24,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC1285,Jewelry,77,19.36,Cameroon,1490.72,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC3948,Jewelry,96,49.57,Cameroon,4758.72,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4555,Jewelry,38,69.16,Cameroon,2628.08,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC7662,Jewelry,2,83.74,Cameroon,167.48,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3586,Jewelry,10,78.45,Cameroon,784.5,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2381,Jewelry,86,76.85,Cameroon,6609.099999999999,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7682,Jewelry,69,37.0,Cameroon,2553.0,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC4369,Jewelry,21,24.61,Cameroon,516.81,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC1353,Jewelry,6,41.61,Cameroon,249.66,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1699,Jewelry,100,68.38,Cameroon,6838.0,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC1498,Jewelry,59,1.07,Cameroon,63.13,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC6493,Jewelry,90,53.72,Cameroon,4834.8,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC5675,Jewelry,40,94.74,Cameroon,3789.6,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC1033,Jewelry,8,3.61,Cameroon,28.88,2010-12,2010-12,1
537606,2010-12-07 13:16:00,15002.0,SC4025,Jewelry,79,6.16,Cameroon,486.64,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8082,Jewelry,71,82.58,Cameroon,5863.18,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC8587,Jewelry,26,51.05,Cameroon,1327.3,2010-12,2010-12,1
537626,2010-12-07 14:57:00,12347.0,SC7222,Jewelry,62,83.75,Cameroon,5192.5,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC8189,Jewelry,15,10.88,Cameroon,163.20000000000002,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC6288,Jewelry,56,34.07,Cameroon,1907.92,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC3800,Jewelry,42,91.72,Cameroon,3852.24,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC8804,Jewelry,29,92.11,Cameroon,2671.19,2010-12,2010-12,1
