InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC7291,Kitchenware,45,89.47,Cameroon,4026.15,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2343,Kitchenware,87,3.12,Cameroon,271.44,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2852,Kitchenware,97,52.52,Cameroon,5094.4400000000005,2010-12,2010-12,1
536580,2010-12-01 16:17:00,17690.0,SC7910,Kitchenware,51,43.3,Cameroon,2208.3,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC4603,Kitchenware,56,29.03,Cameroon,1625.68,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC1166,Kitchenware,60,47.46,Cameroon,2847.6,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC2980,Kitchenware,6,78.65,Cameroon,471.9,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7995,Kitchenware,30,55.41,Cameroon,1662.3,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC6175,Kitchenware,48,97.19,Cameroon,4665.12,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC4832,Kitchenware,89,56.68,Cameroon,5044.52,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC5393,Kitchenware,53,7.44,Cameroon,394.32,2010-12,2010-12,1
536840,2010-12-02 18:27:00,12738.0,SC1179,Kitchenware,40,59.94,Cameroon,2397.6,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC5054,Kitchenware,17,36.99,Cameroon,628.83,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC3319,Kitchenware,86,97.21,Cameroon,8360.06,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC4127,Kitchenware,40,14.09,Cameroon,563.6,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC7073,Kitchenware,53,96.12,Cameroon,5094.360000000001,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6580,Kitchenware,74,22.54,Cameroon,1667.96,2010-12,2010-12,1
536994,2010-12-03 15:25:00,14898.0,SC1019,Kitchenware,92,49.86,Cameroon,4587.12,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC3531,Kitchenware,57,79.8,Cameroon,4548.599999999999,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC3278,Kitchenware,66,58.49,Cameroon,3860.34,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4410,Kitchenware,31,17.11,Cameroon,530.41,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1495,Kitchenware,19,5.47,Cameroon,103.93,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4920,Kitchenware,82,19.13,Cameroon,1568.66,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC5076,Kitchenware,1,29.14,Cameroon,29.14,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC9209,Kitchenware,12,98.42,Cameroon,1181.04,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7364,Kitchenware,14,63.81,Cameroon,893.34,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8210,Kitchenware,96,62.19,Cameroon,5970.24,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC1428,Kitchenware,9,34.82,Cameroon,313.38,2010-12,2010-12,1
537298,2010-12-06 11:37:00,13497.0,SC7966,Kitchenware,8,5.21,Cameroon,41.68,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC2311,Kitchenware,41,17.72,Cameroon,726.52,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC9745,Kitchenware,72,28.97,Cameroon,2085.84,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC2274,Kitchenware,92,77.33,Cameroon,7114.36,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2783,Kitchenware,66,43.51,Cameroon,2871.66,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC4883,Kitchenware,9,10.42,Cameroon,93.78,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC2733,Kitchenware,1,40.07,Cameroon,40.07,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC4450,Kitchenware,40,63.7,Cameroon,2548.0,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5410,Kitchenware,55,12.53,Cameroon,689.15,2010-12,2010-12,1
