InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC6639,Shoes,64,11.78,Cameroon,753.92,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC4677,Shoes,72,93.51,Cameroon,6732.72,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8141,Shoes,64,51.25,Cameroon,3280.0,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5421,Shoes,94,64.87,Cameroon,6097.780000000001,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4707,Shoes,42,73.27,Cameroon,3077.34,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7301,Shoes,46,55.01,Cameroon,2530.46,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1118,Shoes,37,65.8,Cameroon,2434.6,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC2816,Shoes,32,97.53,Cameroon,3120.96,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC4181,Shoes,35,14.56,Cameroon,509.6,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC7159,Shoes,18,6.15,Cameroon,110.7,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC7543,Shoes,75,51.31,Cameroon,3848.25,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC6347,Shoes,60,19.17,Cameroon,1150.2,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC9904,Shoes,3,98.41,Cameroon,295.23,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC7159,Shoes,6,31.46,Cameroon,188.76,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC8310,Shoes,3,63.12,Cameroon,189.36,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC4961,Shoes,83,33.29,Cameroon,2763.07,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7666,Shoes,77,84.4,Cameroon,6498.8,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC5885,Shoes,80,88.46,Cameroon,7076.799999999999,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4664,Shoes,58,88.77,Cameroon,5148.66,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC7306,Shoes,95,55.5,Cameroon,5272.5,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC1864,Shoes,7,43.65,Cameroon,305.55,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9768,Shoes,61,71.7,Cameroon,4373.7,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC1394,Shoes,88,39.32,Cameroon,3460.16,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC2043,Shoes,85,71.59,Cameroon,6085.150000000001,2010-12,2010-12,1
