InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC2849,Sports Equipment,3,76.29,Cameroon,228.87,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC3495,Sports Equipment,8,70.54,Cameroon,564.32,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5632,Sports Equipment,13,48.36,Cameroon,628.68,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3022,Sports Equipment,81,43.74,Cameroon,3542.94,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9393,Sports Equipment,59,70.49,Cameroon,4158.91,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC8260,Sports Equipment,37,70.44,Cameroon,2606.28,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5547,Sports Equipment,92,61.47,Cameroon,5655.24,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC8738,Sports Equipment,47,43.2,Cameroon,2030.4,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC2165,Sports Equipment,71,90.16,Cameroon,6401.36,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC5624,Sports Equipment,99,70.45,Cameroon,6974.55,2010-12,2010-12,1
536740,2010-12-02 13:08:00,15827.0,SC8128,Sports Equipment,44,92.06,Cameroon,4050.64,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC5361,Sports Equipment,73,72.63,Cameroon,5301.99,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC8769,Sports Equipment,79,80.67,Cameroon,6372.93,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC8241,Sports Equipment,1,71.29,Cameroon,71.29,2010-12,2010-12,1
536798,2010-12-02 15:55:00,17838.0,SC5854,Sports Equipment,90,62.33,Cameroon,5609.7,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC3489,Sports Equipment,62,87.15,Cameroon,5403.3,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC5751,Sports Equipment,57,44.42,Cameroon,2531.94,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3737,Sports Equipment,62,8.38,Cameroon,519.5600000000001,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3771,Sports Equipment,13,79.11,Cameroon,1028.43,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC1977,Sports Equipment,19,76.37,Cameroon,1451.0300000000002,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC9304,Sports Equipment,64,61.9,Cameroon,3961.6,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC4645,Sports Equipment,87,93.58,Cameroon,8141.46,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC4148,Sports Equipment,9,72.88,Cameroon,655.92,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8006,Sports Equipment,95,83.89,Cameroon,7969.55,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC4314,Sports Equipment,60,65.67,Cameroon,3940.2,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC2493,Sports Equipment,43,18.77,Cameroon,807.11,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC6835,Sports Equipment,24,57.75,Cameroon,1386.0,2010-12,2010-12,1
537248,2010-12-06 10:36:00,15899.0,SC5113,Sports Equipment,80,28.29,Cameroon,2263.2,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC2699,Sports Equipment,84,44.75,Cameroon,3759.0,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC5349,Sports Equipment,34,2.63,Cameroon,89.42,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC9292,Sports Equipment,3,86.7,Cameroon,260.1,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC8852,Sports Equipment,25,44.55,Cameroon,1113.75,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC6027,Sports Equipment,27,53.62,Cameroon,1447.74,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC5530,Sports Equipment,90,6.26,Cameroon,563.4,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC5330,Sports Equipment,7,53.98,Cameroon,377.86,2010-12,2010-12,1
537567,2010-12-07 11:59:00,18119.0,SC6635,Sports Equipment,94,45.82,Cameroon,4307.08,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC4138,Sports Equipment,75,92.8,Cameroon,6960.0,2010-12,2010-12,1
537659,2010-12-07 16:43:00,18102.0,SC8485,Sports Equipment,26,76.53,Cameroon,1989.78,2010-12,2010-12,1
537765,2010-12-08 12:08:00,14606.0,SC1927,Sports Equipment,16,62.24,Cameroon,995.84,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC1584,Sports Equipment,50,7.01,Cameroon,350.5,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC6480,Sports Equipment,38,47.97,Cameroon,1822.86,2010-12,2010-12,1
537840,2010-12-08 15:03:00,13531.0,SC4037,Sports Equipment,48,84.4,Cameroon,4051.2,2010-12,2010-12,1
537896,2010-12-09 10:33:00,18071.0,SC1462,Sports Equipment,32,66.81,Cameroon,2137.92,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC7763,Sports Equipment,38,36.63,Cameroon,1391.94,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC1913,Sports Equipment,27,27.62,Cameroon,745.74,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC1790,Sports Equipment,27,9.03,Cameroon,243.81,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC9598,Sports Equipment,92,6.52,Cameroon,599.8399999999999,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC6131,Sports Equipment,83,18.23,Cameroon,1513.09,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC4190,Sports Equipment,4,22.76,Cameroon,91.04,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC8087,Sports Equipment,15,98.27,Cameroon,1474.05,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC5183,Sports Equipment,47,65.08,Cameroon,3058.76,2010-12,2010-12,1
538205,2010-12-10 11:24:00,12748.0,SC2361,Sports Equipment,76,36.67,Cameroon,2786.92,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC3407,Sports Equipment,89,87.38,Cameroon,7776.82,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC5264,Sports Equipment,7,87.24,Cameroon,610.68,2010-12,2010-12,1
538368,2010-12-12 10:57:00,15503.0,SC1566,Sports Equipment,43,89.81,Cameroon,3861.83,2010-12,2010-12,1
538437,2010-12-12 12:18:00,16010.0,SC2901,Sports Equipment,89,45.26,Cameroon,4028.14,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC8922,Sports Equipment,86,5.36,Cameroon,460.96,2010-12,2010-12,1
538597,2010-12-13 12:26:00,15555.0,SC5142,Sports Equipment,10,50.19,Cameroon,501.9,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC7344,Sports Equipment,91,6.13,Cameroon,557.83,2010-12,2010-12,1
538785,2010-12-14 11:39:00,14961.0,SC3871,Sports Equipment,38,56.7,Cameroon,2154.6,2010-12,2010-12,1
538807,2010-12-14 12:06:00,17194.0,SC4606,Sports Equipment,58,12.99,Cameroon,753.42,2010-12,2010-12,1
538811,2010-12-14 12:22:00,13178.0,SC3469,Sports Equipment,16,26.15,Cameroon,418.4,2010-12,2010-12,1
538826,2010-12-14 12:58:00,12370.0,SC6920,Sports Equipment,63,69.37,Cameroon,4370.31,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC9170,Sports Equipment,63,3.63,Cameroon,228.69,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC1802,Sports Equipment,61,44.83,Cameroon,2734.63,2010-12,2010-12,1
538854,2010-12-14 13:44:00,13102.0,SC7944,Sports Equipment,18,26.72,Cameroon,480.96,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC6919,Sports Equipment,44,34.29,Cameroon,1508.76,2010-12,2010-12,1
538879,2010-12-14 15:50:00,15392.0,SC3853,Sports Equipment,47,51.24,Cameroon,2408.28,2010-12,2010-12,1
538910,2010-12-15 10:54:00,17454.0,SC7104,Sports Equipment,41,36.18,Cameroon,1483.38,2010-12,2010-12,1
