InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536392,2010-12-01 10:29:00,13705.0,SC9393,Toys,63,21.68,Cameroon,1365.84,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4429,Toys,8,72.08,Cameroon,576.64,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1489,Toys,30,26.81,Cameroon,804.3,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6205,Toys,11,61.43,Cameroon,675.73,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC5339,Toys,83,57.26,Cameroon,4752.58,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2311,Toys,36,99.43,Cameroon,3579.4800000000005,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1110,Toys,28,65.35,Cameroon,1829.8,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC5681,Toys,1,86.61,Cameroon,86.61,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9185,Toys,20,2.22,Cameroon,44.400000000000006,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC3600,Toys,37,88.41,Cameroon,3271.17,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC7884,Toys,87,84.53,Cameroon,7354.11,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC4016,Toys,19,33.17,Cameroon,630.23,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC1838,Toys,51,34.95,Cameroon,1782.45,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC3048,Toys,9,76.33,Cameroon,686.97,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC3654,Toys,6,1.6,Cameroon,9.6,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC3727,Toys,11,86.87,Cameroon,955.57,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC7227,Toys,100,20.35,Cameroon,2035.0,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2005,Toys,7,91.94,Cameroon,643.5799999999999,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC4973,Toys,56,86.22,Cameroon,4828.32,2010-12,2010-12,1
536858,2010-12-03 10:36:00,13520.0,SC2568,Toys,19,5.14,Cameroon,97.66,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8103,Toys,100,17.39,Cameroon,1739.0,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5674,Toys,15,60.94,Cameroon,914.1,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4910,Toys,60,57.12,Cameroon,3427.2,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC4934,Toys,35,9.12,Cameroon,319.2,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC4859,Toys,85,67.86,Cameroon,5768.1,2010-12,2010-12,1
536983,2010-12-03 14:30:00,12712.0,SC9729,Toys,31,22.28,Cameroon,690.6800000000001,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7885,Toys,19,27.44,Cameroon,521.36,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC4829,Toys,39,72.72,Cameroon,2836.08,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC1234,Toys,97,3.79,Cameroon,367.63,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC9936,Toys,60,35.73,Cameroon,2143.8,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC3112,Toys,21,89.54,Cameroon,1880.34,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC5664,Toys,21,71.05,Cameroon,1492.05,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC9676,Toys,85,54.35,Cameroon,4619.75,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8280,Toys,48,58.85,Cameroon,2824.8,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC9775,Toys,37,82.71,Cameroon,3060.27,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC8220,Toys,16,12.99,Cameroon,207.84,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC1705,Toys,14,70.36,Cameroon,985.04,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC5189,Toys,27,1.02,Cameroon,27.54,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7409,Toys,61,99.03,Cameroon,6040.83,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC6967,Toys,46,68.11,Cameroon,3133.06,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC3667,Toys,41,79.78,Cameroon,3270.98,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC1894,Toys,41,15.29,Cameroon,626.89,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC5366,Toys,3,36.94,Cameroon,110.82,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC2607,Toys,34,81.21,Cameroon,2761.14,2010-12,2010-12,1
537757,2010-12-08 11:38:00,17975.0,SC4114,Toys,73,42.21,Cameroon,3081.33,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC2536,Toys,10,21.95,Cameroon,219.5,2010-12,2010-12,1
537844,2010-12-08 15:17:00,17999.0,SC6590,Toys,21,74.53,Cameroon,1565.13,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC8346,Toys,26,63.5,Cameroon,1651.0,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC6120,Toys,80,24.62,Cameroon,1969.6,2010-12,2010-12,1
538126,2010-12-09 15:50:00,17838.0,SC3206,Toys,30,16.34,Cameroon,490.2,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC5950,Toys,94,66.76,Cameroon,6275.4400000000005,2010-12,2010-12,1
538196,2010-12-10 10:56:00,12731.0,SC3027,Toys,92,91.24,Cameroon,8394.08,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC3835,Toys,88,4.85,Cameroon,426.8,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC4563,Toys,68,97.94,Cameroon,6659.92,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC8555,Toys,37,37.25,Cameroon,1378.25,2010-12,2010-12,1
