InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536369,2010-12-01 08:35:00,13047.0,SC5713,Books,42,46.3,Cote d'Ivoire,1944.6,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1982,Books,58,1.57,Cote d'Ivoire,91.06,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4457,Books,47,34.57,Cote d'Ivoire,1624.79,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC8817,Books,20,75.0,Cote d'Ivoire,1500.0,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2814,Books,62,28.07,Cote d'Ivoire,1740.34,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC9955,Books,97,58.52,Cote d'Ivoire,5676.4400000000005,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2961,Books,21,46.51,Cote d'Ivoire,976.71,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC3867,Books,72,43.38,Cote d'Ivoire,3123.36,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC6434,Books,55,89.48,Cote d'Ivoire,4921.400000000001,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC4307,Books,11,38.11,Cote d'Ivoire,419.21,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4685,Books,65,96.99,Cote d'Ivoire,6304.349999999999,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC7702,Books,96,14.77,Cote d'Ivoire,1417.92,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC1839,Books,53,90.15,Cote d'Ivoire,4777.950000000001,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC7012,Books,90,37.5,Cote d'Ivoire,3375.0,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC7154,Books,53,52.76,Cote d'Ivoire,2796.28,2010-12,2010-12,1
536805,2010-12-02 16:38:00,14775.0,SC8005,Books,53,3.39,Cote d'Ivoire,179.67000000000002,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9219,Books,81,66.58,Cote d'Ivoire,5392.98,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC4208,Books,100,68.78,Cote d'Ivoire,6878.0,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC4222,Books,19,98.71,Cote d'Ivoire,1875.49,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC1037,Books,3,28.43,Cote d'Ivoire,85.28999999999999,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC4811,Books,31,19.98,Cote d'Ivoire,619.38,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC6119,Books,68,52.04,Cote d'Ivoire,3538.72,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC2370,Books,63,77.3,Cote d'Ivoire,4869.9,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC4518,Books,16,89.63,Cote d'Ivoire,1434.08,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC9649,Books,25,10.81,Cote d'Ivoire,270.25,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9889,Books,22,3.5,Cote d'Ivoire,77.0,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC7797,Books,1,56.76,Cote d'Ivoire,56.76,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3677,Books,91,47.68,Cote d'Ivoire,4338.88,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1898,Books,28,61.59,Cote d'Ivoire,1724.52,2010-12,2010-12,1
537384,2010-12-06 13:21:00,15984.0,SC5475,Books,1,17.74,Cote d'Ivoire,17.74,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC1603,Books,10,87.64,Cote d'Ivoire,876.4,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC1831,Books,92,44.11,Cote d'Ivoire,4058.12,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC8377,Books,71,53.65,Cote d'Ivoire,3809.15,2010-12,2010-12,1
537609,2010-12-07 13:22:00,17675.0,SC6331,Books,43,2.66,Cote d'Ivoire,114.38,2010-12,2010-12,1
537617,2010-12-07 13:45:00,16086.0,SC9582,Books,74,53.04,Cote d'Ivoire,3924.96,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC5263,Books,37,83.27,Cote d'Ivoire,3080.99,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC9220,Books,95,14.6,Cote d'Ivoire,1387.0,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC6794,Books,14,28.34,Cote d'Ivoire,396.76,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC6695,Books,79,23.31,Cote d'Ivoire,1841.49,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5256,Books,26,16.08,Cote d'Ivoire,418.0799999999999,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC7091,Books,13,65.58,Cote d'Ivoire,852.54,2010-12,2010-12,1
537689,2010-12-08 10:36:00,15750.0,SC8188,Books,48,93.69,Cote d'Ivoire,4497.12,2010-12,2010-12,1
537766,2010-12-08 12:08:00,17677.0,SC4634,Books,17,27.37,Cote d'Ivoire,465.29,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC8502,Books,10,34.3,Cote d'Ivoire,343.0,2010-12,2010-12,1
537816,2010-12-08 13:51:00,16679.0,SC5983,Books,19,10.35,Cote d'Ivoire,196.65,2010-12,2010-12,1
537825,2010-12-08 14:36:00,15005.0,SC4208,Books,47,42.64,Cote d'Ivoire,2004.08,2010-12,2010-12,1
537846,2010-12-08 15:25:00,15347.0,SC9535,Books,70,47.27,Cote d'Ivoire,3308.9,2010-12,2010-12,1
537864,2010-12-08 16:34:00,16700.0,SC8770,Books,83,69.69,Cote d'Ivoire,5784.27,2010-12,2010-12,1
537881,2010-12-09 09:23:00,15513.0,SC6309,Books,66,77.25,Cote d'Ivoire,5098.5,2010-12,2010-12,1
537963,2010-12-09 11:30:00,13369.0,SC5457,Books,81,18.56,Cote d'Ivoire,1503.36,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC1148,Books,54,73.73,Cote d'Ivoire,3981.42,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC1319,Books,69,10.32,Cote d'Ivoire,712.08,2010-12,2010-12,1
538049,2010-12-09 13:21:00,12748.0,SC3605,Books,25,3.48,Cote d'Ivoire,87.0,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC9924,Books,73,25.86,Cote d'Ivoire,1887.78,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC8068,Books,88,76.1,Cote d'Ivoire,6696.799999999999,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC1503,Books,69,94.74,Cote d'Ivoire,6537.06,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC4730,Books,48,77.75,Cote d'Ivoire,3732.0,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC3501,Books,41,21.48,Cote d'Ivoire,880.6800000000001,2010-12,2010-12,1
538363,2010-12-10 17:14:00,18016.0,SC7194,Books,79,7.98,Cote d'Ivoire,630.4200000000001,2010-12,2010-12,1
538365,2010-12-12 10:11:00,17243.0,SC8795,Books,14,1.12,Cote d'Ivoire,15.68,2010-12,2010-12,1
538367,2010-12-12 10:48:00,14800.0,SC5365,Books,100,43.23,Cote d'Ivoire,4323.0,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC6178,Books,45,95.46,Cote d'Ivoire,4295.7,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC3654,Books,19,51.32,Cote d'Ivoire,975.08,2010-12,2010-12,1
538510,2010-12-12 13:47:00,18004.0,SC5234,Books,35,18.95,Cote d'Ivoire,663.25,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC6031,Books,91,38.72,Cote d'Ivoire,3523.52,2010-12,2010-12,1
538515,2010-12-12 14:43:00,17937.0,SC3308,Books,2,99.67,Cote d'Ivoire,199.34,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC8429,Books,56,72.26,Cote d'Ivoire,4046.56,2010-12,2010-12,1
538567,2010-12-13 11:23:00,13999.0,SC3490,Books,98,91.91,Cote d'Ivoire,9007.18,2010-12,2010-12,1
538593,2010-12-13 11:51:00,16701.0,SC6543,Books,41,76.16,Cote d'Ivoire,3122.56,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC9362,Books,61,84.87,Cote d'Ivoire,5177.070000000001,2010-12,2010-12,1
538639,2010-12-13 14:24:00,17179.0,SC1518,Books,39,9.04,Cote d'Ivoire,352.55999999999995,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC7158,Books,72,29.25,Cote d'Ivoire,2106.0,2010-12,2010-12,1
538708,2010-12-14 10:43:00,16202.0,SC2471,Books,91,70.17,Cote d'Ivoire,6385.47,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC7398,Books,16,63.3,Cote d'Ivoire,1012.8,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC6288,Books,99,84.2,Cote d'Ivoire,8335.800000000001,2010-12,2010-12,1
538808,2010-12-14 12:11:00,14057.0,SC6395,Books,71,81.68,Cote d'Ivoire,5799.280000000001,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC1332,Books,21,55.24,Cote d'Ivoire,1160.04,2010-12,2010-12,1
538872,2010-12-14 15:13:00,13097.0,SC2546,Books,58,5.79,Cote d'Ivoire,335.82,2010-12,2010-12,1
538896,2010-12-15 09:09:00,16145.0,SC7611,Books,15,15.17,Cote d'Ivoire,227.55,2010-12,2010-12,1
538903,2010-12-15 10:17:00,13496.0,SC9286,Books,2,99.56,Cote d'Ivoire,199.12,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC7708,Books,81,48.66,Cote d'Ivoire,3941.46,2010-12,2010-12,1
539044,2010-12-15 15:47:00,15727.0,SC3544,Books,41,63.76,Cote d'Ivoire,2614.16,2010-12,2010-12,1
539049,2010-12-15 16:21:00,15615.0,SC5343,Books,74,15.54,Cote d'Ivoire,1149.96,2010-12,2010-12,1
539084,2010-12-16 09:31:00,13890.0,SC3535,Books,56,6.69,Cote d'Ivoire,374.64,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC2124,Books,85,96.39,Cote d'Ivoire,8193.15,2010-12,2010-12,1
539214,2010-12-16 12:31:00,17062.0,SC8943,Books,39,60.71,Cote d'Ivoire,2367.69,2010-12,2010-12,1
539296,2010-12-16 17:01:00,16816.0,SC7336,Books,71,92.69,Cote d'Ivoire,6580.99,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC4062,Books,22,27.5,Cote d'Ivoire,605.0,2010-12,2010-12,1
539318,2010-12-16 19:09:00,12348.0,SC6469,Books,22,91.22,Cote d'Ivoire,2006.84,2010-12,2010-12,1
539335,2010-12-17 10:32:00,15291.0,SC5087,Books,12,59.39,Cote d'Ivoire,712.6800000000001,2010-12,2010-12,1
539462,2010-12-19 11:19:00,14032.0,SC4212,Books,8,86.14,Cote d'Ivoire,689.12,2010-12,2010-12,1
539469,2010-12-19 13:59:00,17841.0,SC5537,Books,67,63.75,Cote d'Ivoire,4271.25,2010-12,2010-12,1
539470,2010-12-19 14:03:00,14472.0,SC3170,Books,30,60.36,Cote d'Ivoire,1810.8,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC3518,Books,72,74.43,Cote d'Ivoire,5358.960000000001,2010-12,2010-12,1
539586,2010-12-20 13:08:00,14298.0,SC6168,Books,66,87.94,Cote d'Ivoire,5804.04,2010-12,2010-12,1
539635,2010-12-20 15:14:00,14051.0,SC4995,Books,20,57.7,Cote d'Ivoire,1154.0,2010-12,2010-12,1
539663,2010-12-21 10:26:00,17961.0,SC5570,Books,37,11.83,Cote d'Ivoire,437.71,2010-12,2010-12,1
539766,2010-12-22 11:11:00,14092.0,SC2242,Books,19,62.35,Cote d'Ivoire,1184.65,2010-12,2010-12,1
539865,2010-12-23 09:59:00,15587.0,SC8937,Books,97,68.36,Cote d'Ivoire,6630.92,2010-12,2010-12,1
540014,2011-01-04 11:34:00,14606.0,SC3797,Books,23,58.24,Cote d'Ivoire,1339.52,2011-01,2011-01,1
540114,2011-01-05 09:44:00,15498.0,SC1318,Books,30,80.47,Cote d'Ivoire,2414.1,2011-01,2011-01,1
540146,2011-01-05 10:51:00,15002.0,SC9988,Books,100,57.86,Cote d'Ivoire,5786.0,2011-01,2011-01,1
540148,2011-01-05 10:58:00,14189.0,SC6533,Books,52,36.23,Cote d'Ivoire,1883.96,2011-01,2011-01,1
540162,2011-01-05 11:52:00,13089.0,SC8338,Books,34,97.95,Cote d'Ivoire,3330.3,2011-01,2011-01,1
540168,2011-01-05 12:15:00,13715.0,SC7863,Books,16,50.37,Cote d'Ivoire,805.92,2011-01,2010-12,2
540176,2011-01-05 12:40:00,17511.0,SC3835,Books,73,26.9,Cote d'Ivoire,1963.7,2011-01,2011-01,1
540245,2011-01-05 15:42:00,13082.0,SC8165,Books,59,57.07,Cote d'Ivoire,3367.13,2011-01,2011-01,1
540260,2011-01-06 09:40:00,13097.0,SC4522,Books,88,1.45,Cote d'Ivoire,127.6,2011-01,2010-12,2
540278,2011-01-06 12:31:00,15719.0,SC6356,Books,91,45.8,Cote d'Ivoire,4167.8,2011-01,2011-01,1
540278,2011-01-06 12:31:00,15719.0,SC1141,Books,35,97.54,Cote d'Ivoire,3413.9,2011-01,2011-01,1
540288,2011-01-06 12:45:00,17634.0,SC3054,Books,59,7.97,Cote d'Ivoire,470.23,2011-01,2011-01,1
540353,2011-01-06 14:53:00,13764.0,SC8976,Books,100,91.62,Cote d'Ivoire,9162.0,2011-01,2011-01,1
540353,2011-01-06 14:53:00,13764.0,SC2370,Books,17,9.82,Cote d'Ivoire,166.94,2011-01,2011-01,1
540359,2011-01-06 15:29:00,18041.0,SC6516,Books,67,89.44,Cote d'Ivoire,5992.48,2011-01,2011-01,1
540362,2011-01-06 15:42:00,13656.0,SC7278,Books,86,95.43,Cote d'Ivoire,8206.980000000001,2011-01,2011-01,1
540396,2011-01-06 18:33:00,14031.0,SC7834,Books,74,16.01,Cote d'Ivoire,1184.74,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC7180,Books,92,95.8,Cote d'Ivoire,8813.6,2011-01,2011-01,1
540404,2011-01-07 09:40:00,12947.0,SC9210,Books,36,41.31,Cote d'Ivoire,1487.16,2011-01,2011-01,1
540414,2011-01-07 10:32:00,12481.0,SC6315,Books,14,44.11,Cote d'Ivoire,617.54,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC6890,Books,83,73.54,Cote d'Ivoire,6103.820000000001,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC2138,Books,46,63.78,Cote d'Ivoire,2933.88,2011-01,2011-01,1
540458,2011-01-07 12:28:00,12501.0,SC7021,Books,85,5.52,Cote d'Ivoire,469.2,2011-01,2011-01,1
