InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC3732,Cloths,68,46.63,Cote d'Ivoire,3170.84,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4274,Cloths,47,8.05,Cote d'Ivoire,378.35,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC8286,Cloths,84,73.57,Cote d'Ivoire,6179.879999999999,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC8091,Cloths,67,68.24,Cote d'Ivoire,4572.08,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC7560,Cloths,10,27.91,Cote d'Ivoire,279.1,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC6448,Cloths,89,34.79,Cote d'Ivoire,3096.31,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5793,Cloths,53,93.64,Cote d'Ivoire,4962.92,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2088,Cloths,85,69.4,Cote d'Ivoire,5899.000000000001,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC5968,Cloths,15,28.38,Cote d'Ivoire,425.7,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC4351,Cloths,8,93.0,Cote d'Ivoire,744.0,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC2992,Cloths,68,61.08,Cote d'Ivoire,4153.44,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC5766,Cloths,25,48.63,Cote d'Ivoire,1215.75,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC1548,Cloths,85,55.45,Cote d'Ivoire,4713.25,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC4523,Cloths,38,16.12,Cote d'Ivoire,612.5600000000001,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC7827,Cloths,73,52.14,Cote d'Ivoire,3806.22,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC5096,Cloths,39,86.61,Cote d'Ivoire,3377.79,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC7781,Cloths,82,47.42,Cote d'Ivoire,3888.44,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC5314,Cloths,5,9.09,Cote d'Ivoire,45.45,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC5575,Cloths,41,19.51,Cote d'Ivoire,799.9100000000001,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC2401,Cloths,49,94.46,Cote d'Ivoire,4628.54,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6766,Cloths,22,86.31,Cote d'Ivoire,1898.82,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC3526,Cloths,5,19.1,Cote d'Ivoire,95.5,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC1962,Cloths,43,50.61,Cote d'Ivoire,2176.23,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8216,Cloths,15,70.58,Cote d'Ivoire,1058.7,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2227,Cloths,31,77.49,Cote d'Ivoire,2402.19,2010-12,2010-12,1
537227,2010-12-06 08:42:00,17677.0,SC5272,Cloths,96,38.42,Cote d'Ivoire,3688.32,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC1538,Cloths,49,88.27,Cote d'Ivoire,4325.23,2010-12,2010-12,1
537368,2010-12-06 12:40:00,14911.0,SC5940,Cloths,4,13.83,Cote d'Ivoire,55.32,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC5833,Cloths,79,36.44,Cote d'Ivoire,2878.76,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC4528,Cloths,75,73.59,Cote d'Ivoire,5519.25,2010-12,2010-12,1
537385,2010-12-06 13:22:00,14487.0,SC2922,Cloths,76,79.5,Cote d'Ivoire,6042.0,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC9539,Cloths,82,55.1,Cote d'Ivoire,4518.2,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC4580,Cloths,11,63.2,Cote d'Ivoire,695.2,2010-12,2010-12,1
537407,2010-12-06 14:55:00,15502.0,SC4853,Cloths,82,67.34,Cote d'Ivoire,5521.88,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC8838,Cloths,10,48.25,Cote d'Ivoire,482.5,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC3319,Cloths,5,68.26,Cote d'Ivoire,341.3,2010-12,2010-12,1
537688,2010-12-08 10:35:00,17406.0,SC2347,Cloths,62,51.92,Cote d'Ivoire,3219.04,2010-12,2010-12,1
537707,2010-12-08 10:53:00,14032.0,SC5713,Cloths,32,40.12,Cote d'Ivoire,1283.84,2010-12,2010-12,1
