InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536500,2010-12-01 12:35:00,17377.0,SC9192,Cosmetics,77,93.76,Cote d'Ivoire,7219.52,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC4285,Cosmetics,72,51.99,Cote d'Ivoire,3743.28,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC2744,Cosmetics,47,50.62,Cote d'Ivoire,2379.14,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3477,Cosmetics,78,89.92,Cote d'Ivoire,7013.76,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC5627,Cosmetics,65,38.08,Cote d'Ivoire,2475.2,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC8159,Cosmetics,40,92.33,Cote d'Ivoire,3693.2,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2422,Cosmetics,5,39.38,Cote d'Ivoire,196.9,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC8179,Cosmetics,39,1.2,Cote d'Ivoire,46.8,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9787,Cosmetics,2,55.5,Cote d'Ivoire,111.0,2010-12,2010-12,1
536759,2010-12-02 14:26:00,16781.0,SC4969,Cosmetics,33,42.43,Cote d'Ivoire,1400.19,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC3275,Cosmetics,87,95.14,Cote d'Ivoire,8277.18,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2758,Cosmetics,17,29.21,Cote d'Ivoire,496.57,2010-12,2010-12,1
536987,2010-12-03 14:54:00,17198.0,SC8129,Cosmetics,7,4.83,Cote d'Ivoire,33.81,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC7988,Cosmetics,35,57.57,Cote d'Ivoire,2014.95,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC9817,Cosmetics,15,66.71,Cote d'Ivoire,1000.65,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC2632,Cosmetics,99,83.3,Cote d'Ivoire,8246.699999999999,2010-12,2010-12,1
