InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536387,2010-12-01 09:58:00,16029.0,SC2305,Electronics,30,55.82,Cote d'Ivoire,1674.6,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6010,Electronics,36,36.12,Cote d'Ivoire,1300.32,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC6261,Electronics,75,77.69,Cote d'Ivoire,5826.75,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC2259,Electronics,57,69.2,Cote d'Ivoire,3944.4,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC9424,Electronics,45,41.64,Cote d'Ivoire,1873.8,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC3878,Electronics,26,51.06,Cote d'Ivoire,1327.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC1440,Electronics,60,19.55,Cote d'Ivoire,1173.0,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC8177,Electronics,25,83.29,Cote d'Ivoire,2082.25,2010-12,2010-12,1
536785,2010-12-02 15:22:00,15061.0,SC9095,Electronics,34,11.65,Cote d'Ivoire,396.1,2010-12,2010-12,1
536833,2010-12-02 17:48:00,18239.0,SC9194,Electronics,48,94.69,Cote d'Ivoire,4545.12,2010-12,2010-12,1
536944,2010-12-03 12:20:00,12557.0,SC4126,Electronics,12,12.57,Cote d'Ivoire,150.84,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC4671,Electronics,31,50.27,Cote d'Ivoire,1558.37,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC5936,Electronics,11,19.84,Cote d'Ivoire,218.24,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC9857,Electronics,4,66.47,Cote d'Ivoire,265.88,2010-12,2010-12,1
