InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC4513,Furniture,55,3.21,Cote d'Ivoire,176.55,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC3842,Furniture,6,57.68,Cote d'Ivoire,346.08,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC4035,Furniture,38,61.78,Cote d'Ivoire,2347.64,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6619,Furniture,15,52.75,Cote d'Ivoire,791.25,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6143,Furniture,19,88.1,Cote d'Ivoire,1673.9,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC6751,Furniture,50,24.26,Cote d'Ivoire,1213.0,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC4857,Furniture,75,19.25,Cote d'Ivoire,1443.75,2010-12,2010-12,1
536619,2010-12-02 10:18:00,17017.0,SC9040,Furniture,85,80.29,Cote d'Ivoire,6824.650000000001,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC7729,Furniture,32,41.31,Cote d'Ivoire,1321.92,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC2433,Furniture,5,31.55,Cote d'Ivoire,157.75,2010-12,2010-12,1
536832,2010-12-02 17:41:00,16634.0,SC6966,Furniture,19,48.4,Cote d'Ivoire,919.6,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC6003,Furniture,54,4.1,Cote d'Ivoire,221.4,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC9088,Furniture,86,62.29,Cote d'Ivoire,5356.94,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC5567,Furniture,89,25.57,Cote d'Ivoire,2275.73,2010-12,2010-12,1
536849,2010-12-03 09:45:00,17396.0,SC4646,Furniture,41,25.99,Cote d'Ivoire,1065.59,2010-12,2010-12,1
536946,2010-12-03 12:28:00,13013.0,SC9152,Furniture,60,19.63,Cote d'Ivoire,1177.8,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC2279,Furniture,70,66.41,Cote d'Ivoire,4648.7,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC6457,Furniture,52,18.99,Cote d'Ivoire,987.48,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC9117,Furniture,33,32.85,Cote d'Ivoire,1084.05,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC1509,Furniture,12,31.58,Cote d'Ivoire,378.96,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2674,Furniture,50,41.1,Cote d'Ivoire,2055.0,2010-12,2010-12,1
537197,2010-12-05 14:02:00,12647.0,SC1310,Furniture,46,93.41,Cote d'Ivoire,4296.86,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1376,Furniture,28,12.11,Cote d'Ivoire,339.08,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC7470,Furniture,24,94.47,Cote d'Ivoire,2267.28,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC1587,Furniture,55,76.52,Cote d'Ivoire,4208.599999999999,2010-12,2010-12,1
