InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC6747,Jewelry,43,47.11,Cote d'Ivoire,2025.73,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4010,Jewelry,69,37.38,Cote d'Ivoire,2579.2200000000003,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4697,Jewelry,90,7.65,Cote d'Ivoire,688.5,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2037,Jewelry,1,16.66,Cote d'Ivoire,16.66,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3939,Jewelry,80,72.96,Cote d'Ivoire,5836.799999999999,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC4948,Jewelry,81,75.41,Cote d'Ivoire,6108.21,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC7630,Jewelry,25,65.95,Cote d'Ivoire,1648.75,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC6391,Jewelry,5,64.67,Cote d'Ivoire,323.35,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC6553,Jewelry,73,99.01,Cote d'Ivoire,7227.73,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC3575,Jewelry,66,70.69,Cote d'Ivoire,4665.54,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC3671,Jewelry,53,22.83,Cote d'Ivoire,1209.99,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC3913,Jewelry,57,41.42,Cote d'Ivoire,2360.94,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC5230,Jewelry,37,71.66,Cote d'Ivoire,2651.42,2010-12,2010-12,1
536841,2010-12-02 18:27:00,16150.0,SC2732,Jewelry,59,73.92,Cote d'Ivoire,4361.28,2010-12,2010-12,1
536851,2010-12-03 09:49:00,12967.0,SC3277,Jewelry,93,13.31,Cote d'Ivoire,1237.8300000000002,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5000,Jewelry,88,44.41,Cote d'Ivoire,3908.08,2010-12,2010-12,1
