InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536394,2010-12-01 10:39:00,13408.0,SC1718,Kitchenware,79,12.79,Cote d'Ivoire,1010.41,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6797,Kitchenware,38,73.67,Cote d'Ivoire,2799.46,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC9880,Kitchenware,23,82.44,Cote d'Ivoire,1896.12,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC7401,Kitchenware,50,65.42,Cote d'Ivoire,3271.0,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC5640,Kitchenware,82,96.79,Cote d'Ivoire,7936.780000000001,2010-12,2010-12,1
536629,2010-12-02 10:55:00,17850.0,SC7853,Kitchenware,60,95.13,Cote d'Ivoire,5707.799999999999,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC9637,Kitchenware,90,51.51,Cote d'Ivoire,4635.9,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC6004,Kitchenware,49,42.52,Cote d'Ivoire,2083.48,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC5541,Kitchenware,9,96.08,Cote d'Ivoire,864.72,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC3729,Kitchenware,9,15.7,Cote d'Ivoire,141.29999999999998,2010-12,2010-12,1
536944,2010-12-03 12:20:00,12557.0,SC2794,Kitchenware,27,42.37,Cote d'Ivoire,1143.99,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC1200,Kitchenware,33,45.32,Cote d'Ivoire,1495.56,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC5337,Kitchenware,48,92.21,Cote d'Ivoire,4426.08,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC6629,Kitchenware,79,88.1,Cote d'Ivoire,6959.9,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3768,Kitchenware,43,41.48,Cote d'Ivoire,1783.64,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8448,Kitchenware,64,2.86,Cote d'Ivoire,183.04,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC4738,Kitchenware,42,62.55,Cote d'Ivoire,2627.1,2010-12,2010-12,1
