InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC5631,Shoes,99,66.66,Cote d'Ivoire,6599.339999999999,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC4536,Shoes,71,5.54,Cote d'Ivoire,393.34,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC8817,Shoes,89,69.19,Cote d'Ivoire,6157.91,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC5602,Shoes,53,99.68,Cote d'Ivoire,5283.04,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8503,Shoes,51,86.65,Cote d'Ivoire,4419.150000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3373,Shoes,52,78.98,Cote d'Ivoire,4106.96,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC3905,Shoes,12,5.51,Cote d'Ivoire,66.12,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC5627,Shoes,83,80.41,Cote d'Ivoire,6674.03,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC1519,Shoes,26,92.84,Cote d'Ivoire,2413.84,2010-12,2010-12,1
536521,2010-12-01 12:48:00,12748.0,SC3647,Shoes,69,7.16,Cote d'Ivoire,494.04,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC8997,Shoes,95,9.4,Cote d'Ivoire,893.0,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC5650,Shoes,22,66.27,Cote d'Ivoire,1457.9399999999998,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC9617,Shoes,7,30.01,Cote d'Ivoire,210.07,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC7047,Shoes,30,1.59,Cote d'Ivoire,47.7,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7711,Shoes,97,84.9,Cote d'Ivoire,8235.300000000001,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC4255,Shoes,20,64.42,Cote d'Ivoire,1288.4,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1568,Shoes,75,63.17,Cote d'Ivoire,4737.75,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC9777,Shoes,64,51.26,Cote d'Ivoire,3280.64,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC7478,Shoes,90,13.84,Cote d'Ivoire,1245.6,2010-12,2010-12,1
536861,2010-12-03 10:44:00,12427.0,SC2086,Shoes,90,52.26,Cote d'Ivoire,4703.4,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9485,Shoes,27,46.26,Cote d'Ivoire,1249.02,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC7961,Shoes,9,89.24,Cote d'Ivoire,803.16,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5914,Shoes,1,28.86,Cote d'Ivoire,28.86,2010-12,2010-12,1
537041,2010-12-05 10:36:00,16033.0,SC5029,Shoes,51,21.83,Cote d'Ivoire,1113.33,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC1772,Shoes,60,39.44,Cote d'Ivoire,2366.4,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC9308,Shoes,71,87.75,Cote d'Ivoire,6230.25,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC4125,Shoes,30,96.83,Cote d'Ivoire,2904.9,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2916,Shoes,25,48.93,Cote d'Ivoire,1223.25,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC2536,Shoes,80,45.59,Cote d'Ivoire,3647.2,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC1493,Shoes,70,14.55,Cote d'Ivoire,1018.5,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2909,Shoes,65,47.88,Cote d'Ivoire,3112.2000000000003,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC6232,Shoes,49,75.14,Cote d'Ivoire,3681.86,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9447,Shoes,15,74.09,Cote d'Ivoire,1111.35,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC9787,Shoes,50,31.64,Cote d'Ivoire,1582.0,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC6654,Shoes,73,25.51,Cote d'Ivoire,1862.23,2010-12,2010-12,1
537359,2010-12-06 12:30:00,14825.0,SC1417,Shoes,81,35.22,Cote d'Ivoire,2852.82,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2431,Shoes,24,48.42,Cote d'Ivoire,1162.08,2010-12,2010-12,1
537372,2010-12-06 12:52:00,16919.0,SC6710,Shoes,68,80.96,Cote d'Ivoire,5505.28,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC9657,Shoes,15,92.54,Cote d'Ivoire,1388.1,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC8956,Shoes,8,88.01,Cote d'Ivoire,704.08,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC5537,Shoes,38,5.55,Cote d'Ivoire,210.9,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC9366,Shoes,68,30.09,Cote d'Ivoire,2046.12,2010-12,2010-12,1
537615,2010-12-07 13:30:00,15898.0,SC3598,Shoes,94,86.6,Cote d'Ivoire,8140.4,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC2687,Shoes,100,55.36,Cote d'Ivoire,5536.0,2010-12,2010-12,1
537649,2010-12-07 15:48:00,13807.0,SC9855,Shoes,60,13.85,Cote d'Ivoire,831.0,2010-12,2010-12,1
537653,2010-12-07 15:54:00,17897.0,SC7979,Shoes,99,62.37,Cote d'Ivoire,6174.63,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC2795,Shoes,1,94.45,Cote d'Ivoire,94.45,2010-12,2010-12,1
537813,2010-12-08 13:38:00,18259.0,SC6243,Shoes,33,34.53,Cote d'Ivoire,1139.49,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC9376,Shoes,94,97.87,Cote d'Ivoire,9199.78,2010-12,2010-12,1
538007,2010-12-09 12:16:00,14355.0,SC1045,Shoes,3,9.66,Cote d'Ivoire,28.98,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC9188,Shoes,44,63.17,Cote d'Ivoire,2779.48,2010-12,2010-12,1
538203,2010-12-10 11:21:00,13767.0,SC1284,Shoes,41,30.02,Cote d'Ivoire,1230.82,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC6275,Shoes,41,11.55,Cote d'Ivoire,473.55,2010-12,2010-12,1
538255,2010-12-10 12:33:00,14911.0,SC7822,Shoes,85,24.61,Cote d'Ivoire,2091.85,2010-12,2010-12,1
538313,2010-12-10 13:50:00,15514.0,SC2335,Shoes,25,43.54,Cote d'Ivoire,1088.5,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC2729,Shoes,96,77.82,Cote d'Ivoire,7470.719999999999,2010-12,2010-12,1
538369,2010-12-12 11:06:00,17251.0,SC2677,Shoes,3,32.87,Cote d'Ivoire,98.61,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC4073,Shoes,45,50.58,Cote d'Ivoire,2276.1,2010-12,2010-12,1
538418,2010-12-12 12:00:00,17372.0,SC8508,Shoes,68,19.21,Cote d'Ivoire,1306.28,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC7784,Shoes,86,97.94,Cote d'Ivoire,8422.84,2010-12,2010-12,1
538525,2010-12-13 09:39:00,12540.0,SC3934,Shoes,34,31.06,Cote d'Ivoire,1056.04,2010-12,2010-12,1
538529,2010-12-13 10:24:00,14290.0,SC6953,Shoes,50,96.59,Cote d'Ivoire,4829.5,2010-12,2010-12,1
538558,2010-12-13 10:58:00,13069.0,SC3550,Shoes,5,80.09,Cote d'Ivoire,400.4500000000001,2010-12,2010-12,1
538626,2010-12-13 12:57:00,17338.0,SC8232,Shoes,23,60.34,Cote d'Ivoire,1387.8200000000002,2010-12,2010-12,1
538634,2010-12-13 13:28:00,14085.0,SC5848,Shoes,87,44.43,Cote d'Ivoire,3865.41,2010-12,2010-12,1
538662,2010-12-13 15:44:00,15159.0,SC4075,Shoes,24,14.51,Cote d'Ivoire,348.24,2010-12,2010-12,1
538665,2010-12-13 15:56:00,17576.0,SC7525,Shoes,18,28.57,Cote d'Ivoire,514.26,2010-12,2010-12,1
538671,2010-12-13 16:38:00,15777.0,SC2132,Shoes,73,57.1,Cote d'Ivoire,4168.3,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC8462,Shoes,54,38.59,Cote d'Ivoire,2083.86,2010-12,2010-12,1
538709,2010-12-14 10:46:00,16442.0,SC5123,Shoes,50,23.34,Cote d'Ivoire,1167.0,2010-12,2010-12,1
538744,2010-12-14 11:26:00,15356.0,SC6503,Shoes,86,77.83,Cote d'Ivoire,6693.38,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC2272,Shoes,95,88.76,Cote d'Ivoire,8432.2,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC3411,Shoes,18,14.58,Cote d'Ivoire,262.44,2010-12,2010-12,1
538890,2010-12-14 16:39:00,12867.0,SC2335,Shoes,46,23.45,Cote d'Ivoire,1078.7,2010-12,2010-12,1
539002,2010-12-15 12:30:00,14527.0,SC1344,Shoes,8,91.17,Cote d'Ivoire,729.36,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC7245,Shoes,10,17.41,Cote d'Ivoire,174.1,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC2023,Shoes,70,70.89,Cote d'Ivoire,4962.3,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC2822,Shoes,46,27.13,Cote d'Ivoire,1247.98,2010-12,2010-12,1
539247,2010-12-16 13:33:00,15311.0,SC3336,Shoes,69,77.65,Cote d'Ivoire,5357.85,2010-12,2010-12,1
539249,2010-12-16 13:43:00,14709.0,SC5027,Shoes,68,52.7,Cote d'Ivoire,3583.6000000000004,2010-12,2010-12,1
539249,2010-12-16 13:43:00,14709.0,SC9096,Shoes,54,34.23,Cote d'Ivoire,1848.42,2010-12,2010-12,1
539263,2010-12-16 14:36:00,16560.0,SC1385,Shoes,57,67.52,Cote d'Ivoire,3848.64,2010-12,2010-12,1
539318,2010-12-16 19:09:00,12348.0,SC9299,Shoes,76,59.0,Cote d'Ivoire,4484.0,2010-12,2010-12,1
539332,2010-12-17 09:45:00,12931.0,SC1770,Shoes,84,42.3,Cote d'Ivoire,3553.2,2010-12,2010-12,1
539411,2010-12-17 13:29:00,14243.0,SC5782,Shoes,80,20.23,Cote d'Ivoire,1618.4,2010-12,2010-12,1
539444,2010-12-17 15:52:00,14146.0,SC1471,Shoes,28,3.88,Cote d'Ivoire,108.64,2010-12,2010-12,1
539478,2010-12-19 15:07:00,17343.0,SC2589,Shoes,7,98.07,Cote d'Ivoire,686.49,2010-12,2010-12,1
539579,2010-12-20 12:51:00,16713.0,SC3614,Shoes,43,70.32,Cote d'Ivoire,3023.76,2010-12,2010-12,1
539593,2010-12-20 13:31:00,13319.0,SC7050,Shoes,14,88.91,Cote d'Ivoire,1244.74,2010-12,2010-12,1
539610,2010-12-20 14:33:00,14606.0,SC5141,Shoes,49,9.62,Cote d'Ivoire,471.38,2010-12,2010-12,1
539676,2010-12-21 10:54:00,12423.0,SC5929,Shoes,40,97.35,Cote d'Ivoire,3894.0,2010-12,2010-12,1
539731,2010-12-21 15:05:00,14646.0,SC3550,Shoes,64,12.4,Cote d'Ivoire,793.6,2010-12,2010-12,1
539760,2010-12-21 17:16:00,17400.0,SC3519,Shoes,15,75.59,Cote d'Ivoire,1133.85,2010-12,2010-12,1
539957,2010-12-23 12:58:00,12585.0,SC7637,Shoes,23,24.6,Cote d'Ivoire,565.8000000000001,2010-12,2010-12,1
540021,2011-01-04 12:51:00,17841.0,SC2760,Shoes,6,74.49,Cote d'Ivoire,446.94,2011-01,2011-01,1
540114,2011-01-05 09:44:00,15498.0,SC8566,Shoes,91,23.14,Cote d'Ivoire,2105.74,2011-01,2011-01,1
540178,2011-01-05 12:42:00,12681.0,SC7646,Shoes,17,18.52,Cote d'Ivoire,314.84,2011-01,2011-01,1
540265,2011-01-06 10:46:00,15271.0,SC3667,Shoes,71,19.38,Cote d'Ivoire,1375.98,2011-01,2011-01,1
540268,2011-01-06 11:25:00,13458.0,SC1127,Shoes,78,6.58,Cote d'Ivoire,513.24,2011-01,2011-01,1
540357,2011-01-06 15:14:00,13093.0,SC7645,Shoes,3,43.75,Cote d'Ivoire,131.25,2011-01,2011-01,1
540362,2011-01-06 15:42:00,13656.0,SC7921,Shoes,60,7.94,Cote d'Ivoire,476.4,2011-01,2011-01,1
540395,2011-01-06 18:24:00,14702.0,SC2059,Shoes,43,98.75,Cote d'Ivoire,4246.25,2011-01,2011-01,1
540397,2011-01-06 18:57:00,13187.0,SC5224,Shoes,85,65.82,Cote d'Ivoire,5594.7,2011-01,2011-01,1
