InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536406,2010-12-01 11:33:00,17850.0,SC3568,Sports Equipment,18,32.0,Cote d'Ivoire,576.0,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3799,Sports Equipment,21,9.0,Cote d'Ivoire,189.0,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8681,Sports Equipment,41,91.41,Cote d'Ivoire,3747.81,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7273,Sports Equipment,66,21.71,Cote d'Ivoire,1432.86,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC9080,Sports Equipment,16,5.23,Cote d'Ivoire,83.68,2010-12,2010-12,1
536598,2010-12-02 07:48:00,13090.0,SC3509,Sports Equipment,88,71.64,Cote d'Ivoire,6304.32,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC9663,Sports Equipment,19,88.76,Cote d'Ivoire,1686.44,2010-12,2010-12,1
536673,2010-12-02 12:11:00,14060.0,SC1301,Sports Equipment,68,79.64,Cote d'Ivoire,5415.52,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC6652,Sports Equipment,62,31.88,Cote d'Ivoire,1976.56,2010-12,2010-12,1
536744,2010-12-02 13:36:00,14466.0,SC7941,Sports Equipment,86,74.4,Cote d'Ivoire,6398.400000000001,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC9401,Sports Equipment,52,33.12,Cote d'Ivoire,1722.2399999999998,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC1493,Sports Equipment,50,50.97,Cote d'Ivoire,2548.5,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC7997,Sports Equipment,93,24.09,Cote d'Ivoire,2240.37,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC7023,Sports Equipment,98,73.92,Cote d'Ivoire,7244.16,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7837,Sports Equipment,82,41.79,Cote d'Ivoire,3426.78,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6999,Sports Equipment,86,19.95,Cote d'Ivoire,1715.7,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC2292,Sports Equipment,84,29.1,Cote d'Ivoire,2444.4,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC8275,Sports Equipment,71,31.49,Cote d'Ivoire,2235.79,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC4688,Sports Equipment,10,99.29,Cote d'Ivoire,992.9,2010-12,2010-12,1
537081,2010-12-05 12:00:00,15332.0,SC7655,Sports Equipment,34,15.39,Cote d'Ivoire,523.26,2010-12,2010-12,1
537129,2010-12-05 12:15:00,13506.0,SC5344,Sports Equipment,49,23.98,Cote d'Ivoire,1175.02,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC3132,Sports Equipment,80,97.54,Cote d'Ivoire,7803.200000000001,2010-12,2010-12,1
537134,2010-12-05 12:34:00,16983.0,SC1337,Sports Equipment,97,66.59,Cote d'Ivoire,6459.2300000000005,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC2561,Sports Equipment,66,45.03,Cote d'Ivoire,2971.98,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC3335,Sports Equipment,93,45.07,Cote d'Ivoire,4191.51,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC8574,Sports Equipment,46,70.17,Cote d'Ivoire,3227.82,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC6009,Sports Equipment,47,75.62,Cote d'Ivoire,3554.1400000000003,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC1695,Sports Equipment,38,94.0,Cote d'Ivoire,3572.0,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC8081,Sports Equipment,85,95.89,Cote d'Ivoire,8150.65,2010-12,2010-12,1
537216,2010-12-05 15:40:00,15502.0,SC2047,Sports Equipment,65,80.66,Cote d'Ivoire,5242.9,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2813,Sports Equipment,35,77.47,Cote d'Ivoire,2711.45,2010-12,2010-12,1
537238,2010-12-06 10:03:00,16161.0,SC1105,Sports Equipment,7,32.21,Cote d'Ivoire,225.47,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC5121,Sports Equipment,54,6.0,Cote d'Ivoire,324.0,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC8549,Sports Equipment,23,31.57,Cote d'Ivoire,726.11,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC2909,Sports Equipment,92,72.84,Cote d'Ivoire,6701.280000000001,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC1448,Sports Equipment,69,9.97,Cote d'Ivoire,687.9300000000001,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3851,Sports Equipment,55,50.14,Cote d'Ivoire,2757.7,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3065,Sports Equipment,40,70.07,Cote d'Ivoire,2802.8,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC3990,Sports Equipment,63,26.03,Cote d'Ivoire,1639.89,2010-12,2010-12,1
537405,2010-12-06 14:51:00,17841.0,SC3519,Sports Equipment,44,47.62,Cote d'Ivoire,2095.28,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC8044,Sports Equipment,74,92.26,Cote d'Ivoire,6827.240000000001,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC4827,Sports Equipment,59,26.38,Cote d'Ivoire,1556.4199999999998,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC6016,Sports Equipment,30,19.18,Cote d'Ivoire,575.4,2010-12,2010-12,1
