InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536488,2010-12-01 12:31:00,17897.0,SC4385,Toys,37,16.25,Cote d'Ivoire,601.25,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9896,Toys,28,90.63,Cote d'Ivoire,2537.64,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3404,Toys,5,39.33,Cote d'Ivoire,196.65,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9749,Toys,84,19.55,Cote d'Ivoire,1642.2,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9112,Toys,99,90.93,Cote d'Ivoire,9002.070000000002,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC9808,Toys,17,77.33,Cote d'Ivoire,1314.61,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7767,Toys,85,11.45,Cote d'Ivoire,973.25,2010-12,2010-12,1
536707,2010-12-02 12:33:00,12915.0,SC9615,Toys,25,2.97,Cote d'Ivoire,74.25,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC1900,Toys,16,30.85,Cote d'Ivoire,493.6,2010-12,2010-12,1
536753,2010-12-02 14:07:00,17850.0,SC2992,Toys,56,5.8,Cote d'Ivoire,324.8,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3675,Toys,52,93.8,Cote d'Ivoire,4877.599999999999,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1969,Toys,73,86.21,Cote d'Ivoire,6293.33,2010-12,2010-12,1
536809,2010-12-02 16:48:00,15299.0,SC4682,Toys,7,15.88,Cote d'Ivoire,111.16,2010-12,2010-12,1
536836,2010-12-02 18:08:00,18168.0,SC5341,Toys,43,66.31,Cote d'Ivoire,2851.33,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC2695,Toys,29,68.66,Cote d'Ivoire,1991.14,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC8229,Toys,8,48.84,Cote d'Ivoire,390.72,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC1176,Toys,13,58.3,Cote d'Ivoire,757.9,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC1970,Toys,37,95.95,Cote d'Ivoire,3550.15,2010-12,2010-12,1
536986,2010-12-03 14:40:00,16140.0,SC6886,Toys,45,41.24,Cote d'Ivoire,1855.8,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC4194,Toys,95,2.2,Cote d'Ivoire,209.00000000000003,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC4991,Toys,1,56.41,Cote d'Ivoire,56.41,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC6442,Toys,97,18.96,Cote d'Ivoire,1839.12,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC5483,Toys,3,31.25,Cote d'Ivoire,93.75,2010-12,2010-12,1
537136,2010-12-05 12:42:00,12748.0,SC6744,Toys,86,34.05,Cote d'Ivoire,2928.3,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC5041,Toys,45,86.0,Cote d'Ivoire,3870.0,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC7133,Toys,10,50.69,Cote d'Ivoire,506.9,2010-12,2010-12,1
537159,2010-12-05 13:17:00,14527.0,SC5343,Toys,33,71.23,Cote d'Ivoire,2350.59,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC1673,Toys,23,62.38,Cote d'Ivoire,1434.74,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC1726,Toys,39,21.67,Cote d'Ivoire,845.1300000000001,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5299,Toys,89,49.44,Cote d'Ivoire,4400.16,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3832,Toys,78,59.67,Cote d'Ivoire,4654.26,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7086,Toys,89,94.69,Cote d'Ivoire,8427.41,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC2190,Toys,85,47.26,Cote d'Ivoire,4017.1,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC1097,Toys,5,86.9,Cote d'Ivoire,434.5,2010-12,2010-12,1
537418,2010-12-06 15:13:00,17884.0,SC9244,Toys,60,97.48,Cote d'Ivoire,5848.8,2010-12,2010-12,1
537601,2010-12-07 12:43:00,17287.0,SC3595,Toys,53,17.39,Cote d'Ivoire,921.67,2010-12,2010-12,1
537650,2010-12-07 15:48:00,16125.0,SC6420,Toys,10,73.28,Cote d'Ivoire,732.8,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC7714,Toys,95,85.12,Cote d'Ivoire,8086.400000000001,2010-12,2010-12,1
537770,2010-12-08 12:24:00,15529.0,SC2899,Toys,57,40.29,Cote d'Ivoire,2296.53,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC6070,Toys,72,9.4,Cote d'Ivoire,676.8000000000001,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC4250,Toys,80,32.93,Cote d'Ivoire,2634.4,2010-12,2010-12,1
537780,2010-12-08 12:45:00,17324.0,SC4431,Toys,20,1.09,Cote d'Ivoire,21.8,2010-12,2010-12,1
537802,2010-12-08 13:11:00,13455.0,SC1051,Toys,76,72.38,Cote d'Ivoire,5500.879999999999,2010-12,2010-12,1
537831,2010-12-08 14:50:00,17894.0,SC2148,Toys,35,8.54,Cote d'Ivoire,298.9,2010-12,2010-12,1
537837,2010-12-08 14:59:00,13077.0,SC6939,Toys,20,80.27,Cote d'Ivoire,1605.4,2010-12,2010-12,1
537843,2010-12-08 15:16:00,15713.0,SC3592,Toys,47,13.97,Cote d'Ivoire,656.59,2010-12,2010-12,1
537847,2010-12-08 15:33:00,14766.0,SC5499,Toys,78,93.43,Cote d'Ivoire,7287.540000000001,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC6536,Toys,25,39.38,Cote d'Ivoire,984.5,2010-12,2010-12,1
538077,2010-12-09 14:19:00,14667.0,SC5915,Toys,48,55.74,Cote d'Ivoire,2675.52,2010-12,2010-12,1
538206,2010-12-10 11:31:00,17827.0,SC9987,Toys,5,22.64,Cote d'Ivoire,113.2,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC9224,Toys,48,32.65,Cote d'Ivoire,1567.1999999999998,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC6632,Toys,11,12.08,Cote d'Ivoire,132.88,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC1182,Toys,52,78.41,Cote d'Ivoire,4077.32,2010-12,2010-12,1
