InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8403,Jewelry,70,92.0,Algeria,6440.0,2010-12,2010-12,1
536371,2010-12-01 09:00:00,13748.0,SC8079,Cloths,18,63.54,Algeria,1143.72,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC6834,Toys,23,43.23,Algeria,994.29,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8772,Sports Equipment,35,59.07,Algeria,2067.45,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC9311,Jewelry,81,57.25,Algeria,4637.25,2010-12,2010-12,1
536393,2010-12-01 10:37:00,13747.0,SC2673,Books,49,21.61,Algeria,1058.89,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8628,Electronics,42,68.25,Algeria,2866.5,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3554,Cloths,96,39.76,Algeria,3816.96,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7693,Sports Equipment,4,56.56,Algeria,226.24,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC6428,Electronics,46,58.68,Algeria,2699.28,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4212,Furniture,5,64.29,Algeria,321.45000000000005,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2014,Jewelry,28,76.38,Algeria,2138.64,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4418,Cloths,26,97.11,Algeria,2524.86,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1533,Books,94,80.74,Algeria,7589.559999999999,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3243,Shoes,81,37.72,Algeria,3055.32,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5445,Kitchenware,97,78.14,Algeria,7579.58,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9949,Electronics,44,45.22,Algeria,1989.68,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9077,Kitchenware,8,81.77,Algeria,654.16,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC9286,Toys,54,8.28,Algeria,447.12,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC7836,Cosmetics,66,91.21,Algeria,6019.86,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC6062,Shoes,86,91.74,Algeria,7889.639999999999,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC7282,Sports Equipment,57,84.39,Algeria,4810.2300000000005,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2047,Kitchenware,62,76.9,Algeria,4767.8,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8165,Sports Equipment,69,12.43,Algeria,857.67,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1450,Electronics,47,81.36,Algeria,3823.92,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9751,Toys,15,7.86,Algeria,117.9,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC9271,Shoes,19,59.98,Algeria,1139.62,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5386,Shoes,95,41.65,Algeria,3956.75,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6907,Shoes,28,92.23,Algeria,2582.44,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2619,Cloths,81,43.85,Algeria,3551.85,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8368,Sports Equipment,85,91.78,Algeria,7801.3,2010-12,2010-12,1
