InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC8608,Books,44,39.31,Benin,1729.64,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC8019,Books,65,21.03,Benin,1366.95,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC3095,Electronics,19,28.57,Benin,542.83,2010-12,2010-12,1
536376,2010-12-01 09:32:00,15291.0,SC7824,Kitchenware,5,63.03,Benin,315.15,2010-12,2010-12,1
536377,2010-12-01 09:34:00,17850.0,SC3369,Books,19,10.47,Benin,198.93,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1738,Cloths,33,37.01,Benin,1221.33,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC7462,Shoes,25,43.12,Benin,1078.0,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC7172,Cosmetics,72,82.7,Benin,5954.400000000001,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC7587,Jewelry,58,19.56,Benin,1134.48,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9759,Cloths,5,61.08,Benin,305.4,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8369,Books,4,92.65,Benin,370.6,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7014,Jewelry,31,58.59,Benin,1816.29,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7467,Shoes,52,1.54,Benin,80.08,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1673,Jewelry,16,38.93,Benin,622.88,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6026,Toys,63,8.76,Benin,551.88,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4938,Shoes,95,95.91,Benin,9111.45,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC6918,Kitchenware,27,23.08,Benin,623.16,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1844,Toys,31,80.16,Benin,2484.96,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC9016,Cosmetics,72,9.7,Benin,698.4,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6866,Sports Equipment,90,3.92,Benin,352.8,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8114,Electronics,26,19.76,Benin,513.76,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5492,Electronics,100,4.92,Benin,492.0,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4249,Jewelry,69,54.96,Benin,3792.24,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5446,Jewelry,89,70.48,Benin,6272.72,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8604,Toys,6,11.26,Benin,67.56,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3740,Books,95,41.6,Benin,3952.0,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7610,Cloths,46,61.88,Benin,2846.48,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6602,Cloths,68,39.42,Benin,2680.56,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC8647,Shoes,38,70.43,Benin,2676.34,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2685,Electronics,98,73.84,Benin,7236.320000000001,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC7359,Cosmetics,36,80.91,Benin,2912.76,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1268,Electronics,79,98.84,Benin,7808.360000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8779,Shoes,47,14.14,Benin,664.58,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9665,Jewelry,26,94.79,Benin,2464.54,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6628,Cloths,50,62.01,Benin,3100.5,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5424,Jewelry,83,29.78,Benin,2471.74,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC9600,Cloths,25,54.99,Benin,1374.75,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3020,Sports Equipment,91,93.39,Benin,8498.49,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6633,Books,35,80.99,Benin,2834.65,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC9862,Kitchenware,57,55.38,Benin,3156.6600000000003,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8105,Jewelry,22,81.99,Benin,1803.78,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1914,Shoes,51,17.66,Benin,900.66,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4333,Electronics,93,46.94,Benin,4365.42,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC7419,Shoes,62,96.35,Benin,5973.7,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC3647,Electronics,21,42.28,Benin,887.88,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC5813,Furniture,49,58.11,Benin,2847.39,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC3854,Shoes,31,81.76,Benin,2534.56,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2646,Shoes,81,56.3,Benin,4560.3,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC6742,Kitchenware,6,80.4,Benin,482.4,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC7688,Electronics,17,6.57,Benin,111.69,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2447,Cloths,29,19.53,Benin,566.37,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC2830,Shoes,51,61.87,Benin,3155.37,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6138,Cosmetics,50,92.37,Benin,4618.5,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC6746,Books,98,4.36,Benin,427.28,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC6088,Shoes,88,85.46,Benin,7520.48,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC1161,Cloths,85,34.66,Benin,2946.1,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6512,Toys,57,1.58,Benin,90.06,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8707,Jewelry,51,4.45,Benin,226.95,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6717,Kitchenware,10,29.14,Benin,291.4,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC4535,Sports Equipment,53,49.23,Benin,2609.19,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC2871,Sports Equipment,8,33.46,Benin,267.68,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC8549,Cloths,99,1.13,Benin,111.87,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC2790,Sports Equipment,83,31.49,Benin,2613.67,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2770,Books,98,46.26,Benin,4533.48,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2184,Cloths,53,63.42,Benin,3361.26,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC3788,Cloths,17,41.46,Benin,704.82,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC4695,Books,62,11.85,Benin,734.6999999999999,2010-12,2010-12,1
536573,2010-12-01 15:45:00,17025.0,SC5210,Books,60,32.78,Benin,1966.8,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC5816,Furniture,24,39.61,Benin,950.64,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC6830,Jewelry,52,21.06,Benin,1095.12,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5579,Cloths,65,60.94,Benin,3961.1,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC7258,Jewelry,64,81.89,Benin,5240.96,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC5741,Jewelry,86,79.4,Benin,6828.400000000001,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC3370,Jewelry,68,67.04,Benin,4558.72,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC7262,Cloths,40,4.96,Benin,198.4,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC5440,Cosmetics,29,74.47,Benin,2159.63,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC3001,Electronics,78,77.5,Benin,6045.0,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC9326,Cloths,77,91.63,Benin,7055.509999999999,2010-12,2010-12,1
