InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC2849,Sports Equipment,3,76.29,Cameroon,228.87,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC4438,Books,67,91.56,Cameroon,6134.52,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC3495,Sports Equipment,8,70.54,Cameroon,564.32,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5632,Sports Equipment,13,48.36,Cameroon,628.68,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4423,Electronics,64,57.58,Cameroon,3685.12,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC1220,Books,32,53.97,Cameroon,1727.04,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC3774,Jewelry,99,2.6,Cameroon,257.40000000000003,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC7629,Cloths,33,29.6,Cameroon,976.8,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC9393,Toys,63,21.68,Cameroon,1365.84,2010-12,2010-12,1
536400,2010-12-01 10:53:00,13448.0,SC6195,Books,46,7.32,Cameroon,336.72,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7291,Kitchenware,45,89.47,Cameroon,4026.15,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3022,Sports Equipment,81,43.74,Cameroon,3542.94,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4429,Toys,8,72.08,Cameroon,576.64,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9393,Sports Equipment,59,70.49,Cameroon,4158.91,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6639,Shoes,64,11.78,Cameroon,753.92,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC4677,Shoes,72,93.51,Cameroon,6732.72,2010-12,2010-12,1
536407,2010-12-01 11:34:00,17850.0,SC9141,Cloths,33,60.32,Cameroon,1990.56,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2331,Jewelry,87,44.01,Cameroon,3828.87,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2232,Books,63,85.81,Cameroon,5406.03,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8141,Shoes,64,51.25,Cameroon,3280.0,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5421,Shoes,94,64.87,Cameroon,6097.780000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1489,Toys,30,26.81,Cameroon,804.3,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8467,Cloths,68,29.97,Cameroon,2037.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7075,Books,30,93.53,Cameroon,2805.9,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5286,Cloths,56,53.03,Cameroon,2969.6800000000003,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2343,Kitchenware,87,3.12,Cameroon,271.44,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9905,Jewelry,63,41.14,Cameroon,2591.82,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2852,Kitchenware,97,52.52,Cameroon,5094.4400000000005,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4707,Shoes,42,73.27,Cameroon,3077.34,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4802,Books,77,8.11,Cameroon,624.4699999999999,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC3611,Jewelry,66,5.14,Cameroon,339.23999999999995,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC9973,Cloths,68,64.93,Cameroon,4415.240000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8953,Cosmetics,36,53.8,Cameroon,1936.8,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6843,Cloths,79,73.24,Cameroon,5785.96,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC8587,Jewelry,15,60.59,Cameroon,908.85,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC9181,Cosmetics,20,75.89,Cameroon,1517.8,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC6205,Toys,11,61.43,Cameroon,675.73,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC2084,Jewelry,73,78.84,Cameroon,5755.320000000001,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC7301,Shoes,46,55.01,Cameroon,2530.46,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1118,Shoes,37,65.8,Cameroon,2434.6,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC7709,Cosmetics,2,47.1,Cameroon,94.2,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC5339,Toys,83,57.26,Cameroon,4752.58,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6006,Books,88,37.54,Cameroon,3303.52,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1001,Cosmetics,22,45.78,Cameroon,1007.16,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2311,Toys,36,99.43,Cameroon,3579.4800000000005,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2532,Jewelry,38,6.59,Cameroon,250.42,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1170,Jewelry,40,85.9,Cameroon,3436.0,2010-12,2010-12,1
