InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC4513,Furniture,55,3.21,Cote d'Ivoire,176.55,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC5631,Shoes,99,66.66,Cote d'Ivoire,6599.339999999999,2010-12,2010-12,1
536369,2010-12-01 08:35:00,13047.0,SC5713,Books,42,46.3,Cote d'Ivoire,1944.6,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC6747,Jewelry,43,47.11,Cote d'Ivoire,2025.73,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC4536,Shoes,71,5.54,Cote d'Ivoire,393.34,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC3842,Furniture,6,57.68,Cote d'Ivoire,346.08,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC4035,Furniture,38,61.78,Cote d'Ivoire,2347.64,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC8817,Shoes,89,69.19,Cote d'Ivoire,6157.91,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC2305,Electronics,30,55.82,Cote d'Ivoire,1674.6,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC5602,Shoes,53,99.68,Cote d'Ivoire,5283.04,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC1718,Kitchenware,79,12.79,Cote d'Ivoire,1010.41,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4010,Jewelry,69,37.38,Cote d'Ivoire,2579.2200000000003,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1982,Books,58,1.57,Cote d'Ivoire,91.06,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4457,Books,47,34.57,Cote d'Ivoire,1624.79,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6010,Electronics,36,36.12,Cote d'Ivoire,1300.32,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3732,Cloths,68,46.63,Cote d'Ivoire,3170.84,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4697,Jewelry,90,7.65,Cote d'Ivoire,688.5,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC8817,Books,20,75.0,Cote d'Ivoire,1500.0,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3568,Sports Equipment,18,32.0,Cote d'Ivoire,576.0,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2814,Books,62,28.07,Cote d'Ivoire,1740.34,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8503,Shoes,51,86.65,Cote d'Ivoire,4419.150000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4274,Cloths,47,8.05,Cote d'Ivoire,378.35,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6619,Furniture,15,52.75,Cote d'Ivoire,791.25,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3373,Shoes,52,78.98,Cote d'Ivoire,4106.96,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6143,Furniture,19,88.1,Cote d'Ivoire,1673.9,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2037,Jewelry,1,16.66,Cote d'Ivoire,16.66,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC3905,Shoes,12,5.51,Cote d'Ivoire,66.12,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC8286,Cloths,84,73.57,Cote d'Ivoire,6179.879999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3939,Jewelry,80,72.96,Cote d'Ivoire,5836.799999999999,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC5627,Shoes,83,80.41,Cote d'Ivoire,6674.03,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC6261,Electronics,75,77.69,Cote d'Ivoire,5826.75,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4385,Toys,37,16.25,Cote d'Ivoire,601.25,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC9192,Cosmetics,77,93.76,Cote d'Ivoire,7219.52,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC1519,Shoes,26,92.84,Cote d'Ivoire,2413.84,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3799,Sports Equipment,21,9.0,Cote d'Ivoire,189.0,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9896,Toys,28,90.63,Cote d'Ivoire,2537.64,2010-12,2010-12,1
536521,2010-12-01 12:48:00,12748.0,SC3647,Shoes,69,7.16,Cote d'Ivoire,494.04,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6797,Kitchenware,38,73.67,Cote d'Ivoire,2799.46,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC4285,Cosmetics,72,51.99,Cote d'Ivoire,3743.28,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC6751,Furniture,50,24.26,Cote d'Ivoire,1213.0,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC2744,Cosmetics,47,50.62,Cote d'Ivoire,2379.14,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC9955,Books,97,58.52,Cote d'Ivoire,5676.4400000000005,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3477,Cosmetics,78,89.92,Cote d'Ivoire,7013.76,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC5627,Cosmetics,65,38.08,Cote d'Ivoire,2475.2,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC4948,Jewelry,81,75.41,Cote d'Ivoire,6108.21,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC8159,Cosmetics,40,92.33,Cote d'Ivoire,3693.2,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC7630,Jewelry,25,65.95,Cote d'Ivoire,1648.75,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8681,Sports Equipment,41,91.41,Cote d'Ivoire,3747.81,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3404,Toys,5,39.33,Cote d'Ivoire,196.65,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9749,Toys,84,19.55,Cote d'Ivoire,1642.2,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2422,Cosmetics,5,39.38,Cote d'Ivoire,196.9,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9112,Toys,99,90.93,Cote d'Ivoire,9002.070000000002,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7273,Sports Equipment,66,21.71,Cote d'Ivoire,1432.86,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC9880,Kitchenware,23,82.44,Cote d'Ivoire,1896.12,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC9080,Sports Equipment,16,5.23,Cote d'Ivoire,83.68,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC7401,Kitchenware,50,65.42,Cote d'Ivoire,3271.0,2010-12,2010-12,1
536586,2010-12-01 16:25:00,18229.0,SC8997,Shoes,95,9.4,Cote d'Ivoire,893.0,2010-12,2010-12,1
536598,2010-12-02 07:48:00,13090.0,SC3509,Sports Equipment,88,71.64,Cote d'Ivoire,6304.32,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC2259,Electronics,57,69.2,Cote d'Ivoire,3944.4,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC6391,Jewelry,5,64.67,Cote d'Ivoire,323.35,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC9663,Sports Equipment,19,88.76,Cote d'Ivoire,1686.44,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC4857,Furniture,75,19.25,Cote d'Ivoire,1443.75,2010-12,2010-12,1
