InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC1734,Electronics,65,10.23,Egypt,664.95,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC3669,Cosmetics,58,28.85,Egypt,1673.3000000000002,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC1232,Kitchenware,75,95.72,Egypt,7179.0,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC6602,Toys,69,65.16,Egypt,4496.04,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC1321,Cloths,82,38.42,Egypt,3150.44,2010-12,2010-12,1
536376,2010-12-01 09:32:00,15291.0,SC7622,Jewelry,95,90.81,Egypt,8626.95,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC2343,Jewelry,36,11.1,Egypt,399.6,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8067,Electronics,3,90.02,Egypt,270.06,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4801,Shoes,90,7.46,Egypt,671.4,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3921,Toys,73,16.67,Egypt,1216.91,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC5252,Cosmetics,86,9.09,Egypt,781.74,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC9959,Toys,26,49.85,Egypt,1296.1,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC2247,Books,94,7.58,Egypt,712.52,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC3349,Sports Equipment,55,81.39,Egypt,4476.45,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2510,Sports Equipment,1,35.89,Egypt,35.89,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC3694,Furniture,49,90.68,Egypt,4443.320000000001,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC1463,Cosmetics,5,64.37,Egypt,321.85,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9596,Cosmetics,35,29.4,Egypt,1029.0,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3904,Kitchenware,44,43.33,Egypt,1906.52,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4701,Sports Equipment,9,47.25,Egypt,425.25,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6337,Toys,82,39.57,Egypt,3244.74,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7703,Cloths,7,40.96,Egypt,286.72,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9259,Cosmetics,69,21.91,Egypt,1511.79,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5941,Cloths,9,63.72,Egypt,573.48,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9602,Kitchenware,72,19.43,Egypt,1398.96,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9251,Jewelry,59,36.64,Egypt,2161.76,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5710,Electronics,36,29.33,Egypt,1055.88,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8523,Jewelry,78,67.67,Egypt,5278.26,2010-12,2010-12,1
