InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8699,Shoes,32,30.69,Ethiopia,982.08,2010-12,2010-12,1
536372,2010-12-01 09:01:00,17850.0,SC4346,Sports Equipment,22,65.46,Ethiopia,1440.12,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC2407,Cloths,68,50.81,Ethiopia,3455.08,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC6180,Electronics,22,75.92,Ethiopia,1670.24,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5027,Toys,87,74.96,Ethiopia,6521.52,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8577,Books,94,23.79,Ethiopia,2236.26,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8411,Sports Equipment,90,44.55,Ethiopia,4009.5,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1694,Electronics,94,15.25,Ethiopia,1433.5,2010-12,2010-12,1
536386,2010-12-01 09:57:00,16029.0,SC3267,Kitchenware,84,52.64,Ethiopia,4421.76,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC8531,Sports Equipment,43,97.41,Ethiopia,4188.63,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4249,Sports Equipment,39,36.41,Ethiopia,1419.9899999999998,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC7082,Jewelry,71,93.33,Ethiopia,6626.43,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2063,Electronics,76,94.06,Ethiopia,7148.56,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8585,Toys,65,73.08,Ethiopia,4750.2,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6379,Toys,81,44.15,Ethiopia,3576.15,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC5462,Books,28,88.74,Ethiopia,2484.72,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC7301,Kitchenware,81,42.15,Ethiopia,3414.15,2010-12,2010-12,1
536399,2010-12-01 10:52:00,17850.0,SC1089,Toys,16,78.31,Ethiopia,1252.96,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3651,Books,1,96.45,Ethiopia,96.45,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC5493,Sports Equipment,28,96.27,Ethiopia,2695.56,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1035,Jewelry,71,72.9,Ethiopia,5175.900000000001,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6978,Cloths,45,46.36,Ethiopia,2086.2,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC4646,Shoes,9,14.25,Ethiopia,128.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8543,Cloths,72,7.03,Ethiopia,506.16,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1195,Kitchenware,23,15.3,Ethiopia,351.90000000000003,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8436,Electronics,4,89.72,Ethiopia,358.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6843,Sports Equipment,92,38.01,Ethiopia,3496.92,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7096,Electronics,17,57.12,Ethiopia,971.04,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9361,Electronics,18,39.15,Ethiopia,704.6999999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6589,Books,60,20.81,Ethiopia,1248.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7580,Furniture,53,39.76,Ethiopia,2107.28,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3092,Cloths,74,87.79,Ethiopia,6496.46,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4530,Electronics,99,92.58,Ethiopia,9165.42,2010-12,2010-12,1
