InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC5787,Cosmetics,15,71.87,Ghana,1078.0500000000002,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC9018,Shoes,13,55.49,Ghana,721.37,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC6782,Jewelry,86,86.87,Ghana,7470.820000000001,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC9866,Books,59,20.47,Ghana,1207.73,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC2701,Cloths,83,98.12,Ghana,8143.96,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3489,Cloths,2,63.16,Ghana,126.32,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4346,Jewelry,39,67.29,Ghana,2624.3100000000004,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4308,Jewelry,8,29.93,Ghana,239.44,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC5746,Books,42,38.04,Ghana,1597.68,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1772,Kitchenware,82,51.69,Ghana,4238.58,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC4699,Furniture,43,73.25,Ghana,3149.75,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC7555,Electronics,54,72.92,Ghana,3937.68,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6284,Cloths,19,25.85,Ghana,491.15,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7082,Electronics,66,99.87,Ghana,6591.42,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5634,Shoes,32,25.77,Ghana,824.64,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9686,Furniture,9,25.51,Ghana,229.59,2010-12,2010-12,1
