InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC6297,Cosmetics,71,69.76,Kenya,4952.96,2010-12,2010-12,1
536377,2010-12-01 09:34:00,17850.0,SC3182,Kitchenware,6,70.44,Kenya,422.64,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC3546,Sports Equipment,86,95.4,Kenya,8204.4,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC6725,Kitchenware,53,83.93,Kenya,4448.29,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC3917,Jewelry,40,56.02,Kenya,2240.8,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC9354,Jewelry,67,11.24,Kenya,753.08,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6805,Shoes,13,50.21,Kenya,652.73,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC5984,Sports Equipment,65,78.18,Kenya,5081.700000000001,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC3388,Furniture,83,7.51,Kenya,623.3299999999999,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC4958,Toys,89,61.62,Kenya,5484.179999999999,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC5486,Books,87,71.78,Kenya,6244.86,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7791,Jewelry,12,65.04,Kenya,780.48,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2078,Electronics,5,10.9,Kenya,54.5,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3474,Books,14,17.21,Kenya,240.94,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7176,Furniture,60,39.51,Kenya,2370.6,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8640,Electronics,95,38.23,Kenya,3631.85,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2275,Shoes,90,76.12,Kenya,6850.8,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8185,Books,95,51.19,Kenya,4863.05,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4654,Kitchenware,50,43.83,Kenya,2191.5,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9991,Kitchenware,57,30.35,Kenya,1729.95,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC7571,Sports Equipment,88,90.45,Kenya,7959.6,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4647,Furniture,92,27.82,Kenya,2559.44,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC3635,Furniture,25,56.62,Kenya,1415.5,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2951,Cosmetics,81,12.98,Kenya,1051.38,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC6798,Jewelry,98,34.53,Kenya,3383.94,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7830,Cloths,51,37.34,Kenya,1904.34,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4365,Books,20,53.68,Kenya,1073.6,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5040,Cosmetics,39,85.02,Kenya,3315.78,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6756,Jewelry,44,59.85,Kenya,2633.4,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1690,Jewelry,52,81.08,Kenya,4216.16,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3956,Cosmetics,48,1.56,Kenya,74.88,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7135,Sports Equipment,63,66.31,Kenya,4177.53,2010-12,2010-12,1
