InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC1967,Shoes,92,10.71,Libya,985.32,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC1166,Electronics,6,67.04,Libya,402.24,2010-12,2010-12,1
536374,2010-12-01 09:09:00,15100.0,SC8591,Kitchenware,11,43.88,Libya,482.68,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC8225,Sports Equipment,69,12.03,Libya,830.0699999999999,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1714,Kitchenware,83,88.12,Libya,7313.96,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC5210,Cosmetics,61,35.43,Libya,2161.23,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC7693,Sports Equipment,7,30.72,Libya,215.04,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC5017,Cosmetics,26,72.82,Libya,1893.32,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8459,Toys,41,54.46,Libya,2232.86,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC9543,Sports Equipment,47,41.13,Libya,1933.11,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC7004,Toys,78,6.82,Libya,531.96,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3627,Toys,49,32.96,Libya,1615.04,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7430,Cosmetics,68,32.17,Libya,2187.56,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1431,Books,69,45.32,Libya,3127.08,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2236,Jewelry,64,6.03,Libya,385.92,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3662,Electronics,42,65.3,Libya,2742.6,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7960,Jewelry,64,1.65,Libya,105.6,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4494,Shoes,27,38.41,Libya,1037.07,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8734,Books,78,41.71,Libya,3253.38,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2342,Shoes,7,20.58,Libya,144.06,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC7230,Jewelry,38,55.06,Libya,2092.28,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC5888,Jewelry,30,60.24,Libya,1807.2,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC5596,Cloths,9,23.94,Libya,215.46,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC5518,Cosmetics,41,32.67,Libya,1339.47,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC5963,Kitchenware,44,55.05,Libya,2422.2,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8538,Toys,3,89.03,Libya,267.09000000000003,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3401,Cloths,98,67.74,Libya,6638.52,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9544,Shoes,84,48.7,Libya,4090.8,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC1763,Electronics,38,46.74,Libya,1776.12,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC5836,Cosmetics,26,94.1,Libya,2446.6,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7242,Cloths,79,65.36,Libya,5163.44,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1124,Jewelry,1,97.23,Libya,97.23,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC6107,Shoes,9,38.09,Libya,342.81000000000006,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1973,Electronics,11,40.77,Libya,448.47,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2111,Furniture,46,37.77,Libya,1737.42,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7044,Shoes,11,9.91,Libya,109.01,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC9172,Furniture,95,75.92,Libya,7212.400000000001,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC1074,Sports Equipment,96,87.88,Libya,8436.48,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC1532,Sports Equipment,13,28.77,Libya,374.01,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC2922,Sports Equipment,20,4.73,Libya,94.6,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC4259,Furniture,50,44.27,Libya,2213.5,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC8510,Shoes,51,94.71,Libya,4830.21,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8991,Electronics,62,94.21,Libya,5841.02,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC4211,Toys,81,18.12,Libya,1467.72,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC1203,Toys,49,59.74,Libya,2927.26,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC3943,Cosmetics,95,59.44,Libya,5646.8,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC7012,Kitchenware,14,92.88,Libya,1300.32,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC7767,Shoes,40,70.21,Libya,2808.4,2010-12,2010-12,1
