InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC2088,Furniture,95,19.61,Mali,1862.95,2010-12,2010-12,1
536365,2010-12-01 08:26:00,17850.0,SC3463,Books,78,61.49,Mali,4796.22,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC2597,Sports Equipment,15,98.27,Mali,1474.05,2010-12,2010-12,1
536380,2010-12-01 09:41:00,17809.0,SC1943,Toys,45,1.89,Mali,85.05,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4101,Books,57,56.67,Mali,3230.19,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5357,Cloths,30,50.05,Mali,1501.5,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC3031,Books,96,97.97,Mali,9405.12,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC9229,Cloths,60,79.92,Mali,4795.2,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC6124,Cloths,3,22.05,Mali,66.15,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC2414,Books,17,68.25,Mali,1160.25,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC3325,Toys,53,76.88,Mali,4074.64,2010-12,2010-12,1
536399,2010-12-01 10:52:00,17850.0,SC1013,Shoes,89,66.21,Mali,5892.69,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6968,Kitchenware,80,53.64,Mali,4291.2,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1950,Books,86,16.08,Mali,1382.88,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6630,Jewelry,36,28.33,Mali,1019.88,2010-12,2010-12,1
536403,2010-12-01 11:27:00,12791.0,SC8090,Toys,14,86.75,Mali,1214.5,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2673,Furniture,85,77.67,Mali,6601.95,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3759,Books,7,99.68,Mali,697.76,2010-12,2010-12,1
536405,2010-12-01 11:32:00,14045.0,SC2868,Furniture,73,6.66,Mali,486.18,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7790,Cosmetics,83,78.82,Mali,6542.06,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3443,Sports Equipment,81,95.64,Mali,7746.84,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6100,Cloths,7,94.38,Mali,660.66,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6120,Toys,32,57.34,Mali,1834.88,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3336,Furniture,27,81.05,Mali,2188.35,2010-12,2010-12,1
