InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC3067,Jewelry,30,63.3,Morocco,1899.0,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC8443,Books,69,98.86,Morocco,6821.34,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC2271,Toys,63,23.44,Morocco,1476.72,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC5710,Sports Equipment,19,78.95,Morocco,1500.05,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC7534,Electronics,30,97.18,Morocco,2915.4,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC9971,Toys,16,18.78,Morocco,300.48,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC3547,Furniture,26,67.42,Morocco,1752.92,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3429,Books,25,55.87,Morocco,1396.75,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC5902,Sports Equipment,50,18.68,Morocco,934.0,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7243,Books,66,54.99,Morocco,3629.34,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3325,Cosmetics,43,86.21,Morocco,3707.03,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6820,Cloths,82,62.05,Morocco,5088.099999999999,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5594,Kitchenware,26,65.32,Morocco,1698.3199999999997,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3605,Cloths,38,22.22,Morocco,844.3599999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4029,Jewelry,37,9.19,Morocco,340.03,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2221,Books,86,44.32,Morocco,3811.52,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC6490,Shoes,73,91.57,Morocco,6684.61,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC8892,Electronics,39,62.81,Morocco,2449.59,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC1362,Books,5,29.92,Morocco,149.60000000000002,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC7549,Jewelry,55,49.99,Morocco,2749.4500000000003,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8637,Jewelry,84,82.08,Morocco,6894.72,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1967,Cloths,8,73.64,Morocco,589.12,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1979,Jewelry,88,6.8,Morocco,598.4,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3653,Shoes,93,62.88,Morocco,5847.84,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC7673,Electronics,89,95.28,Morocco,8479.92,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2237,Cosmetics,47,14.19,Morocco,666.93,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1013,Cosmetics,44,34.03,Morocco,1497.3200000000002,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6338,Toys,85,27.88,Morocco,2369.8,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3542,Cloths,82,75.96,Morocco,6228.719999999999,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4562,Cosmetics,66,85.44,Morocco,5639.04,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3424,Cloths,70,28.71,Morocco,2009.7,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2968,Electronics,22,96.0,Morocco,2112.0,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC5922,Sports Equipment,74,37.26,Morocco,2757.24,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1611,Furniture,97,73.79,Morocco,7157.630000000001,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5225,Jewelry,86,20.4,Morocco,1754.4,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4747,Sports Equipment,3,38.68,Morocco,116.04,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4004,Sports Equipment,54,90.17,Morocco,4869.18,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4875,Cosmetics,92,64.57,Morocco,5940.44,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC7522,Books,13,44.36,Morocco,576.68,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9579,Sports Equipment,97,10.2,Morocco,989.4,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC7613,Sports Equipment,96,8.55,Morocco,820.8000000000001,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC6683,Jewelry,10,96.09,Morocco,960.9,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC4273,Cosmetics,35,17.12,Morocco,599.2,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3446,Books,25,52.82,Morocco,1320.5,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC7913,Toys,21,55.41,Morocco,1163.61,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC9651,Cosmetics,81,25.38,Morocco,2055.78,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC1465,Books,23,30.7,Morocco,706.1,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC9419,Cosmetics,43,28.5,Morocco,1225.5,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3434,Cloths,54,33.81,Morocco,1825.74,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5849,Shoes,22,23.32,Morocco,513.04,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC5663,Cloths,90,98.14,Morocco,8832.6,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC2716,Toys,75,12.06,Morocco,904.5,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7363,Sports Equipment,21,80.34,Morocco,1687.14,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9032,Toys,62,58.15,Morocco,3605.3,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5059,Cloths,42,86.47,Morocco,3631.74,2010-12,2010-12,1
536570,2010-12-01 15:35:00,14496.0,SC1528,Cloths,12,49.14,Morocco,589.6800000000001,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC7562,Sports Equipment,12,5.39,Morocco,64.67999999999999,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC7210,Cloths,75,39.33,Morocco,2949.75,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC9873,Toys,19,56.3,Morocco,1069.7,2010-12,2010-12,1
536588,2010-12-01 16:49:00,17069.0,SC6974,Books,63,28.02,Morocco,1765.26,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8089,Books,24,2.87,Morocco,68.88,2010-12,2010-12,1
