InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536368,2010-12-01 08:34:00,13047.0,SC3349,Jewelry,62,62.89,Mozambique,3899.18,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC7448,Furniture,4,89.05,Mozambique,356.2,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC2059,Sports Equipment,26,57.79,Mozambique,1502.54,2010-12,2010-12,1
536386,2010-12-01 09:57:00,16029.0,SC4338,Toys,37,76.0,Mozambique,2812.0,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC8059,Shoes,81,81.59,Mozambique,6608.79,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4397,Sports Equipment,42,98.12,Mozambique,4121.04,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC8547,Kitchenware,32,22.62,Mozambique,723.84,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4651,Furniture,45,38.06,Mozambique,1712.7,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1258,Toys,1,77.75,Mozambique,77.75,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5526,Toys,9,95.75,Mozambique,861.75,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2378,Cloths,76,77.03,Mozambique,5854.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC7646,Books,76,47.11,Mozambique,3580.36,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3639,Toys,26,8.91,Mozambique,231.66,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8195,Electronics,56,69.1,Mozambique,3869.6,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7324,Cloths,43,72.24,Mozambique,3106.32,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7371,Furniture,43,90.89,Mozambique,3908.27,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3912,Furniture,34,93.61,Mozambique,3182.74,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC1536,Furniture,86,2.48,Mozambique,213.28,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4955,Cosmetics,94,13.12,Mozambique,1233.28,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC5922,Cloths,44,38.31,Mozambique,1685.64,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC8401,Books,70,34.36,Mozambique,2405.2,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC8144,Electronics,81,42.73,Mozambique,3461.13,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC4947,Electronics,29,38.0,Mozambique,1102.0,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC1802,Toys,35,97.25,Mozambique,3403.75,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC7983,Toys,35,64.96,Mozambique,2273.6,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3110,Kitchenware,54,65.89,Mozambique,3558.06,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9474,Furniture,60,52.88,Mozambique,3172.8,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2990,Sports Equipment,26,10.4,Mozambique,270.40000000000003,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4826,Cosmetics,70,42.18,Mozambique,2952.6,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC8327,Kitchenware,27,47.98,Mozambique,1295.4599999999998,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC5963,Cosmetics,91,19.1,Mozambique,1738.1,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC2055,Shoes,44,9.05,Mozambique,398.2000000000001,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC6471,Shoes,24,37.79,Mozambique,906.96,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2228,Jewelry,47,77.55,Mozambique,3644.85,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC7112,Jewelry,86,97.82,Mozambique,8412.519999999999,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5026,Kitchenware,19,56.09,Mozambique,1065.71,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5601,Cloths,53,80.99,Mozambique,4292.469999999999,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC2637,Kitchenware,80,15.61,Mozambique,1248.8,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC8088,Furniture,6,37.36,Mozambique,224.16,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4193,Furniture,96,65.32,Mozambique,6270.719999999999,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4067,Sports Equipment,25,31.8,Mozambique,795.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2049,Jewelry,81,84.43,Mozambique,6838.830000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3289,Toys,59,76.93,Mozambique,4538.870000000001,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8061,Shoes,93,52.3,Mozambique,4863.9,2010-12,2010-12,1
536534,2010-12-01 13:33:00,15350.0,SC9073,Furniture,96,20.48,Mozambique,1966.08,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC7983,Books,60,82.35,Mozambique,4941.0,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7904,Kitchenware,100,25.63,Mozambique,2563.0,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7984,Cloths,53,50.15,Mozambique,2657.95,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9223,Toys,97,64.47,Mozambique,6253.59,2010-12,2010-12,1
536556,2010-12-01 14:38:00,17643.0,SC1788,Jewelry,66,78.47,Mozambique,5179.02,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3105,Cosmetics,19,94.15,Mozambique,1788.85,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8471,Cosmetics,15,26.28,Mozambique,394.2000000000001,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7870,Jewelry,2,47.54,Mozambique,95.08,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC7759,Furniture,76,29.79,Mozambique,2264.04,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC5441,Furniture,24,17.55,Mozambique,421.2000000000001,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1575,Kitchenware,3,76.94,Mozambique,230.82,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9234,Cosmetics,95,56.55,Mozambique,5372.25,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC4250,Electronics,73,85.11,Mozambique,6213.03,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5057,Shoes,48,7.98,Mozambique,383.04,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC9518,Jewelry,64,10.43,Mozambique,667.52,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC9327,Sports Equipment,11,65.96,Mozambique,725.56,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC6375,Cloths,2,78.21,Mozambique,156.42,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC3387,Kitchenware,14,10.24,Mozambique,143.36,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC5324,Furniture,46,81.34,Mozambique,3741.64,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5352,Electronics,88,51.65,Mozambique,4545.2,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC6048,Cosmetics,92,73.91,Mozambique,6799.719999999999,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8685,Furniture,45,14.97,Mozambique,673.65,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC2446,Jewelry,88,44.09,Mozambique,3879.92,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC2734,Shoes,18,15.33,Mozambique,275.94,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC2787,Shoes,67,14.48,Mozambique,970.16,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC6423,Cloths,98,69.29,Mozambique,6790.420000000001,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9848,Shoes,37,40.3,Mozambique,1491.1,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC1426,Kitchenware,23,9.02,Mozambique,207.46,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC3211,Cosmetics,97,24.66,Mozambique,2392.02,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC9466,Kitchenware,70,82.57,Mozambique,5779.9,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7769,Electronics,51,68.84,Mozambique,3510.84,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2604,Toys,82,90.83,Mozambique,7448.059999999999,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC2533,Furniture,87,41.6,Mozambique,3619.2,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC7227,Cosmetics,67,75.19,Mozambique,5037.73,2010-12,2010-12,1
