InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC5847,Shoes,85,86.29,Niger,7334.650000000001,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC1752,Books,82,88.49,Niger,7256.179999999999,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3884,Sports Equipment,52,13.26,Niger,689.52,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5001,Furniture,53,69.31,Niger,3673.43,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8602,Cloths,93,69.98,Niger,6508.14,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC9597,Jewelry,50,23.46,Niger,1173.0,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC1222,Electronics,72,82.26,Niger,5922.72,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8022,Furniture,7,37.2,Niger,260.40000000000003,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC1302,Jewelry,46,28.66,Niger,1318.36,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC2738,Sports Equipment,23,28.76,Niger,661.48,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5668,Sports Equipment,22,97.48,Niger,2144.56,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC6267,Toys,63,41.94,Niger,2642.22,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC5802,Books,7,98.96,Niger,692.7199999999999,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7443,Cloths,60,19.15,Niger,1149.0,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7334,Cosmetics,94,84.08,Niger,7903.519999999999,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3144,Furniture,59,77.25,Niger,4557.75,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC8779,Kitchenware,83,46.05,Niger,3822.15,2010-12,2010-12,1
