InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536366,2010-12-01 08:28:00,17850.0,SC1236,Kitchenware,19,35.11,Nigeria,667.09,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC2427,Cosmetics,50,31.9,Nigeria,1595.0,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC1710,Cosmetics,26,51.6,Nigeria,1341.6,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5281,Cloths,52,93.2,Nigeria,4846.400000000001,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8546,Books,61,17.18,Nigeria,1047.98,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5810,Electronics,82,93.66,Nigeria,7680.12,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1997,Cloths,78,87.98,Nigeria,6862.4400000000005,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC7112,Sports Equipment,28,81.15,Nigeria,2272.2000000000003,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC3645,Books,83,93.23,Nigeria,7738.09,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC3436,Toys,12,14.04,Nigeria,168.48,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC7651,Kitchenware,94,92.87,Nigeria,8729.78,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4077,Furniture,44,62.97,Nigeria,2770.68,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7651,Shoes,95,22.89,Nigeria,2174.55,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC2988,Cosmetics,50,13.31,Nigeria,665.5,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3643,Electronics,29,82.1,Nigeria,2380.9,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC7549,Toys,6,10.87,Nigeria,65.22,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC4853,Electronics,44,50.19,Nigeria,2208.36,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC1591,Books,23,54.25,Nigeria,1247.75,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC9711,Toys,69,66.83,Nigeria,4611.27,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7928,Cloths,96,44.56,Nigeria,4277.76,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6267,Kitchenware,36,60.51,Nigeria,2178.36,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3273,Kitchenware,72,44.24,Nigeria,3185.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1851,Toys,94,80.2,Nigeria,7538.8,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8431,Cloths,28,40.48,Nigeria,1133.4399999999998,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9661,Cosmetics,41,99.56,Nigeria,4081.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4968,Shoes,15,60.69,Nigeria,910.35,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3173,Books,28,58.57,Nigeria,1639.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2956,Electronics,73,33.77,Nigeria,2465.21,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7580,Furniture,38,60.05,Nigeria,2281.9,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4271,Toys,62,13.35,Nigeria,827.6999999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6085,Kitchenware,56,99.74,Nigeria,5585.44,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4611,Toys,82,65.9,Nigeria,5403.8,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC9710,Electronics,19,42.07,Nigeria,799.33,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC6578,Sports Equipment,94,92.6,Nigeria,8704.4,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC3070,Sports Equipment,6,67.28,Nigeria,403.68,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1822,Sports Equipment,20,37.22,Nigeria,744.4,2010-12,2010-12,1
536463,2010-12-01 12:22:00,14849.0,SC4474,Kitchenware,8,47.33,Nigeria,378.64,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2269,Jewelry,28,26.39,Nigeria,738.9200000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9303,Electronics,37,35.03,Nigeria,1296.11,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9633,Jewelry,61,19.1,Nigeria,1165.1,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2415,Books,99,25.04,Nigeria,2478.96,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC7869,Cloths,56,94.15,Nigeria,5272.400000000001,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4005,Shoes,21,96.98,Nigeria,2036.58,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC5560,Jewelry,10,97.63,Nigeria,976.3,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC4514,Shoes,68,90.63,Nigeria,6162.84,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC6541,Jewelry,17,32.05,Nigeria,544.8499999999999,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC6758,Furniture,23,39.87,Nigeria,917.01,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6186,Shoes,77,46.96,Nigeria,3615.92,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1176,Toys,47,42.89,Nigeria,2015.83,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC8498,Furniture,46,4.79,Nigeria,220.34,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3513,Cloths,28,38.85,Nigeria,1087.8,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC6721,Electronics,25,61.08,Nigeria,1527.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5866,Sports Equipment,21,17.0,Nigeria,357.0,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9185,Electronics,91,98.58,Nigeria,8970.78,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2899,Electronics,92,44.41,Nigeria,4085.72,2010-12,2010-12,1
536536,2010-12-01 13:45:00,18144.0,SC9739,Cosmetics,52,68.43,Nigeria,3558.3600000000006,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9540,Shoes,83,19.08,Nigeria,1583.64,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3541,Cloths,88,93.27,Nigeria,8207.76,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC4798,Cloths,86,41.83,Nigeria,3597.38,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC2671,Kitchenware,56,36.64,Nigeria,2051.84,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC3640,Books,64,6.85,Nigeria,438.4,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC6062,Electronics,37,11.45,Nigeria,423.65,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC9453,Furniture,67,82.71,Nigeria,5541.57,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8964,Cloths,17,26.49,Nigeria,450.33,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2215,Cloths,38,72.81,Nigeria,2766.78,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9422,Toys,27,93.15,Nigeria,2515.05,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC3662,Kitchenware,12,93.51,Nigeria,1122.12,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1487,Sports Equipment,71,84.03,Nigeria,5966.13,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7527,Books,100,70.05,Nigeria,7005.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7471,Cloths,6,85.76,Nigeria,514.5600000000001,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC9419,Jewelry,5,2.95,Nigeria,14.75,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC9097,Cosmetics,65,82.94,Nigeria,5391.099999999999,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC3908,Electronics,35,99.92,Nigeria,3497.2000000000003,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1463,Electronics,8,93.65,Nigeria,749.2,2010-12,2010-12,1
536577,2010-12-01 16:13:00,13777.0,SC3640,Toys,61,58.87,Nigeria,3591.07,2010-12,2010-12,1
536578,2010-12-01 16:15:00,17690.0,SC4508,Electronics,89,81.81,Nigeria,7281.09,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC5287,Furniture,67,15.54,Nigeria,1041.1799999999998,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8724,Jewelry,69,79.73,Nigeria,5501.37,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC3958,Toys,76,77.12,Nigeria,5861.120000000001,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8342,Toys,6,2.52,Nigeria,15.12,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC8310,Toys,68,66.25,Nigeria,4505.0,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3029,Books,35,2.27,Nigeria,79.45,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC3120,Jewelry,95,31.04,Nigeria,2948.8,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC8671,Jewelry,13,52.91,Nigeria,687.8299999999999,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC6559,Jewelry,55,39.97,Nigeria,2198.35,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2459,Toys,2,83.44,Nigeria,166.88,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC9664,Sports Equipment,66,2.21,Nigeria,145.86,2010-12,2010-12,1
536614,2010-12-02 09:44:00,17850.0,SC4576,Electronics,95,16.69,Nigeria,1585.5500000000002,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC9060,Furniture,70,38.46,Nigeria,2692.2000000000003,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC5680,Electronics,48,74.08,Nigeria,3555.84,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC4710,Furniture,93,92.73,Nigeria,8623.890000000001,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC8733,Furniture,14,18.38,Nigeria,257.32,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC1427,Shoes,20,77.5,Nigeria,1550.0,2010-12,2010-12,1
536632,2010-12-02 11:02:00,14388.0,SC7298,Toys,37,21.88,Nigeria,809.56,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC9979,Sports Equipment,26,33.27,Nigeria,865.0200000000001,2010-12,2010-12,1
536635,2010-12-02 11:22:00,15955.0,SC3823,Cloths,78,39.19,Nigeria,3056.82,2010-12,2010-12,1
