InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC2149,Toys,50,38.83,Rwanda,1941.5,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC7497,Kitchenware,3,94.28,Rwanda,282.84000000000003,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC3000,Sports Equipment,4,66.67,Rwanda,266.68,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC8597,Cloths,54,94.18,Rwanda,5085.72,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC4811,Electronics,25,94.97,Rwanda,2374.25,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC2178,Cosmetics,33,53.75,Rwanda,1773.75,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC4447,Cosmetics,70,11.19,Rwanda,783.3,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2719,Toys,92,28.03,Rwanda,2578.76,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC3476,Kitchenware,5,38.73,Rwanda,193.65,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC2883,Furniture,50,75.66,Rwanda,3783.0,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC3057,Sports Equipment,6,34.59,Rwanda,207.54,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6510,Shoes,35,53.93,Rwanda,1887.55,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4721,Shoes,93,3.35,Rwanda,311.55,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4535,Toys,37,95.2,Rwanda,3522.4,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1396,Furniture,33,66.3,Rwanda,2187.9,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1443,Toys,80,97.72,Rwanda,7817.6,2010-12,2010-12,1
