InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC8508,Toys,58,45.61,Senegal,2645.38,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC3935,Books,13,71.63,Senegal,931.19,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC4336,Jewelry,86,9.64,Senegal,829.0400000000001,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC2112,Cosmetics,13,95.79,Senegal,1245.27,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC9316,Shoes,3,25.93,Senegal,77.78999999999999,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC4398,Sports Equipment,88,15.45,Senegal,1359.6,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC5539,Toys,51,58.57,Senegal,2987.07,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2621,Kitchenware,11,59.45,Senegal,653.95,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4092,Toys,67,27.72,Senegal,1857.24,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC5532,Kitchenware,40,98.38,Senegal,3935.2,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9511,Electronics,86,15.06,Senegal,1295.16,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC3051,Cloths,81,92.47,Senegal,7490.07,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC4634,Cloths,65,67.4,Senegal,4381.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6943,Sports Equipment,36,71.93,Senegal,2589.4800000000005,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1899,Electronics,84,47.87,Senegal,4021.08,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5226,Jewelry,84,64.31,Senegal,5402.04,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6119,Cloths,6,11.66,Senegal,69.96000000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5891,Jewelry,78,19.96,Senegal,1556.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2364,Kitchenware,77,22.49,Senegal,1731.7299999999998,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8247,Kitchenware,60,26.21,Senegal,1572.6,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8323,Cosmetics,49,83.78,Senegal,4105.22,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4220,Books,81,93.54,Senegal,7576.740000000001,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC8537,Electronics,75,81.07,Senegal,6080.249999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7930,Jewelry,36,57.67,Senegal,2076.12,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2697,Kitchenware,97,59.36,Senegal,5757.92,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4566,Toys,68,76.52,Senegal,5203.36,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7188,Cloths,46,70.18,Senegal,3228.28,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3248,Furniture,20,33.45,Senegal,669.0,2010-12,2010-12,1
