InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC7895,Toys,41,45.31,Sierra Leone,1857.71,2010-12,2010-12,1
536368,2010-12-01 08:34:00,13047.0,SC1622,Cloths,10,45.6,Sierra Leone,456.0,2010-12,2010-12,1
536368,2010-12-01 08:34:00,13047.0,SC3319,Cloths,23,31.8,Sierra Leone,731.4,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC4357,Kitchenware,47,99.1,Sierra Leone,4657.7,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC6120,Shoes,30,64.05,Sierra Leone,1921.5,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5706,Cloths,69,74.76,Sierra Leone,5158.4400000000005,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC7710,Cloths,17,64.12,Sierra Leone,1090.04,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC6447,Electronics,16,26.93,Sierra Leone,430.88,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC7966,Shoes,19,75.33,Sierra Leone,1431.27,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8666,Jewelry,51,3.89,Sierra Leone,198.39,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC3415,Toys,1,74.45,Sierra Leone,74.45,2010-12,2010-12,1
536397,2010-12-01 10:51:00,17924.0,SC8812,Shoes,27,97.39,Sierra Leone,2629.53,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC9698,Shoes,39,67.18,Sierra Leone,2620.0200000000004,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5336,Cloths,6,89.95,Sierra Leone,539.7,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3483,Kitchenware,75,17.76,Sierra Leone,1332.0000000000002,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC2931,Cosmetics,96,49.98,Sierra Leone,4798.08,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3966,Books,99,8.29,Sierra Leone,820.7099999999999,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9258,Furniture,1,98.01,Sierra Leone,98.01,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2339,Toys,41,90.8,Sierra Leone,3722.8,2010-12,2010-12,1
536407,2010-12-01 11:34:00,17850.0,SC9220,Sports Equipment,13,74.83,Sierra Leone,972.79,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2620,Shoes,87,41.89,Sierra Leone,3644.43,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3504,Kitchenware,24,35.32,Sierra Leone,847.6800000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3663,Electronics,42,36.86,Sierra Leone,1548.12,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1998,Toys,46,24.06,Sierra Leone,1106.76,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1912,Furniture,96,66.39,Sierra Leone,6373.4400000000005,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9866,Toys,93,2.67,Sierra Leone,248.31,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7702,Jewelry,8,97.51,Sierra Leone,780.08,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3045,Toys,35,85.24,Sierra Leone,2983.4,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9722,Books,52,63.5,Sierra Leone,3302.0,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5755,Sports Equipment,61,19.01,Sierra Leone,1159.61,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4020,Toys,92,66.67,Sierra Leone,6133.64,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1413,Shoes,50,76.64,Sierra Leone,3832.0,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC6309,Furniture,24,86.93,Sierra Leone,2086.32,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7772,Furniture,37,73.61,Sierra Leone,2723.57,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9743,Books,92,97.02,Sierra Leone,8925.84,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8453,Toys,84,55.2,Sierra Leone,4636.8,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3368,Jewelry,26,60.92,Sierra Leone,1583.92,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6809,Cosmetics,55,36.5,Sierra Leone,2007.5,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8953,Cosmetics,16,36.93,Sierra Leone,590.88,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC8815,Kitchenware,25,16.08,Sierra Leone,402.0,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3252,Kitchenware,94,45.22,Sierra Leone,4250.68,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC6664,Electronics,42,52.84,Sierra Leone,2219.28,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC2349,Electronics,64,20.42,Sierra Leone,1306.88,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7483,Cloths,21,41.24,Sierra Leone,866.0400000000001,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC8496,Books,4,13.19,Sierra Leone,52.76,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4784,Toys,60,59.96,Sierra Leone,3597.6,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC2239,Books,45,47.49,Sierra Leone,2137.05,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC4946,Toys,7,2.95,Sierra Leone,20.65,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9077,Shoes,74,99.75,Sierra Leone,7381.5,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3148,Electronics,7,64.26,Sierra Leone,449.8200000000001,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC3875,Sports Equipment,44,23.31,Sierra Leone,1025.64,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC9762,Kitchenware,54,62.02,Sierra Leone,3349.0800000000004,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC7335,Jewelry,63,43.51,Sierra Leone,2741.13,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3287,Cloths,16,30.81,Sierra Leone,492.96,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC2988,Sports Equipment,63,93.87,Sierra Leone,5913.81,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC6335,Furniture,37,96.41,Sierra Leone,3567.17,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6155,Furniture,60,60.55,Sierra Leone,3633.0,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC2479,Jewelry,39,56.89,Sierra Leone,2218.71,2010-12,2010-12,1
