InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC6228,Toys,15,24.73,South Africa,370.95,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC9532,Kitchenware,29,50.07,South Africa,1452.03,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC3545,Sports Equipment,63,65.89,South Africa,4151.07,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1623,Shoes,71,93.73,South Africa,6654.83,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8768,Books,90,97.34,South Africa,8760.6,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC5941,Cloths,74,17.23,South Africa,1275.02,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC2124,Cosmetics,2,70.06,South Africa,140.12,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC9331,Furniture,11,66.3,South Africa,729.3,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC1261,Books,26,31.28,South Africa,813.28,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6650,Kitchenware,94,27.24,South Africa,2560.56,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9635,Books,44,7.08,South Africa,311.52,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC8152,Sports Equipment,58,49.71,South Africa,2883.18,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6560,Kitchenware,20,11.26,South Africa,225.2,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4716,Shoes,58,95.0,South Africa,5510.0,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC7111,Toys,6,43.1,South Africa,258.6,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2335,Sports Equipment,93,18.25,South Africa,1697.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC9606,Sports Equipment,78,71.81,South Africa,5601.18,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2103,Electronics,33,69.66,South Africa,2298.78,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC8513,Shoes,84,43.44,South Africa,3648.96,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9174,Shoes,74,19.67,South Africa,1455.5800000000002,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC8284,Toys,80,10.87,South Africa,869.5999999999999,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC6712,Kitchenware,77,23.05,South Africa,1774.85,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC5919,Furniture,36,51.21,South Africa,1843.56,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9932,Shoes,74,97.86,South Africa,7241.64,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4977,Toys,53,44.67,South Africa,2367.51,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3040,Furniture,80,97.59,South Africa,7807.200000000001,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC4089,Kitchenware,67,28.99,South Africa,1942.33,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC2652,Jewelry,4,73.14,South Africa,292.56,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3125,Shoes,33,73.43,South Africa,2423.19,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC9497,Furniture,32,21.41,South Africa,685.12,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC3528,Cloths,64,47.61,South Africa,3047.04,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC7208,Shoes,68,36.05,South Africa,2451.4,2010-12,2010-12,1
536526,2010-12-01 12:58:00,14001.0,SC3765,Kitchenware,92,49.0,South Africa,4508.0,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4930,Cosmetics,32,20.72,South Africa,663.04,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC7842,Furniture,33,53.2,South Africa,1755.6,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9714,Furniture,42,73.12,South Africa,3071.04,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5038,Furniture,48,19.69,South Africa,945.12,2010-12,2010-12,1
536529,2010-12-01 13:20:00,14237.0,SC1583,Shoes,90,14.04,South Africa,1263.6,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4019,Jewelry,67,29.88,South Africa,2001.96,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC8317,Shoes,2,21.45,South Africa,42.9,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2511,Kitchenware,35,2.37,South Africa,82.95,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC9161,Cosmetics,63,98.85,South Africa,6227.549999999999,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC1996,Toys,16,25.32,South Africa,405.12,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC8669,Kitchenware,9,77.79,South Africa,700.11,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC1440,Cosmetics,78,81.45,South Africa,6353.1,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC3488,Electronics,52,7.35,South Africa,382.2,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3404,Electronics,92,26.06,South Africa,2397.52,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC2287,Books,19,14.31,South Africa,271.89,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC5202,Toys,88,57.75,South Africa,5082.0,2010-12,2010-12,1
536540,2010-12-01 14:05:00,14911.0,SC4557,Cloths,83,69.38,South Africa,5758.54,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC5217,Shoes,98,34.19,South Africa,3350.62,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC2500,Cloths,6,77.75,South Africa,466.5,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC3878,Cosmetics,63,4.73,South Africa,297.99,2010-12,2010-12,1
536562,2010-12-01 15:08:00,13468.0,SC6033,Kitchenware,35,62.69,South Africa,2194.15,2010-12,2010-12,1
536563,2010-12-01 15:08:00,17760.0,SC4590,Cosmetics,88,12.23,South Africa,1076.24,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC1085,Cosmetics,100,49.9,South Africa,4990.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8382,Furniture,13,74.61,South Africa,969.93,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5469,Kitchenware,50,67.92,South Africa,3396.0,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC2858,Jewelry,44,70.65,South Africa,3108.6000000000004,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC1631,Sports Equipment,1,55.61,South Africa,55.61,2010-12,2010-12,1
536585,2010-12-01 16:24:00,17460.0,SC5838,Jewelry,72,12.41,South Africa,893.52,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC9398,Cloths,84,24.69,South Africa,2073.96,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC1317,Shoes,100,48.57,South Africa,4857.0,2010-12,2010-12,1
536595,2010-12-01 17:24:00,13576.0,SC4593,Sports Equipment,62,18.61,South Africa,1153.82,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC8069,Electronics,20,97.24,South Africa,1944.8,2010-12,2010-12,1
536599,2010-12-02 07:49:00,15694.0,SC5632,Cloths,71,21.73,South Africa,1542.83,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC8604,Electronics,93,76.21,South Africa,7087.53,2010-12,2010-12,1
536604,2010-12-02 08:43:00,14741.0,SC8577,Jewelry,38,33.77,South Africa,1283.2600000000002,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC9105,Shoes,68,5.62,South Africa,382.16,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC1956,Electronics,69,55.92,South Africa,3858.48,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC3596,Books,29,21.91,South Africa,635.39,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC2285,Furniture,90,55.35,South Africa,4981.5,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2028,Sports Equipment,87,13.29,South Africa,1156.23,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC5152,Cloths,32,95.19,South Africa,3046.08,2010-12,2010-12,1
