InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC3348,Toys,26,63.64,Sudan,1654.64,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC7701,Cosmetics,7,88.98,Sudan,622.86,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC6449,Sports Equipment,54,13.1,Sudan,707.4,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC9849,Cloths,15,71.16,Sudan,1067.4,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC1576,Toys,29,83.53,Sudan,2422.37,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC9395,Shoes,66,82.55,Sudan,5448.3,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8506,Toys,64,67.96,Sudan,4349.44,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC1843,Cloths,58,10.61,Sudan,615.38,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC4369,Shoes,30,18.56,Sudan,556.8,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC1100,Cloths,66,59.19,Sudan,3906.54,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8210,Shoes,13,57.76,Sudan,750.88,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC2267,Cloths,31,84.48,Sudan,2618.88,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC6421,Kitchenware,50,34.88,Sudan,1744.0000000000002,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC4294,Cosmetics,60,73.13,Sudan,4387.799999999999,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC2114,Sports Equipment,38,66.84,Sudan,2539.92,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4346,Cloths,45,39.85,Sudan,1793.25,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5667,Cosmetics,95,36.0,Sudan,3420.0,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9927,Jewelry,50,79.05,Sudan,3952.5,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9580,Cosmetics,93,79.28,Sudan,7373.04,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2616,Jewelry,66,97.49,Sudan,6434.339999999999,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC5841,Cloths,82,10.93,Sudan,896.26,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3194,Furniture,96,69.69,Sudan,6690.24,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3714,Sports Equipment,70,67.52,Sudan,4726.4,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6549,Kitchenware,56,29.73,Sudan,1664.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2283,Shoes,35,55.64,Sudan,1947.4,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3079,Kitchenware,33,72.64,Sudan,2397.12,2010-12,2010-12,1
