InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536367,2010-12-01 08:34:00,13047.0,SC7503,Electronics,2,16.6,Tanzania,33.2,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4300,Furniture,30,82.92,Tanzania,2487.6,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC4166,Cloths,56,4.17,Tanzania,233.52,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC4245,Electronics,81,23.15,Tanzania,1875.15,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC9450,Sports Equipment,87,8.0,Tanzania,696.0,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC6891,Sports Equipment,5,68.66,Tanzania,343.29999999999995,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2742,Cloths,22,12.62,Tanzania,277.64,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC8979,Kitchenware,84,41.63,Tanzania,3496.92,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC8876,Cosmetics,70,73.43,Tanzania,5140.1,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6672,Kitchenware,94,86.85,Tanzania,8163.9,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3242,Sports Equipment,28,20.55,Tanzania,575.4,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC9432,Sports Equipment,56,3.03,Tanzania,169.67999999999998,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4017,Cloths,21,30.58,Tanzania,642.18,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7070,Electronics,45,99.84,Tanzania,4492.8,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2247,Sports Equipment,67,33.31,Tanzania,2231.77,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3971,Sports Equipment,10,25.53,Tanzania,255.3,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC2616,Sports Equipment,56,18.75,Tanzania,1050.0,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2139,Furniture,73,99.74,Tanzania,7281.019999999999,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC9949,Toys,5,6.58,Tanzania,32.9,2010-12,2010-12,1
