InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC1249,Sports Equipment,99,99.38,Togo,9838.62,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8678,Jewelry,3,99.58,Togo,298.74,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1042,Shoes,68,9.98,Togo,678.64,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC6051,Books,18,87.89,Togo,1582.02,2010-12,2010-12,1
536386,2010-12-01 09:57:00,16029.0,SC8962,Cosmetics,37,20.71,Togo,766.27,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC6720,Toys,84,77.93,Togo,6546.120000000001,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC7189,Toys,78,61.61,Togo,4805.58,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC7565,Toys,66,75.61,Togo,4990.26,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2735,Electronics,47,87.93,Togo,4132.71,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC4634,Shoes,69,50.25,Togo,3467.25,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9983,Books,4,92.75,Togo,371.0,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC1988,Electronics,6,85.32,Togo,511.92,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2305,Electronics,8,10.23,Togo,81.84,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5717,Cloths,17,32.87,Togo,558.79,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3322,Sports Equipment,3,71.34,Togo,214.02,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC8825,Jewelry,66,34.62,Togo,2284.92,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2207,Toys,82,60.34,Togo,4947.88,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1581,Cosmetics,94,95.43,Togo,8970.42,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4209,Furniture,36,14.67,Togo,528.12,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC9453,Electronics,14,51.71,Togo,723.94,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3286,Books,56,56.78,Togo,3179.6800000000003,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8786,Furniture,48,71.02,Togo,3408.96,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2066,Toys,18,19.11,Togo,343.98,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6016,Cloths,62,63.32,Togo,3925.84,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC3728,Books,16,43.06,Togo,688.96,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC4770,Toys,33,76.24,Togo,2515.92,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9505,Kitchenware,74,39.29,Togo,2907.46,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC3068,Toys,91,46.84,Togo,4262.4400000000005,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC5596,Kitchenware,42,4.87,Togo,204.54,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5447,Cosmetics,72,27.54,Togo,1982.88,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2759,Cloths,26,25.64,Togo,666.64,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC6726,Jewelry,76,61.19,Togo,4650.44,2010-12,2010-12,1
536535,2010-12-01 13:38:00,15605.0,SC5208,Sports Equipment,99,1.57,Togo,155.43,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8490,Sports Equipment,84,92.43,Togo,7764.120000000001,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC4193,Furniture,14,86.36,Togo,1209.04,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC8732,Toys,5,21.5,Togo,107.5,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC9438,Jewelry,82,74.4,Togo,6100.8,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC6660,Cosmetics,82,3.04,Togo,249.28,2010-12,2010-12,1
536559,2010-12-01 14:54:00,17873.0,SC9237,Books,3,50.87,Togo,152.61,2010-12,2010-12,1
