InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536368,2010-12-01 08:34:00,13047.0,SC2553,Toys,58,67.53,Tunisia,3916.74,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC8536,Sports Equipment,32,30.73,Tunisia,983.36,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC8643,Sports Equipment,98,16.84,Tunisia,1650.32,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC3557,Cosmetics,59,54.88,Tunisia,3237.92,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC8815,Kitchenware,59,56.73,Tunisia,3347.07,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC5553,Toys,49,97.96,Tunisia,4800.04,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC3369,Books,72,96.88,Tunisia,6975.36,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC6647,Furniture,33,27.94,Tunisia,922.02,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC4599,Books,73,27.43,Tunisia,2002.39,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC9357,Jewelry,60,99.24,Tunisia,5954.4,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4735,Furniture,88,73.18,Tunisia,6439.84,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC6729,Furniture,31,20.41,Tunisia,632.71,2010-12,2010-12,1
536397,2010-12-01 10:51:00,17924.0,SC5365,Toys,50,2.91,Tunisia,145.5,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1357,Sports Equipment,47,68.54,Tunisia,3221.38,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC1039,Cloths,72,52.31,Tunisia,3766.32,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3692,Kitchenware,50,48.21,Tunisia,2410.5,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2631,Jewelry,7,52.27,Tunisia,365.89,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7154,Books,38,44.82,Tunisia,1703.16,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1636,Jewelry,19,85.34,Tunisia,1621.46,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5503,Cloths,59,95.18,Tunisia,5615.620000000001,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7896,Kitchenware,62,91.24,Tunisia,5656.88,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6473,Jewelry,95,60.57,Tunisia,5754.15,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7914,Shoes,37,68.08,Tunisia,2518.96,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC1826,Cosmetics,89,38.46,Tunisia,3422.94,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC5638,Jewelry,77,30.3,Tunisia,2333.1,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4585,Cosmetics,36,27.65,Tunisia,995.4,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8210,Sports Equipment,88,73.66,Tunisia,6482.08,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5747,Books,9,88.16,Tunisia,793.4399999999999,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC9579,Sports Equipment,34,67.91,Tunisia,2308.94,2010-12,2010-12,1
536500,2010-12-01 12:35:00,17377.0,SC9375,Cloths,27,49.38,Tunisia,1333.26,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1487,Cosmetics,71,71.85,Tunisia,5101.349999999999,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC2105,Jewelry,29,56.68,Tunisia,1643.72,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6455,Toys,94,62.4,Tunisia,5865.599999999999,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC2514,Sports Equipment,97,2.48,Tunisia,240.56,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC3623,Books,45,66.52,Tunisia,2993.4,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9318,Shoes,30,4.89,Tunisia,146.7,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC7024,Toys,17,12.72,Tunisia,216.24,2010-12,2010-12,1
536523,2010-12-01 12:50:00,12868.0,SC1716,Cosmetics,77,72.14,Tunisia,5554.78,2010-12,2010-12,1
536524,2010-12-01 12:51:00,17572.0,SC4963,Cosmetics,23,47.14,Tunisia,1084.22,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC6886,Books,73,5.34,Tunisia,389.82,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1983,Cosmetics,37,90.96,Tunisia,3365.52,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC8617,Furniture,82,62.76,Tunisia,5146.32,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC2978,Electronics,40,45.93,Tunisia,1837.2,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3047,Toys,77,62.15,Tunisia,4785.55,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC8892,Kitchenware,52,61.17,Tunisia,3180.84,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC9649,Jewelry,93,5.55,Tunisia,516.15,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC9184,Sports Equipment,31,32.33,Tunisia,1002.23,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC7401,Electronics,32,38.54,Tunisia,1233.28,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5022,Furniture,53,58.42,Tunisia,3096.26,2010-12,2010-12,1
