InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC8304,Electronics,45,75.85,Uganda,3413.2499999999995,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC6586,Electronics,47,27.78,Uganda,1305.66,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC3876,Toys,54,91.23,Uganda,4926.42,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5790,Toys,61,24.7,Uganda,1506.7,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8391,Toys,73,87.25,Uganda,6369.25,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4715,Kitchenware,74,90.67,Uganda,6709.58,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4711,Electronics,97,94.81,Uganda,9196.57,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8101,Cosmetics,9,65.32,Uganda,587.8799999999999,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1603,Shoes,1,12.15,Uganda,12.15,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1535,Cosmetics,39,77.78,Uganda,3033.42,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC2468,Books,33,56.42,Uganda,1861.86,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC8755,Electronics,58,83.86,Uganda,4863.88,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC3214,Cloths,67,58.13,Uganda,3894.71,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6995,Cloths,76,86.05,Uganda,6539.8,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4817,Kitchenware,77,90.85,Uganda,6995.45,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC7777,Sports Equipment,21,69.39,Uganda,1457.19,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC1203,Kitchenware,90,99.6,Uganda,8964.0,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6254,Shoes,2,2.05,Uganda,4.1,2010-12,2010-12,1
