InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC3132,Cosmetics,22,71.55,Zambia,1574.1,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC1723,Jewelry,34,82.55,Zambia,2806.7,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC8910,Jewelry,44,81.44,Zambia,3583.36,2010-12,2010-12,1
536382,2010-12-01 09:45:00,16098.0,SC8743,Shoes,51,10.56,Zambia,538.5600000000001,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8969,Jewelry,84,14.01,Zambia,1176.84,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC5258,Electronics,3,14.92,Zambia,44.76,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC2030,Sports Equipment,57,24.14,Zambia,1375.98,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4345,Cosmetics,5,75.48,Zambia,377.4,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC9578,Kitchenware,42,2.71,Zambia,113.82,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC7498,Cloths,94,32.92,Zambia,3094.48,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5271,Cloths,74,64.68,Zambia,4786.320000000001,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9454,Toys,98,81.06,Zambia,7943.88,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1810,Kitchenware,6,54.01,Zambia,324.06,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9753,Cosmetics,40,30.23,Zambia,1209.2,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5718,Cloths,58,65.0,Zambia,3770.0,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC1797,Cosmetics,36,80.53,Zambia,2899.08,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3871,Electronics,36,32.98,Zambia,1187.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2836,Sports Equipment,71,31.79,Zambia,2257.09,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2627,Electronics,13,16.19,Zambia,210.47000000000003,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1749,Toys,58,61.67,Zambia,3576.86,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC5683,Books,75,63.37,Zambia,4752.75,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3402,Furniture,98,25.75,Zambia,2523.5,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3652,Electronics,3,33.96,Zambia,101.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6718,Toys,61,82.1,Zambia,5008.099999999999,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4618,Shoes,39,48.72,Zambia,1900.08,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC6993,Furniture,92,67.81,Zambia,6238.52,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2542,Furniture,67,81.75,Zambia,5477.25,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5566,Kitchenware,29,77.08,Zambia,2235.32,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC3082,Sports Equipment,49,94.42,Zambia,4626.58,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8946,Toys,39,33.86,Zambia,1320.54,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4407,Furniture,12,60.25,Zambia,723.0,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC9897,Cloths,42,53.6,Zambia,2251.2000000000003,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2702,Toys,21,69.5,Zambia,1459.5,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5524,Toys,22,16.62,Zambia,365.64,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC9528,Sports Equipment,30,40.04,Zambia,1201.2,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3006,Cosmetics,24,39.6,Zambia,950.4,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5633,Furniture,55,66.01,Zambia,3630.55,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5327,Shoes,7,4.17,Zambia,29.19,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1626,Sports Equipment,3,51.33,Zambia,153.99,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9906,Sports Equipment,37,8.4,Zambia,310.8,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC3341,Jewelry,7,85.57,Zambia,598.99,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1719,Cosmetics,22,63.4,Zambia,1394.8,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1607,Toys,64,79.57,Zambia,5092.48,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5205,Furniture,10,77.15,Zambia,771.5,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5780,Books,14,93.91,Zambia,1314.74,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC6097,Kitchenware,50,57.89,Zambia,2894.5,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC1398,Toys,87,14.49,Zambia,1260.63,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5030,Cosmetics,33,20.54,Zambia,677.8199999999999,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1000,Books,83,76.11,Zambia,6317.13,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3570,Books,92,97.45,Zambia,8965.4,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC6127,Cosmetics,65,90.22,Zambia,5864.3,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC3308,Cloths,4,9.46,Zambia,37.84,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9196,Shoes,72,24.51,Zambia,1764.72,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC4182,Books,25,63.33,Zambia,1583.25,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4719,Shoes,16,80.57,Zambia,1289.12,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3850,Toys,12,93.47,Zambia,1121.64,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8393,Toys,98,91.59,Zambia,8975.82,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC5016,Kitchenware,1,17.96,Zambia,17.96,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC8142,Jewelry,6,1.59,Zambia,9.54,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7015,Cloths,6,31.34,Zambia,188.04,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC9844,Kitchenware,100,19.52,Zambia,1952.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4566,Electronics,2,42.7,Zambia,85.4,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7132,Toys,83,71.88,Zambia,5966.04,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4347,Toys,11,10.29,Zambia,113.19,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8839,Kitchenware,98,60.89,Zambia,5967.22,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5759,Sports Equipment,18,3.99,Zambia,71.82000000000001,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC9930,Toys,9,97.09,Zambia,873.8100000000001,2010-12,2010-12,1
