InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC7422,Kitchenware,91,94.45,Zimbabwe,8594.95,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC1126,Toys,64,76.55,Zimbabwe,4899.2,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC6682,Kitchenware,42,92.07,Zimbabwe,3866.94,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC1330,Kitchenware,77,34.3,Zimbabwe,2641.1,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC5364,Jewelry,16,55.28,Zimbabwe,884.48,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC6165,Sports Equipment,8,6.43,Zimbabwe,51.44,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9989,Furniture,21,5.09,Zimbabwe,106.89,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7009,Jewelry,67,42.98,Zimbabwe,2879.66,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC3350,Shoes,65,59.32,Zimbabwe,3855.8,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC2480,Kitchenware,64,49.13,Zimbabwe,3144.32,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2432,Kitchenware,47,59.86,Zimbabwe,2813.42,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6279,Jewelry,28,4.31,Zimbabwe,120.68,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC7435,Books,75,88.79,Zimbabwe,6659.250000000001,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3129,Cosmetics,65,39.5,Zimbabwe,2567.5,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3491,Sports Equipment,8,63.63,Zimbabwe,509.04,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2905,Toys,99,4.82,Zimbabwe,477.18,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2327,Furniture,52,11.61,Zimbabwe,603.72,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7196,Jewelry,11,64.23,Zimbabwe,706.5300000000001,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6807,Books,12,29.59,Zimbabwe,355.08,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6249,Shoes,54,27.39,Zimbabwe,1479.06,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC3535,Cosmetics,13,8.31,Zimbabwe,108.03,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC9050,Cloths,69,70.11,Zimbabwe,4837.59,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2728,Toys,1,82.22,Zimbabwe,82.22,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC6543,Cosmetics,65,42.01,Zimbabwe,2730.65,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4704,Cosmetics,26,90.91,Zimbabwe,2363.66,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC5040,Books,85,33.63,Zimbabwe,2858.55,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4874,Jewelry,4,96.0,Zimbabwe,384.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6250,Sports Equipment,75,18.94,Zimbabwe,1420.5,2010-12,2010-12,1
