InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC1734,Electronics,65,10.23,Egypt,664.95,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC1259,Electronics,89,38.57,Somalia,3432.73,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC7503,Electronics,2,16.6,Tanzania,33.2,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC9722,Electronics,56,87.89,Madagascar,4921.84,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC8304,Electronics,45,75.85,Uganda,3413.2499999999995,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC3985,Electronics,39,40.07,Burkina Faso,1562.73,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC1166,Electronics,6,67.04,Libya,402.24,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC6180,Electronics,22,75.92,Ethiopia,1670.24,2010-12,2010-12,1
536373,2010-12-01 09:02:00,17850.0,SC3095,Electronics,19,28.57,Benin,542.83,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC6586,Electronics,47,27.78,Uganda,1305.66,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC8067,Electronics,3,90.02,Egypt,270.06,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC1694,Electronics,94,15.25,Ethiopia,1433.5,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4423,Electronics,64,57.58,Cameroon,3685.12,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4711,Electronics,97,94.81,Uganda,9196.57,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5810,Electronics,82,93.66,Nigeria,7680.12,2010-12,2010-12,1
536384,2010-12-01 09:53:00,18074.0,SC4811,Electronics,25,94.97,Rwanda,2374.25,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC4245,Electronics,81,23.15,Tanzania,1875.15,2010-12,2010-12,1
536387,2010-12-01 09:58:00,16029.0,SC2305,Electronics,30,55.82,Cote d'Ivoire,1674.6,2010-12,2010-12,1
536388,2010-12-01 09:59:00,16250.0,SC3151,Electronics,82,94.58,Somalia,7755.559999999999,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC8755,Electronics,58,83.86,Uganda,4863.88,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC6447,Electronics,16,26.93,Sierra Leone,430.88,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC2063,Electronics,76,94.06,Ethiopia,7148.56,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC1222,Electronics,72,82.26,Niger,5922.72,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC2735,Electronics,47,87.93,Togo,4132.71,2010-12,2010-12,1
536394,2010-12-01 10:39:00,13408.0,SC5258,Electronics,3,14.92,Zambia,44.76,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC7555,Electronics,54,72.92,Ghana,3937.68,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC9511,Electronics,86,15.06,Senegal,1295.16,2010-12,2010-12,1
