InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536365,2010-12-01 08:26:00,17850.0,SC2088,Furniture,95,19.61,Mali,1862.95,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC4513,Furniture,55,3.21,Cote d'Ivoire,176.55,2010-12,2010-12,1
536367,2010-12-01 08:34:00,13047.0,SC2582,Furniture,64,40.27,Somalia,2577.28,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC3842,Furniture,6,57.68,Cote d'Ivoire,346.08,2010-12,2010-12,1
536370,2010-12-01 08:45:00,12583.0,SC4035,Furniture,38,61.78,Cote d'Ivoire,2347.64,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC7448,Furniture,4,89.05,Mozambique,356.2,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC5001,Furniture,53,69.31,Niger,3673.43,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC4300,Furniture,30,82.92,Tanzania,2487.6,2010-12,2010-12,1
536385,2010-12-01 09:56:00,17420.0,SC6647,Furniture,33,27.94,Tunisia,922.02,2010-12,2010-12,1
536389,2010-12-01 10:03:00,12431.0,SC4699,Furniture,43,73.25,Ghana,3149.75,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC2883,Furniture,50,75.66,Rwanda,3783.0,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC9331,Furniture,11,66.3,South Africa,729.3,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8022,Furniture,7,37.2,Niger,260.40000000000003,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC6910,Furniture,46,98.45,Somalia,4528.7,2010-12,2010-12,1
536392,2010-12-01 10:29:00,13705.0,SC3694,Furniture,49,90.68,Egypt,4443.320000000001,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC3388,Furniture,83,7.51,Kenya,623.3299999999999,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4735,Furniture,88,73.18,Tunisia,6439.84,2010-12,2010-12,1
536396,2010-12-01 10:51:00,17850.0,SC6729,Furniture,31,20.41,Tunisia,632.71,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4077,Furniture,44,62.97,Nigeria,2770.68,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC4651,Furniture,45,38.06,Mozambique,1712.7,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9989,Furniture,21,5.09,Zimbabwe,106.89,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC3075,Furniture,5,65.79,Burkina Faso,328.95000000000005,2010-12,2010-12,1
536402,2010-12-01 11:22:00,15513.0,SC3547,Furniture,26,67.42,Morocco,1752.92,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9686,Furniture,9,25.51,Ghana,229.59,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9258,Furniture,1,98.01,Sierra Leone,98.01,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC9467,Furniture,78,17.47,Uganda,1362.66,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC2673,Furniture,85,77.67,Mali,6601.95,2010-12,2010-12,1
536405,2010-12-01 11:32:00,14045.0,SC2868,Furniture,73,6.66,Mali,486.18,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC6882,Furniture,20,28.46,Burkina Faso,569.2,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC7176,Furniture,60,39.51,Kenya,2370.6,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC1396,Furniture,33,66.3,Rwanda,2187.9,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC3144,Furniture,59,77.25,Niger,4557.75,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC4212,Furniture,5,64.29,Algeria,321.45000000000005,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3336,Furniture,27,81.05,Mali,2188.35,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3194,Furniture,96,69.69,Sudan,6690.24,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC6445,Furniture,77,82.57,Mali,6357.889999999999,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC8906,Furniture,21,37.46,Niger,786.66,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3063,Furniture,43,52.19,Rwanda,2244.17,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6619,Furniture,15,52.75,Cote d'Ivoire,791.25,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC1912,Furniture,96,66.39,Sierra Leone,6373.4400000000005,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3402,Furniture,98,25.75,Zambia,2523.5,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2327,Furniture,52,11.61,Zimbabwe,603.72,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC9959,Furniture,55,52.33,Uganda,2878.15,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC7580,Furniture,38,60.05,Nigeria,2281.9,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6084,Furniture,48,40.68,Madagascar,1952.64,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7371,Furniture,43,90.89,Mozambique,3908.27,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC2294,Furniture,5,51.12,Mali,255.6,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC5564,Furniture,71,66.59,Mali,4727.89,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC9040,Furniture,91,33.15,Madagascar,3016.65,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6143,Furniture,19,88.1,Cote d'Ivoire,1673.9,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7580,Furniture,53,39.76,Ethiopia,2107.28,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC3912,Furniture,34,93.61,Mozambique,3182.74,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC1536,Furniture,86,2.48,Mozambique,213.28,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4209,Furniture,36,14.67,Togo,528.12,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC4647,Furniture,92,27.82,Kenya,2559.44,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC2139,Furniture,73,99.74,Tanzania,7281.019999999999,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC9075,Furniture,97,92.28,Mali,8951.16,2010-12,2010-12,1
536423,2010-12-01 12:08:00,18085.0,SC6309,Furniture,24,86.93,Sierra Leone,2086.32,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC3635,Furniture,25,56.62,Kenya,1415.5,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC6993,Furniture,92,67.81,Zambia,6238.52,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC1552,Furniture,57,71.79,Ethiopia,4092.03,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2542,Furniture,67,81.75,Zambia,5477.25,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC3655,Furniture,46,49.99,Mali,2299.54,2010-12,2010-12,1
536437,2010-12-01 12:12:00,13694.0,SC5919,Furniture,36,51.21,South Africa,1843.56,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC1897,Furniture,14,52.18,Madagascar,730.52,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5411,Furniture,98,12.99,Ethiopia,1273.02,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC1078,Furniture,55,53.18,Rwanda,2924.9,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2751,Furniture,83,23.04,Mali,1912.32,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4407,Furniture,12,60.25,Zambia,723.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4764,Furniture,72,65.28,Uganda,4700.16,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7772,Furniture,37,73.61,Sierra Leone,2723.57,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8786,Furniture,48,71.02,Togo,3408.96,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC1168,Furniture,35,39.3,Rwanda,1375.5,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC3248,Furniture,20,33.45,Senegal,669.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2527,Furniture,34,77.84,Ghana,2646.56,2010-12,2010-12,1
536466,2010-12-01 12:23:00,14849.0,SC5918,Furniture,23,88.25,Sudan,2029.75,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC2260,Furniture,44,14.06,Tanzania,618.64,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2812,Furniture,23,54.8,Tanzania,1260.4,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2720,Furniture,59,96.53,Mali,5695.27,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC4773,Furniture,71,65.73,Mali,4666.83,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC3040,Furniture,80,97.59,South Africa,7807.200000000001,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5295,Furniture,46,64.2,Sudan,2953.2000000000003,2010-12,2010-12,1
536502,2010-12-01 12:36:00,16552.0,SC3588,Furniture,14,57.28,Ethiopia,801.9200000000001,2010-12,2010-12,1
